University,Award-15,Award-16,,,,,,,
Polytechnic Institute of Milan,14.9,14.9,,,0,0,0,,0
The University of Western Australia,14.1,14.1,,,0,0,0,,0
The Chinese University of Hong Kong,14.1,14.1,,,0,0,0,,0
Virginia Commonwealth University,14.1,14.1,,,0,0,0,,0
The University of Melbourne,13.3,13.3,,,0,0,0,,0
Ghent University,13.3,13.3,,,0,0,0,,0
Brown University,13.3,13.3,,,0,0,0,,0
The University of Sheffield,13.3,13.3,,,0,0,0,,0
University of Liverpool,13.3,13.3,,,0,0,0,,0
University of Muenster,13.3,13.3,,,0,0,0,,0
Catholic University of Louvain,13.3,13.3,,,0,0,0,,0
Sapienza University of Rome,13.3,13.3,,,0,0,0,,0
Trinity College Dublin,13.3,13.3,,,0,0,0,,0
University of Kiel,13.3,13.3,,,0,0,0,,0
University of Leipzig,13.3,13.3,,,0,0,0,,0
University of Aberdeen,13.3,13.3,,,0,0,0,,0
Boston University,11.5,11.5,,,0,0,0,,0
University of Utah,11.5,11.5,,,0,0,0,,0
Technical University of Denmark,11.5,11.5,,,0,0,0,,0
University of Koeln,11.5,11.5,,,0,0,0,,0
Saint Louis University,11.5,11.5,,,0,0,0,,0
Case Western Reserve University,10.9,10.9,,,0,0,0,,0
Leiden University,9.4,9.4,,,0,0,0,,0
University of Birmingham,9.4,9.4,,,0,0,0,,0
University Paris Diderot - Paris 7,9.4,9.4,,,0,0,0,,0
University of Innsbruck,9.4,9.4,,,0,0,0,,0
University of Paris Descartes (Paris 5),9.4,9.4,,,0,0,0,,0
Medical University of Vienna,9.4,9.4,,,0,0,0,,0
Medical University of Graz,9.4,9.4,,,0,0,0,,0
University of Lisbon,8.1,8.1,,,0,0,0,,0
University of Rochester,7.7,7.7,,,0,0,0,,0
University of Mainz,7.7,7.7,,,0,0,0,,0
University of Halle-Wittenberg,6.7,6.7,,,0,0,0,,0
,,,,,,,0.9227691884,,1.5861551106
,,,,,,,0.0065444623,,0.011249327
,,,,,,,0.0808978512,,
