University,PCP-15,PCP-16,,,,,,,
KU Leuven,30.4,31.7,,,-1.3,-0.0427631579,0.0018286877,,0.0427631579
University of Bristol,29.3,31.5,,,-2.2,-0.0750853242,0.0056378059,,0.0750853242
Nanyang Technological University,26.2,31.3,,,-5.1,-0.1946564885,0.0378911485,,0.1946564885
Georgia Institute of Technology,28.1,31.3,,,-3.2,-0.1138790036,0.0129684275,,0.1138790036
Johns Hopkins University,28.8,31.1,,,-2.3,-0.0798611111,0.0063777971,,0.0798611111
The University of Western Australia,28.9,31.1,,,-2.2,-0.0761245675,0.0057949498,,0.0761245675
University of Washington,29.3,31,,,-1.7,-0.0580204778,0.0033663758,,0.0580204778
Universit̩ libre de Bruxelles (ULB),30.4,31,,,-0.6,-0.0197368421,0.0003895429,,0.0197368421
The Australian National University,29.1,30.9,,,-1.8,-0.0618556701,0.0038261239,,0.0618556701
Monash University,25.5,30.5,,,-5,-0.1960784314,0.0384467512,,0.1960784314
Ecole Normale Superieure - Lyon,30.5,30.5,,,0,0,0,,0
University of Toronto,29.3,30.3,,,-1,-0.0341296928,0.0011648359,,0.0341296928
Erasmus University,26.4,30.2,,,-3.8,-0.1439393939,0.0207185491,,0.1439393939
Aix Marseille University,27.6,30.1,,,-2.5,-0.0905797101,0.0082046839,,0.0905797101
The University of Adelaide,25.7,29.9,,,-4.2,-0.1634241245,0.0267074445,,0.1634241245
Technion-Israel Institute of Technology,28.2,29.8,,,-1.6,-0.0567375887,0.003219154,,0.0567375887
University of Amsterdam,28.2,29.7,,,-1.5,-0.0531914894,0.0028293345,,0.0531914894
The University of Tokyo,28.8,29.7,,,-0.9,-0.03125,0.0009765625,,0.03125
Thomas Jefferson University,27.1,29.4,,,-2.3,-0.0848708487,0.007203061,,0.0848708487
University of Illinois at Urbana-Champaign,28.6,29.1,,,-0.5,-0.0174825175,0.0003056384,,0.0174825175
The University of Manchester,25.6,29,,,-3.4,-0.1328125,0.0176391602,,0.1328125
Vrije Universiteit Brussel (VUB),26.9,28.9,,,-2,-0.0743494424,0.0055278396,,0.0743494424
University of Sydney,25.3,28.6,,,-3.3,-0.1304347826,0.0170132325,,0.1304347826
University of Antwerp,26.8,28.6,,,-1.8,-0.0671641791,0.004511027,,0.0671641791
University of Otago,27.1,28.6,,,-1.5,-0.0553505535,0.0030636838,,0.0553505535
Uppsala University,27.1,28.5,,,-1.4,-0.0516605166,0.002668809,,0.0516605166
The Hebrew University of Jerusalem,29.1,28.5,,,0.6,0.0206185567,0.0004251249,,0.0206185567
McGill University,26.8,28.3,,,-1.5,-0.0559701493,0.0031326576,,0.0559701493
University of Oslo,26.9,28.1,,,-1.2,-0.0446096654,0.0019900222,,0.0446096654
Maastricht University,25.1,27.9,,,-2.8,-0.1115537849,0.0124442469,,0.1115537849
King's College London,25.6,27.9,,,-2.3,-0.08984375,0.0080718994,,0.08984375
The University of Texas Southwestern Medical Center at Dallas,22.4,27.7,,,-5.3,-0.2366071429,0.0559829401,,0.2366071429
University of Paris-Sud (Paris 11),26.6,27.7,,,-1.1,-0.0413533835,0.0017101023,,0.0413533835
"University of Maryland, College Park",26.5,27.6,,,-1.1,-0.041509434,0.0017230331,,0.041509434
Utrecht University,26.9,27.6,,,-0.7,-0.0260223048,0.0006771603,,0.0260223048
Curtin University,23.3,27.3,,,-4,-0.1716738197,0.0294719004,,0.1716738197
Macquarie University,25.1,27.3,,,-2.2,-0.0876494024,0.0076824177,,0.0876494024
University of Innsbruck,25.2,27.3,,,-2.1,-0.0833333333,0.0069444444,,0.0833333333
Stockholm University,25.6,27.3,,,-1.7,-0.06640625,0.00440979,,0.06640625
The University of Hong Kong,22.5,27.2,,,-4.7,-0.2088888889,0.0436345679,,0.2088888889
University of British Columbia,24.2,27.2,,,-3,-0.1239669421,0.0153678027,,0.1239669421
The Hong Kong University of Science and Technology,24.3,27.2,,,-2.9,-0.1193415638,0.0142424088,,0.1193415638
London School of Economics and Political Science,28.7,27.2,,,1.5,0.0522648084,0.0027316102,,0.0522648084
Brandeis University,24.8,27.1,,,-2.3,-0.0927419355,0.0086010666,,0.0927419355
University of Goettingen,25.6,27.1,,,-1.5,-0.05859375,0.0034332275,,0.05859375
University of Bonn,25.9,27.1,,,-1.2,-0.0463320463,0.0021466585,,0.0463320463
James Cook University,23.9,27,,,-3.1,-0.129707113,0.0168239352,,0.129707113
Tufts University,25.7,26.8,,,-1.1,-0.0428015564,0.0018319732,,0.0428015564
The University of Edinburgh,25.9,26.8,,,-0.9,-0.0347490347,0.0012074954,,0.0347490347
"University of California, Irvine",27.5,26.8,,,0.7,0.0254545455,0.0006479339,,0.0254545455
The University of Texas at Austin,26.6,26.6,,,0,0,0,,0
"University of California, Riverside",27.5,26.5,,,1,0.0363636364,0.001322314,,0.0363636364
Tel Aviv University,26.4,26.4,,,0,0,0,,0
University of Southern California,20.3,26.2,,,-5.9,-0.2906403941,0.0844718387,,0.2906403941
University of Southampton,24.3,26.2,,,-1.9,-0.0781893004,0.0061135667,,0.0781893004
University of Science and Technology of China,25.5,26.2,,,-0.7,-0.0274509804,0.0007535563,,0.0274509804
Nanjing Medical University,29.7,26.2,,,3.5,0.1178451178,0.0138874718,,0.1178451178
Cardiff University,20.3,26.1,,,-5.8,-0.2857142857,0.0816326531,,0.2857142857
University of Vienna,23.9,26.1,,,-2.2,-0.0920502092,0.008473241,,0.0920502092
University of Utah,18.7,26,,,-7.3,-0.3903743316,0.1523921187,,0.3903743316
Duke University,23.9,25.9,,,-2,-0.0836820084,0.0070026785,,0.0836820084
KTH Royal Institute of Technology,24.2,25.9,,,-1.7,-0.0702479339,0.0049347722,,0.0702479339
University of Michigan-Ann Arbor,25.6,25.8,,,-0.2,-0.0078125,6.10351562499996E-005,,0.0078125
McMaster University,22.5,25.7,,,-3.2,-0.1422222222,0.0202271605,,0.1422222222
National Autonomous University of Mexico,24,25.7,,,-1.7,-0.0708333333,0.0050173611,,0.0708333333
Deakin University,21,25.6,,,-4.6,-0.219047619,0.0479818594,,0.219047619
Paris Dauphine University (Paris 9),24.2,25.6,,,-1.4,-0.0578512397,0.0033467659,,0.0578512397
Catholic University of Louvain,26.9,25.6,,,1.3,0.0483271375,0.0023355122,,0.0483271375
Shanghai Jiao Tong University,23,25.5,,,-2.5,-0.1086956522,0.0118147448,,0.1086956522
University of Tasmania,22.9,25.4,,,-2.5,-0.1091703057,0.0119181556,,0.1091703057
University of Lisbon,23.3,25.4,,,-2.1,-0.0901287554,0.0081231925,,0.0901287554
Weizmann Institute of Science,25.1,25.4,,,-0.3,-0.0119521912,0.0001428549,,0.0119521912
Seoul National University,23.5,25.3,,,-1.8,-0.0765957447,0.0058669081,,0.0765957447
Pierre and Marie  Curie University - Paris 6,23.9,25.3,,,-1.4,-0.0585774059,0.0034313125,,0.0585774059
Swedish University of Agricultural Sciences,24.2,25.3,,,-1.1,-0.0454545455,0.0020661157,,0.0454545455
University of Warwick,26.8,25.2,,,1.6,0.0597014925,0.0035642682,,0.0597014925
The University of New South Wales,23.9,25,,,-1.1,-0.0460251046,0.0021183103,,0.0460251046
University of Liverpool,22.5,24.9,,,-2.4,-0.1066666667,0.0113777778,,0.1066666667
"University of California, Davis",26,24.9,,,1.1,0.0423076923,0.0017899408,,0.0423076923
Sungkyunkwan University,21.4,24.8,,,-3.4,-0.1588785047,0.0252423792,,0.1588785047
Case Western Reserve University,22.9,24.8,,,-1.9,-0.0829694323,0.0068839267,,0.0829694323
Nagoya University,23.1,24.8,,,-1.7,-0.0735930736,0.0054159405,,0.0735930736
University of Frankfurt,25.3,24.8,,,0.5,0.0197628458,0.0003905701,,0.0197628458
University of Exeter,23.5,24.7,,,-1.2,-0.0510638298,0.0026075147,,0.0510638298
University of Freiburg,25.3,24.6,,,0.7,0.0276679842,0.0007655173,,0.0276679842
Eindhoven University of Technology,22.5,24.5,,,-2,-0.0888888889,0.0079012346,,0.0888888889
University of Alberta,22.5,24.4,,,-1.9,-0.0844444444,0.0071308642,,0.0844444444
Vienna University of Technology,22.9,24.4,,,-1.5,-0.0655021834,0.004290536,,0.0655021834
University of Erlangen-Nuremberg,21.9,24.3,,,-2.4,-0.1095890411,0.0120097579,,0.1095890411
University of Wisconsin - Madison,24.6,24.3,,,0.3,0.012195122,0.000148721,,0.012195122
Purdue University - West Lafayette,22.4,24.2,,,-1.8,-0.0803571429,0.0064572704,,0.0803571429
"The University of Newcastle, Australia",22.4,24.2,,,-1.8,-0.0803571429,0.0064572704,,0.0803571429
University of Sussex,26.4,24.2,,,2.2,0.0833333333,0.0069444444,,0.0833333333
The University of Dundee,20.2,24.1,,,-3.9,-0.1930693069,0.0372757573,,0.1930693069
Korea University,22.1,24.1,,,-2,-0.0904977376,0.0081898405,,0.0904977376
"University of Minnesota, Twin Cities",26.2,24.1,,,2.1,0.0801526718,0.0064244508,,0.0801526718
TU Dresden,21.7,24,,,-2.3,-0.1059907834,0.0112340462,,0.1059907834
Pennsylvania State University - University Park,22.4,24,,,-1.6,-0.0714285714,0.0051020408,,0.0714285714
University of Tuebingen,23.7,24,,,-0.3,-0.0126582278,0.0001602307,,0.0126582278
University of Arizona,20.3,23.9,,,-3.6,-0.1773399015,0.0314494407,,0.1773399015
Delft University of Technology,21.7,23.9,,,-2.2,-0.1013824885,0.010278409,,0.1013824885
City University of Hong Kong,22.1,23.9,,,-1.8,-0.0814479638,0.0066337708,,0.0814479638
Oregon Health and Science University,22.4,23.8,,,-1.4,-0.0625,0.00390625,,0.0625
Kyoto University,23.5,23.8,,,-0.3,-0.0127659574,0.0001629697,,0.0127659574
University of Birmingham,20.5,23.7,,,-3.2,-0.156097561,0.0243664485,,0.156097561
Ecole Polytechnique,22,23.7,,,-1.7,-0.0772727273,0.0059710744,,0.0772727273
The University of Auckland,21.3,23.6,,,-2.3,-0.1079812207,0.011659944,,0.1079812207
University of Padua,22,23.5,,,-1.5,-0.0681818182,0.0046487603,,0.0681818182
Oregon State University,22.7,23.5,,,-0.8,-0.0352422907,0.0012420191,,0.0352422907
University of Liege,23.5,23.5,,,0,0,0,,0
University of Florida,17.3,23.4,,,-6.1,-0.3526011561,0.1243275753,,0.3526011561
Yonsei University,21.4,23.4,,,-2,-0.0934579439,0.0087343873,,0.0934579439
University of Waterloo,22,23.4,,,-1.4,-0.0636363636,0.0040495868,,0.0636363636
University of Leeds,19.8,23.3,,,-3.5,-0.1767676768,0.0312468115,,0.1767676768
RWTH Aachen University,21.6,23.3,,,-1.7,-0.0787037037,0.006194273,,0.0787037037
Flinders University,22.1,23.3,,,-1.2,-0.0542986425,0.0029483426,,0.0542986425
University of Muenster,22.2,23.3,,,-1.1,-0.0495495495,0.0024551579,,0.0495495495
Tsinghua University,20.2,23.2,,,-3,-0.1485148515,0.0220566611,,0.1485148515
Hanyang University,21.6,23.2,,,-1.6,-0.0740740741,0.0054869684,,0.0740740741
Boston University,21.8,23.2,,,-1.4,-0.0642201835,0.004124232,,0.0642201835
The Chinese University of Hong Kong,22,23.2,,,-1.2,-0.0545454545,0.0029752066,,0.0545454545
Technical University of Denmark,23.4,23.2,,,0.2,0.0085470085,7.30513551026366E-005,,0.0085470085
Tokyo Institute of Technology,24,23.2,,,0.8,0.0333333333,0.0011111111,,0.0333333333
University of Lausanne,21.2,23.1,,,-1.9,-0.0896226415,0.0080322179,,0.0896226415
University of Milan,21.2,23.1,,,-1.9,-0.0896226415,0.0080322179,,0.0896226415
The University of Glasgow,22.9,23.1,,,-0.2,-0.0087336245,7.62761961061024E-005,,0.0087336245
Fudan University,21.5,23,,,-1.5,-0.0697674419,0.0048674959,,0.0697674419
The University of Sheffield,21.7,23,,,-1.3,-0.0599078341,0.0035889486,,0.0599078341
University of Wollongong,24,23,,,1,0.0416666667,0.0017361111,,0.0416666667
Chalmers University of Technology,19.9,22.9,,,-3,-0.1507537688,0.0227266988,,0.1507537688
Chang Gung University,21.7,22.9,,,-1.2,-0.0552995392,0.003058039,,0.0552995392
University of Massachusetts Amherst,23.2,22.9,,,0.3,0.0129310345,0.0001672117,,0.0129310345
Peking University,19.5,22.7,,,-3.2,-0.1641025641,0.0269296515,,0.1641025641
Osaka University,21.7,22.7,,,-1,-0.0460829493,0.0021236382,,0.0460829493
,,,,,,,4.1878550461,,18.5003246127
,,,,,,,0.0210444977,,0.0929664553
,,,,,,,0.1450672179,,
