University,International Faculty-17,International Faculty-18,,,(B2-C2)/B2,(D2)^2,ABS(D2)
Universidad Peruana Cayetano Heredia (UPCH),58.3,72.5,,,-0.243567753,0.05932525,0.243567753
University of Southern Denmark,76,73.5,,,0.032894737,0.001082064,0.032894737
Queen's University at Kingston,76.4,73.8,,,0.034031414,0.001158137,0.034031414
Aalborg University,72.2,74.3,,,-0.029085873,0.000845988,0.029085873
Universitat Pompeu Fabra,76.4,74.8,,,0.020942408,0.000438584,0.020942408
Concordia University,69.7,75.3,,,-0.080344333,0.006455212,0.080344333
University of Amsterdam,72.4,75.4,,,-0.041436464,0.001716981,0.041436464
"University of California, Riverside",95.4,76.5,,,0.198113208,0.039248843,0.198113208
Ben Gurion University of The Negev,76.8,77.1,,,-0.00390625,1.52588E-05,0.00390625
University of Waterloo,81.4,77.6,,,0.046683047,0.002179307,0.046683047
University of Michigan,80.8,78,,,0.034653465,0.001200863,0.034653465
Stellenbosch University,74.4,78.2,,,-0.051075269,0.002608683,0.051075269
University of Oslo,80.3,78.4,,,0.02366127,0.000559856,0.02366127
Dublin City University,86.1,78.4,,,0.089430894,0.007997885,0.089430894
Loughborough University,84.3,79,,,0.0628707,0.003952725,0.0628707
University of Notre Dame,65,79.3,,,-0.22,0.0484,0.22
The Ohio State University,81.3,79.3,,,0.024600246,0.000605172,0.024600246
University of Southern Queensland,68,79.4,,,-0.167647059,0.028105536,0.167647059
University of Leeds,77.9,79.4,,,-0.019255456,0.000370773,0.019255456
Vrije Universiteit Brussel (VUB),79.3,79.4,,,-0.001261034,1.59021E-06,0.001261034
Maynooth University,88,79.4,,,0.097727273,0.00955062,0.097727273
Fudan University,66.7,79.5,,,-0.191904048,0.036827164,0.191904048
Brown University,69,80.2,,,-0.162318841,0.026347406,0.162318841
University of East London,81.5,80.2,,,0.01595092,0.000254432,0.01595092
WHU - Otto Beisheim School of Management,65,80.5,,,-0.238461538,0.056863905,0.238461538
University of Nebraska-Lincoln,77.4,81,,,-0.046511628,0.002163332,0.046511628
Aalto University,81.6,81,,,0.007352941,5.40657E-05,0.007352941
University of East Anglia (UEA),81,82.1,,,-0.013580247,0.000184423,0.013580247
BI Norwegian Business School,81.4,82.3,,,-0.011056511,0.000122246,0.011056511
University of Liverpool,83.5,82.3,,,0.014371257,0.000206533,0.014371257
University of Calgary,80.4,82.5,,,-0.026119403,0.000682223,0.026119403
University of Victoria,82.9,82.5,,,0.00482509,2.32815E-05,0.00482509
Universiti Teknologi Petronas (Petronas),85.1,82.5,,,0.030552291,0.000933443,0.030552291
Tilburg University,87,82.8,,,0.048275862,0.002330559,0.048275862
University at Buffalo SUNY,68,82.9,,,-0.219117647,0.048012543,0.219117647
Tongji University,68.5,83.2,,,-0.21459854,0.046052533,0.21459854
Copenhagen Business School,69.1,83.3,,,-0.205499276,0.042229953,0.205499276
The University of Sheffield,84.8,83.6,,,0.014150943,0.000200249,0.014150943
KU Leuven,83.7,84.8,,,-0.013142174,0.000172717,0.013142174
Chalmers University of Technology,83.6,84.9,,,-0.015550239,0.00024181,0.015550239
University of Copenhagen,86,84.9,,,0.012790698,0.000163602,0.012790698
"Goldsmiths, University of London",86.1,85,,,0.012775842,0.000163222,0.012775842
Alpen-Adria-Universitaet Klagenfurt,86.2,85,,,0.013921114,0.000193797,0.013921114
University of Ottawa,86.6,85.1,,,0.017321016,0.000300018,0.017321016
The University of Auckland,86.5,85.5,,,0.011560694,0.00013365,0.011560694
Middlesex University,83.5,85.7,,,-0.026347305,0.000694181,0.026347305
Macquarie University,96,85.9,,,0.105208333,0.011068793,0.105208333
University of Bergen,86.1,86.4,,,-0.003484321,1.21405E-05,0.003484321
Universitas Indonesia,68.1,87.1,,,-0.279001468,0.077841819,0.279001468
University of Leicester,84.4,87.1,,,-0.031990521,0.001023393,0.031990521
Murdoch University,96.9,87.4,,,0.098039216,0.009611688,0.098039216
Rice University,89.2,87.5,,,0.019058296,0.000363219,0.019058296
University of Dundee,88.5,87.6,,,0.010169492,0.000103419,0.010169492
University of Strathclyde,88.5,87.6,,,0.010169492,0.000103419,0.010169492
Stockholm School of Economics,88.7,87.8,,,0.010146561,0.000102953,0.010146561
University of Bristol,88.8,87.9,,,0.010135135,0.000102721,0.010135135
Johns Hopkins University,98.1,87.9,,,0.103975535,0.010810912,0.103975535
University of Twente,87.8,88,,,-0.002277904,5.18885E-06,0.002277904
University of Reading,89,88.1,,,0.01011236,0.00010226,0.01011236
KTH Royal Institute of Technology,90.6,88.1,,,0.027593819,0.000761419,0.027593819
Lund University,89.1,88.3,,,0.008978676,8.06166E-05,0.008978676
University of the Witwatersrand,95.9,88.3,,,0.079249218,0.006280439,0.079249218
Karolinska Institutet,83,88.7,,,-0.068674699,0.004716214,0.068674699
Université catholique de Louvain (UCL),86.3,88.7,,,-0.027809965,0.000773394,0.027809965
McGill University,90.9,88.9,,,0.0220022,0.000484097,0.0220022
The University of Manchester,90.1,89.3,,,0.008879023,7.88371E-05,0.008879023
The University of Nottingham,90.3,89.5,,,0.008859358,7.84882E-05,0.008859358
University of Groningen,88.7,89.7,,,-0.011273957,0.000127102,0.011273957
The University of Exeter,88.3,89.8,,,-0.016987542,0.000288577,0.016987542
National University of Ireland Galway,90.7,89.8,,,0.009922822,9.84624E-05,0.009922822
Newcastle University,87.9,90.4,,,-0.028441411,0.000808914,0.028441411
University of Glasgow,91.2,90.5,,,0.007675439,5.89124E-05,0.007675439
Yale University,91.1,90.7,,,0.004390779,1.92789E-05,0.004390779
The American University in Cairo,96.9,90.7,,,0.063983488,0.004093887,0.063983488
University of York,89.6,90.9,,,-0.014508929,0.000210509,0.014508929
University of Birmingham,90.3,90.9,,,-0.006644518,4.41496E-05,0.006644518
Lancaster University,91.9,91.2,,,0.007616975,5.80183E-05,0.007616975
Université de Montréal,93.3,91.3,,,0.021436227,0.000459512,0.021436227
University of British Columbia,87.2,91.5,,,-0.049311927,0.002431666,0.049311927
James Cook University,96.9,91.5,,,0.055727554,0.00310556,0.055727554
Universite libre de Bruxelles,95.1,91.7,,,0.03575184,0.001278194,0.03575184
Cornell University,91.6,92.2,,,-0.006550218,4.29054E-05,0.006550218
Technische Universität Dresden,72.9,92.4,,,-0.267489712,0.071550746,0.267489712
University of Southampton,93.3,92.7,,,0.006430868,4.13561E-05,0.006430868
McMaster University,93,92.8,,,0.002150538,4.62481E-06,0.002150538
University of Alberta,92.6,93,,,-0.004319654,1.86594E-05,0.004319654
The University of Adelaide,94.5,93.3,,,0.012698413,0.00016125,0.012698413
California Institute of Technology (Caltech),91.2,93.4,,,-0.024122807,0.00058191,0.024122807
University of Sussex,98.1,94.1,,,0.04077472,0.001662578,0.04077472
Simon Fraser University,94.9,94.2,,,0.007376185,5.44081E-05,0.007376185
"Ecole normale supérieure, Paris",84.5,94.4,,,-0.117159763,0.01372641,0.117159763
University of Bath,95,94.5,,,0.005263158,2.77008E-05,0.005263158
Cranfield University,95.1,94.6,,,0.005257624,2.76426E-05,0.005257624
The University of Melbourne,82.6,94.7,,,-0.146489104,0.021459058,0.146489104
University College Cork,93.1,94.8,,,-0.018259936,0.000333425,0.018259936
Durham University,94,94.8,,,-0.008510638,7.2431E-05,0.008510638
Boston College,95.5,94.8,,,0.007329843,5.37266E-05,0.007329843
The University of Edinburgh,95.3,94.9,,,0.004197272,1.76171E-05,0.004197272
Lebanese American University,89.3,95,,,-0.063829787,0.004074242,0.063829787
Lincoln University,91.7,95.4,,,-0.040348964,0.001628039,0.040348964
Heriot-Watt University,98.6,95.4,,,0.032454361,0.001053286,0.032454361
