University,Citation-15,Citations-16,,,B2-C2,B2-C2/B2,,,,ABS
University of MissouriUnited States of America,46.6,60.2,,,-13.6,-0.291845494,0.085173792,,,0.291845494
Bayreuth UniversityGermany,61.8,60.1,,,1.7,0.027508091,0.000756695,,,0.027508091
Norwegian University of Science and TechnologyNorway,49.6,59.8,,,-10.2,-0.205645161,0.042289932,,,0.205645161
Montpellier UniversityFrance,67.4,59.5,,,7.9,0.117210682,0.013738344,,,0.117210682
Colorado State UniversityUnited States of America,59.9,59.3,,,0.6,0.010016694,0.000100334,,,0.010016694
University of WollongongAustralia,55.1,59.3,,,-4.2,-0.076225045,0.005810258,,,0.076225045
University of StirlingUnited Kingdom,49.9,59.1,,,-9.2,-0.184368737,0.033991831,,,0.184368737
University of Western OntarioCanada,47,59,,,-12,-0.255319149,0.065187868,,,0.255319149
Tsinghua UniversityChina,65,58.8,,,6.2,0.095384615,0.009098225,,,0.095384615
UiT The Arctic University of NorwayNorway,53.2,58.8,,,-5.6,-0.105263158,0.011080332,,,0.105263158
University of South CarolinaUnited States of America,55.1,58.7,,,-3.6,-0.065335753,0.004268761,,,0.065335753
University of PortsmouthUnited Kingdom,61.6,58.2,,,3.4,0.055194805,0.003046467,,,0.055194805
Lehigh UniversityUnited States of America,56.3,58.2,,,-1.9,-0.03374778,0.001138913,,,0.03374778
Drexel UniversityUnited States of America,57.5,57.7,,,-0.2,-0.003478261,1.20983E-05,,,0.003478261
University of NavarraSpain,41.7,57.5,,,-15.8,-0.378896882,0.143562848,,,0.378896882
University of ConnecticutUnited States of America,45.4,57,,,-11.6,-0.255506608,0.065283627,,,0.255506608
Vrije Universiteit BrusselBelgium,48.1,56.8,,,-8.7,-0.180873181,0.032715108,,,0.180873181
University of BathUnited Kingdom,47.5,56.7,,,-9.2,-0.193684211,0.037513573,,,0.193684211
Queensland University of TechnologyAustralia,42.9,56,,,-13.1,-0.305361305,0.093245527,,,0.305361305
University of StuttgartGermany,56.9,55.7,,,1.2,0.021089631,0.000444773,,,0.021089631
University of JyväskyläFinland,50.2,55.5,,,-5.3,-0.105577689,0.011146648,,,0.105577689
Vienna University of TechnologyAustria,41.7,54.6,,,-12.9,-0.309352518,0.09569898,,,0.309352518
Queen’s UniversityCanada,48.2,54.4,,,-6.2,-0.128630705,0.016545858,,,0.128630705
Ruhr University BochumGermany,42,54.4,,,-12.4,-0.295238095,0.087165533,,,0.295238095
Nanjing UniversityChina,59.6,54.2,,,5.4,0.090604027,0.00820909,,,0.090604027
Virginia Polytechnic Institute and State UniversityUnited States of America,40.7,54.2,,,-13.5,-0.331695332,0.110021793,,,0.331695332
Sungkyunkwan University (SKKU)South Korea,51.7,53.8,,,-2.1,-0.040618956,0.0016499,,,0.040618956
University of WaikatoNew Zealand,50,53.7,,,-3.7,-0.074,0.005476,,,0.074
University of Nebraska-LincolnUnited States of America,57.5,53.5,,,4,0.069565217,0.004839319,,,0.069565217
Swinburne University of TechnologyAustralia,50.2,53.4,,,-3.2,-0.06374502,0.004063428,,,0.06374502
University of GrazAustria,55.1,53.3,,,1.8,0.032667877,0.00106719,,,0.032667877
University of SalentoItaly,64.5,53,,,11.5,0.178294574,0.031788955,,,0.178294574
National Tsing Hua UniversityTaiwan,49.1,53,,,-3.9,-0.079429735,0.006309083,,,0.079429735
Sabancı UniversityTurkey,88.5,52.8,,,35.7,0.403389831,0.162723355,,,0.403389831
Western Sydney UniversityAustralia,58.7,52.3,,,6.4,0.109028961,0.011887314,,,0.109028961
Macquarie UniversityAustralia,50.2,52.3,,,-2.1,-0.041832669,0.001749972,,,0.041832669
University of GeorgiaUnited States of America,46.6,52.2,,,-5.6,-0.120171674,0.014441231,,,0.120171674
Chalmers University of TechnologySweden,40.8,52.2,,,-11.4,-0.279411765,0.078070934,,,0.279411765
Technion Israel Institute of TechnologyIsrael,52,52.1,,,-0.1,-0.001923077,3.69822E-06,,,0.001923077
University of HoustonUnited States of America,44.2,52,,,-7.8,-0.176470588,0.031141869,,,0.176470588
Aston UniversityUnited Kingdom,45.1,51.9,,,-6.8,-0.150776053,0.022733418,,,0.150776053
Tilburg UniversityNetherlands,34.9,51.5,,,-16.6,-0.475644699,0.22623788,,,0.475644699
Murdoch UniversityAustralia,46.5,51.2,,,-4.7,-0.101075269,0.01021621,,,0.101075269
Technical University of DarmstadtGermany,42,51.1,,,-9.1,-0.216666667,0.046944444,,,0.216666667
University of HertfordshireUnited Kingdom,65,50.5,,,14.5,0.223076923,0.049763314,,,0.223076923
Ewha Womans UniversitySouth Korea,57.6,50.4,,,7.2,0.125,0.015625,,,0.125
University of BremenGermany,55.7,50,,,5.7,0.102333932,0.010472234,,,0.102333932
Seoul National UniversitySouth Korea,48.7,50,,,-1.3,-0.026694045,0.000712572,,,0.026694045
Bielefeld UniversityGermany,52,49.9,,,2.1,0.040384615,0.001630917,,,0.040384615
University of MacauMacau,68.1,49.7,,,18.4,0.270190896,0.07300312,,,0.270190896
University of ManitobaCanada,48.2,49.7,,,-1.5,-0.031120332,0.000968475,,,0.031120332
University of ValenciaSpain,72.7,49.6,,,23.1,0.317744154,0.100961347,,,0.317744154
Washington State UniversityUnited States of America,44.2,49.6,,,-5.4,-0.122171946,0.014925984,,,0.122171946
Tohoku UniversityJapan,49.6,49.4,,,0.2,0.004032258,1.62591E-05,,,0.004032258
Tel Aviv UniversityIsrael,45.5,49.2,,,-3.7,-0.081318681,0.006612728,,,0.081318681
York UniversityCanada,62.9,49.1,,,13.8,0.219395866,0.048134546,,,0.219395866
University of Bari Aldo MoroItaly,52,48.8,,,3.2,0.061538462,0.003786982,,,0.061538462
Indian Institute of Technology BombayIndia,43.5,48.5,43.5,48.5,-5,-0.114942529,0.013211785,,,0.114942529
University College CorkRepublic of Ireland,56.9,48.4,,,8.5,0.149384886,0.022315844,,,0.149384886
Université Libre de BruxellesBelgium,64.4,47.9,,,16.5,0.25621118,0.065644169,,,0.25621118
National Taiwan UniversityTaiwan,47.7,47.3,,,0.4,0.008385744,7.03207E-05,,,0.008385744
Texas A&M UniversityUnited States of America,55.1,47.1,,,8,0.145190563,0.021080299,,,0.145190563
Autonomous University of MadridSpain,59.7,46.9,,,12.8,0.21440536,0.045969658,,,0.21440536
Stellenbosch UniversitySouth Africa,45.6,46.9,,,-1.3,-0.028508772,0.00081275,,,0.028508772
Kyoto UniversityJapan,57,46.6,,,10.4,0.18245614,0.033290243,,,0.18245614
University of LiègeBelgium,44.6,46.5,,,-1.9,-0.042600897,0.001814836,,,0.042600897
Sun Yat-sen UniversityChina,54.1,45.7,,,8.4,0.155268022,0.024108159,,,0.155268022
Boğaziçi UniversityTurkey,96.8,45.4,,,51.4,0.530991736,0.281952223,,,0.530991736
Curtin UniversityAustralia,45.3,44.6,,,0.7,0.015452539,0.000238781,,,0.015452539
Victoria University of WellingtonNew Zealand,53.8,44.3,,,9.5,0.176579926,0.03118047,,,0.176579926
Indian Institute of ScienceIndia,51.6,42.4,51.6,42.4,9.2,0.178294574,0.031788955,,,0.178294574
University of WarsawPoland,70,42.2,,,27.8,0.397142857,0.157722449,,,0.397142857
Tokyo Institute of TechnologyJapan,48.1,42.2,,,5.9,0.122661123,0.015045751,,,0.122661123
Korea UniversitySouth Korea,39.9,41.8,,,-1.9,-0.047619048,0.002267574,,,0.047619048
University of South AustraliaAustralia,52.7,41.2,,,11.5,0.218216319,0.047618362,,,0.218216319
Panjab UniversityIndia,84.4,41,84.4,41,43.4,0.514218009,0.264420161,,,0.514218009
Charles University in PragueCzech Republic,50.1,41,,,9.1,0.181636727,0.0329919,,,0.181636727
Nagoya UniversityJapan,59.9,40.1,,,19.8,0.330550918,0.10926391,,,0.330550918
Brunel University LondonUnited Kingdom,75.3,39.5,,,35.8,0.475431607,0.226035213,,,0.475431607
Isfahan University of TechnologyIran,48.9,39.5,,,9.4,0.192229039,0.036952003,,,0.192229039
Yonsei UniversitySouth Korea,44.3,39.4,,,4.9,0.110609481,0.012234457,,,0.110609481
Kansas State UniversityUnited States of America,61,39.3,,,21.7,0.355737705,0.126549315,,,0.355737705
National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,30.9,39.1,,,-8.2,-0.265372168,0.070422388,,,0.265372168
University of CanterburyNew Zealand,53.8,38.9,,,14.9,0.276951673,0.076702229,,,0.276951673
University of EssexUnited Kingdom,39.3,38.6,,,0.7,0.017811705,0.000317257,,,0.017811705
Osaka UniversityJapan,51.1,37.4,,,13.7,0.268101761,0.071878554,,,0.268101761
Indian Institute of Technology RoorkeeIndia,62.6,37.2,62.6,37.2,25.4,0.405750799,0.164633711,,,0.405750799
Tokyo Medical and Dental University (TMDU)Japan,51.1,36.6,,,14.5,0.283757339,0.080518227,,,0.283757339
King Mongkut’s University of Technology ThonburiThailand,75,36.2,,,38.8,0.517333333,0.267633778,,,0.517333333
Zhejiang UniversityChina,40.2,36.1,,,4.1,0.10199005,0.01040197,,,0.10199005
State University of New York AlbanyUnited States of America,68.9,35.5,,,33.4,0.484760522,0.234992764,,,0.484760522
University of MinhoPortugal,60.6,35.3,,,25.3,0.417491749,0.174299361,,,0.417491749
National Chiao Tung UniversityTaiwan,40.4,34.2,,,6.2,0.153465347,0.023551613,,,0.153465347
Shanghai Jiao Tong UniversityChina,38.9,34,,,4.9,0.12596401,0.015866932,,,0.12596401
University of TsukubaJapan,51.1,33.7,,,17.4,0.340508806,0.115946247,,,0.340508806
Sharif University of TechnologyIran,50.4,33.7,,,16.7,0.331349206,0.109792297,,,0.331349206
University of LisbonPortugal,44.8,32.4,,,12.4,0.276785714,0.076610332,,,0.276785714
Carleton UniversityCanada,76.9,32,,,44.9,0.583875163,0.340910205,,,0.583875163
Kyushu UniversityJapan,33.6,31.8,,,1.8,0.053571429,0.002869898,,,0.053571429
"University of the Andes, ColombiaColombia",89.8,31.2,,,58.6,0.652561247,0.425836181,,,0.652561247
Hanyang UniversitySouth Korea,29,31.1,,,-2.1,-0.072413793,0.005243757,,,0.072413793
Renmin University of ChinaChina,59.6,30.7,,,28.9,0.484899329,0.235127359,,,0.484899329
Waseda UniversityJapan,55.5,29.4,,,26.1,0.47027027,0.221154127,,,0.47027027
Hokkaido UniversityJapan,32.2,29.3,,,2.9,0.090062112,0.008111184,,,0.090062112
Middle East Technical UniversityTurkey,92,28.8,,,63.2,0.686956522,0.471909263,,,0.686956522
National Cheng Kung UniversityTaiwan,28.4,27.2,,,1.2,0.042253521,0.00178536,,,0.042253521
Istanbul Technical UniversityTurkey,79.7,26.5,,,53.2,0.667503137,0.445560438,,,0.667503137
Novosibirsk State UniversityRussian Federation,70.5,26.2,,,44.3,0.628368794,0.394847342,,,0.628368794
National Sun Yat-Sen UniversityTaiwan,39,25.8,,,13.2,0.338461538,0.114556213,,,0.338461538
Florida Institute of TechnologyUnited States of America,99.2,24.6,,,74.6,0.752016129,0.565528258,,,0.752016129
State University of CampinasBrazil,28,22.6,,,5.4,0.192857143,0.037193878,,,0.192857143
University of SeoulSouth Korea,63.3,21.4,,,41.9,0.66192733,0.43814779,,,0.66192733
Lappeenranta University of TechnologyFinland,59.9,20.8,,,39.1,0.652754591,0.426088556,,,0.652754591
University of São PauloBrazil,32.3,20.4,,,11.9,0.368421053,0.135734072,,,0.368421053
Wuhan UniversityChina,48.5,18,,,30.5,0.628865979,0.39547242,,,0.628865979
University of Marrakech Cadi AyyadMorocco,83,12.1,,,70.9,0.854216867,0.729686457,,,0.854216867
Lomonosov Moscow State UniversityRussian Federation,33.8,8.6,,,25.2,0.74556213,0.55586289,,,0.74556213
,,,,,,,,,,
,,,,,,SUM,18.36279996,,SUM,60.86140129
,,,,,,SUM/N,0.046843877,,V,0.155258677
,,,,,,V,0.216434465,,,
