University,Teaching-15,Teaching-16,,,B2-C2,B2-C2/B2,,,,ABS
University of Nebraska-LincolnUnited States of America,31,30.1,,,0.9,0.029032258,0.000842872,,,0.029032258
Polytechnic University of MilanItaly,27.6,30.1,,,-2.5,-0.09057971,0.008204684,,,0.09057971
Middle East Technical UniversityTurkey,45.5,29.9,,,15.6,0.342857143,0.11755102,,,0.342857143
Royal College of Surgeons in IrelandRepublic of Ireland,24.7,29.9,,,-5.2,-0.210526316,0.04432133,,,0.210526316
National Cheng Kung UniversityTaiwan,31.8,29.8,,,2,0.062893082,0.00395554,,,0.062893082
University of AberdeenUnited Kingdom,28,29.7,,,-1.7,-0.060714286,0.003686224,,,0.060714286
Indian Institute of Technology RoorkeeIndia,25.2,29.7,25.2,29.7,-4.5,-0.178571429,0.031887755,,,0.178571429
University of SalentoItaly,32.3,29.6,,,2.7,0.083591331,0.006987511,,,0.083591331
George Mason UniversityUnited States of America,26.3,29.6,,,-3.3,-0.125475285,0.015744047,,,0.125475285
Hong Kong Polytechnic UniversityHong Kong,33.7,29.3,,,4.4,0.130563798,0.017046905,,,0.130563798
University of LiègeBelgium,25.9,29.1,,,-3.2,-0.123552124,0.015265127,,,0.123552124
Washington State UniversityUnited States of America,28.5,29,,,-0.5,-0.01754386,0.000307787,,,0.01754386
University of BathUnited Kingdom,29.2,28.9,,,0.3,0.010273973,0.000105555,,,0.010273973
Queensland University of TechnologyAustralia,29.9,28.8,,,1.1,0.036789298,0.001353452,,,0.036789298
Vrije Universiteit BrusselBelgium,31.2,28.7,,,2.5,0.080128205,0.006420529,,,0.080128205
University of Bari Aldo MoroItaly,29.1,28.7,,,0.4,0.013745704,0.000188944,,,0.013745704
University College CorkRepublic of Ireland,26.7,28.6,,,-1.9,-0.071161049,0.005063895,,,0.071161049
Colorado School of MinesUnited States of America,26.1,28.5,,,-2.4,-0.091954023,0.008455542,,,0.091954023
University of GothenburgSweden,24.1,28.5,,,-4.4,-0.182572614,0.033332759,,,0.182572614
Macquarie UniversityAustralia,24,28.5,,,-4.5,-0.1875,0.03515625,,,0.1875
VU University AmsterdamNetherlands,35.5,28.4,,,7.1,0.2,0.04,,,0.2
Brandeis UniversityUnited States of America,25.8,28.3,,,-2.5,-0.096899225,0.00938946,,,0.096899225
Stellenbosch UniversitySouth Africa,30,28.2,,,1.8,0.06,0.0036,,,0.06
University of JyväskyläFinland,27.6,28.2,,,-0.6,-0.02173913,0.00047259,,,0.02173913
"University of California, RiversideUnited States of America",29.4,27.5,,,1.9,0.06462585,0.004176501,,,0.06462585
University of TurinItaly,29.4,27.4,,,2,0.068027211,0.004627701,,,0.068027211
University of NewcastleAustralia,26.5,27.4,,,-0.9,-0.033962264,0.001153435,,,0.033962264
"National University of Ireland, GalwayRepublic of Ireland",26.7,27.3,,,-0.6,-0.02247191,0.000504987,,,0.02247191
University of ManitobaCanada,31.6,27.1,,,4.5,0.142405063,0.020279202,,,0.142405063
Lappeenranta University of TechnologyFinland,25.2,27.1,,,-1.9,-0.075396825,0.005684681,,,0.075396825
University of TurkuFinland,24.3,27.1,,,-2.8,-0.115226337,0.013277109,,,0.115226337
Sharif University of TechnologyIran,28.7,26.6,,,2.1,0.073170732,0.005353956,,,0.073170732
Medical University of ViennaAustria,28.6,26.6,,,2,0.06993007,0.004890215,,,0.06993007
University of TriesteItaly,28.7,26.5,,,2.2,0.076655052,0.005875997,,,0.076655052
UiT The Arctic University of NorwayNorway,20.7,26.5,,,-5.8,-0.280193237,0.07850825,,,0.280193237
University of South AustraliaAustralia,25.7,26.4,,,-0.7,-0.027237354,0.000741873,,,0.027237354
University of the WitwatersrandSouth Africa,22.3,26.2,,,-3.9,-0.174887892,0.030585775,,,0.174887892
Université Libre de BruxellesBelgium,26.7,26.1,,,0.6,0.02247191,0.000504987,,,0.02247191
National Sun Yat-Sen UniversityTaiwan,26.4,26.1,,,0.3,0.011363636,0.000129132,,,0.011363636
University of WarsawPoland,20.8,26.1,,,-5.3,-0.254807692,0.06492696,,,0.254807692
Victoria University of WellingtonNew Zealand,21.6,26,,,-4.4,-0.203703704,0.041495199,,,0.203703704
University of LisbonPortugal,30.1,25.9,,,4.2,0.139534884,0.019469984,,,0.139534884
University of WollongongAustralia,25.2,25.8,,,-0.6,-0.023809524,0.000566893,,,0.023809524
University of PaduaItaly,20.7,25.7,,,-5,-0.241545894,0.058344419,,,0.241545894
University of New MexicoUnited States of America,29.6,25.6,,,4,0.135135135,0.018261505,,,0.135135135
State University of New York AlbanyUnited States of America,25.7,25.6,,,0.1,0.003891051,1.51403E-05,,,0.003891051
University of DundeeUnited Kingdom,24.4,25.6,,,-1.2,-0.049180328,0.002418705,,,0.049180328
"St George’s, University of LondonUnited Kingdom",23.1,25.6,,,-2.5,-0.108225108,0.011712674,,,0.108225108
University of StrasbourgFrance,28.6,25.5,,,3.1,0.108391608,0.011748741,,,0.108391608
Aalborg UniversityDenmark,23.8,25.1,,,-1.3,-0.054621849,0.002983546,,,0.054621849
University of PaviaItaly,26.3,25,,,1.3,0.049429658,0.002443291,,,0.049429658
University of GrazAustria,23.7,24.9,,,-1.2,-0.050632911,0.002563692,,,0.050632911
University of South FloridaUnited States of America,27.7,24.8,,,2.9,0.104693141,0.010960654,,,0.104693141
University of Eastern FinlandFinland,24.3,24.8,,,-0.5,-0.020576132,0.000423377,,,0.020576132
Brunel University LondonUnited Kingdom,22.1,24.8,,,-2.7,-0.122171946,0.014925984,,,0.122171946
Panjab UniversityIndia,23.7,24.6,23.7,24.6,-0.9,-0.037974684,0.001442077,,,0.037974684
University of Milan-BicoccaItaly,27.1,24.3,,,2.8,0.103321033,0.010675236,,,0.103321033
University of Texas at DallasUnited States of America,26,24.3,,,1.7,0.065384615,0.004275148,,,0.065384615
Linköping UniversitySweden,20.2,24.2,,,-4,-0.198019802,0.039211842,,,0.198019802
Lehigh UniversityUnited States of America,25.4,23.9,,,1.5,0.059055118,0.003487507,,,0.059055118
Ewha Womans UniversitySouth Korea,23.5,23.9,,,-0.4,-0.017021277,0.000289724,,,0.017021277
University of MinhoPortugal,20.2,23.9,,,-3.7,-0.183168317,0.033550632,,,0.183168317
University of DelawareUnited States of America,29,23.7,,,5.3,0.182758621,0.033400713,,,0.182758621
Waseda UniversityJapan,25.5,23.6,,,1.9,0.074509804,0.005551711,,,0.074509804
University of InnsbruckAustria,23.9,23.6,,,0.3,0.012552301,0.00015756,,,0.012552301
University of TampereFinland,22.9,23.5,,,-0.6,-0.026200873,0.000686486,,,0.026200873
University of CanterburyNew Zealand,21.1,23.5,,,-2.4,-0.113744076,0.012937715,,,0.113744076
Simon Fraser UniversityCanada,24.6,23.2,,,1.4,0.056910569,0.003238813,,,0.056910569
University of Rome IIIItaly,19.3,23.1,,,-3.8,-0.196891192,0.038766141,,,0.196891192
Kansas State UniversityUnited States of America,27,22.9,,,4.1,0.151851852,0.023058985,,,0.151851852
University of SeoulSouth Korea,21,22.8,,,-1.8,-0.085714286,0.007346939,,,0.085714286
University of ValenciaSpain,17.9,22.7,,,-4.8,-0.268156425,0.071907868,,,0.268156425
Bilkent UniversityTurkey,28,22.6,,,5.4,0.192857143,0.037193878,,,0.192857143
Bangor UniversityUnited Kingdom,22.4,22.6,,,-0.2,-0.008928571,7.97194E-05,,,0.008928571
University of StirlingUnited Kingdom,21.5,22.6,,,-1.1,-0.051162791,0.002617631,,,0.051162791
Hong Kong Baptist UniversityHong Kong,21.2,22.6,,,-1.4,-0.066037736,0.004360983,,,0.066037736
Deakin UniversityAustralia,20.1,22.4,,,-2.3,-0.114427861,0.013093735,,,0.114427861
Sabancı UniversityTurkey,26,22.3,,,3.7,0.142307692,0.020251479,,,0.142307692
University of FlorenceItaly,18.1,21.7,,,-3.6,-0.198895028,0.039559232,,,0.198895028
University of PisaItaly,22.4,21.6,,,0.8,0.035714286,0.00127551,,,0.035714286
Aberystwyth UniversityUnited Kingdom,20.7,21.6,,,-0.9,-0.043478261,0.001890359,,,0.043478261
Tokyo Metropolitan UniversityJapan,19.6,21.6,,,-2,-0.102040816,0.010412328,,,0.102040816
Swinburne University of TechnologyAustralia,20.2,21.5,,,-1.3,-0.064356436,0.004141751,,,0.064356436
Claude Bernard University Lyon 1France,19.1,21.3,,,-2.2,-0.115183246,0.01326718,,,0.115183246
Boğaziçi UniversityTurkey,28.5,21.2,,,7.3,0.256140351,0.065607879,,,0.256140351
Koç UniversityTurkey,21.6,21.2,,,0.4,0.018518519,0.000342936,,,0.018518519
"University of the Andes, ColombiaColombia",17.3,21.2,,,-3.9,-0.225433526,0.050820275,,,0.225433526
Umeå UniversitySweden,21.2,20.8,,,0.4,0.018867925,0.000355999,,,0.018867925
University of VictoriaCanada,21.6,20.6,,,1,0.046296296,0.002143347,,,0.046296296
Florida Institute of TechnologyUnited States of America,19.7,20.4,,,-0.7,-0.035532995,0.001262594,,,0.035532995
San Diego State UniversityUnited States of America,19.7,20.3,,,-0.6,-0.030456853,0.00092762,,,0.030456853
Curtin UniversityAustralia,20.1,20.1,,,0,0,0,,,0
Western Sydney UniversityAustralia,17.8,20.1,,,-2.3,-0.129213483,0.016696124,,,0.129213483
Carleton UniversityCanada,24.3,19.9,,,4.4,0.181069959,0.03278633,,,0.181069959
University of WaikatoNew Zealand,18.6,19.3,,,-0.7,-0.037634409,0.001416349,,,0.037634409
Plymouth UniversityUnited Kingdom,18.4,19.3,,,-0.9,-0.048913043,0.002392486,,,0.048913043
Istanbul Technical UniversityTurkey,30.2,19.2,,,11,0.364238411,0.13266962,,,0.364238411
University of Southern DenmarkDenmark,19.5,19.2,,,0.3,0.015384615,0.000236686,,,0.015384615
Murdoch UniversityAustralia,21.2,18.7,,,2.5,0.117924528,0.013906194,,,0.117924528
University of CreteGreece,19,18.6,,,0.4,0.021052632,0.000443213,,,0.021052632
University of MacauMacau,17.1,18.5,,,-1.4,-0.081871345,0.006702917,,,0.081871345
Aston UniversityUnited Kingdom,19.4,18.4,,,1,0.051546392,0.002657031,,,0.051546392
King Mongkut’s University of Technology ThonburiThailand,16.7,18.2,,,-1.5,-0.089820359,0.008067697,,,0.089820359
Isfahan University of TechnologyIran,20.7,18.1,,,2.6,0.125603865,0.015776331,,,0.125603865
Charles Darwin UniversityAustralia,20.3,17.8,,,2.5,0.123152709,0.01516659,,,0.123152709
University of FerraraItaly,19.5,17.7,,,1.8,0.092307692,0.00852071,,,0.092307692
University of Marrakech Cadi AyyadMorocco,16.3,17.4,,,-1.1,-0.067484663,0.00455418,,,0.067484663
University of PortsmouthUnited Kingdom,16.1,17.2,,,-1.1,-0.068322981,0.00466803,,,0.068322981
Federico Santa María Technical UniversityChile,13,17.2,,,-4.2,-0.323076923,0.104378698,,,0.323076923
Norwegian University of Science and TechnologyNorway,33.5,16.3,,,17.2,0.513432836,0.263613277,,,0.513432836
University of IcelandIceland,14.9,16.2,,,-1.3,-0.087248322,0.00761227,,,0.087248322
University of HertfordshireUnited Kingdom,16.2,15.5,,,0.7,0.043209877,0.001867093,,,0.043209877
,,,,,,,,,,
,,,,,,SUM,9.75067956,,SUM,43.49007759
,,,,,,SUM/N,0.024874183,,V,0.110944075
,,,,,,V,0.157715511,,,
