University,Rank-15,Rank-16,,,B2-C2,B2-C2/B2,,,,ABS
Tufts UniversityUnited States of America,88,127,,,-39,-0.443181818,0.196410124,,,0.443181818
University of Colorado BoulderUnited States of America,97,127,,,-30,-0.309278351,0.095653098,,,0.309278351
"Royal Holloway, University of LondonUnited Kingdom",118,129,,,-11,-0.093220339,0.008690032,,,0.093220339
Lancaster UniversityUnited Kingdom,131,130,,,1,0.007633588,5.82717E-05,,,0.007633588
University of GenevaSwitzerland,107,131,,,-24,-0.224299065,0.050310071,,,0.224299065
University of YorkUnited Kingdom,113,131,,,-18,-0.159292035,0.025373953,,,0.159292035
Case Western Reserve UniversityUnited States of America,116,133,,,-17,-0.146551724,0.021477408,,,0.146551724
University of LeedsUnited Kingdom,146,133,,,13,0.089041096,0.007928317,,,0.089041096
University of OsloNorway,186,135,,,51,0.274193548,0.075182102,,,0.274193548
Stockholm UniversitySweden,98,136,,,-38,-0.387755102,0.150354019,,,0.387755102
University of AlbertaCanada,124,137,,,-13,-0.10483871,0.010991155,,,0.10483871
Chinese University of Hong KongHong Kong,129,138,,,-9,-0.069767442,0.004867496,,,0.069767442
Karlsruhe Institute of TechnologyGermany,165,138,,,27,0.163636364,0.02677686,,,0.163636364
University of SussexUnited Kingdom,111,140,,,-29,-0.261261261,0.068257447,,,0.261261261
University of MassachusettsUnited States of America,91,141,,,-50,-0.549450549,0.301895906,,,0.549450549
University of ViennaAustria,182,142,,,40,0.21978022,0.048303345,,,0.21978022
University of NottinghamUnited Kingdom,171,143,,,28,0.16374269,0.026811669,,,0.16374269
"University of California, Santa CruzUnited States of America",109,144,,,-35,-0.321100917,0.103105799,,,0.321100917
University of LausanneSwitzerland,136,144,,,-8,-0.058823529,0.003460208,,,0.058823529
University of VirginiaUnited States of America,130,147,,,-17,-0.130769231,0.017100592,,,0.130769231
Korea Advanced Institute of Science and Technology (KAIST)South Korea,52,148,,,-96,-1.846153846,3.408284024,,,1.846153846
Aarhus UniversityDenmark,153,149,,,4,0.026143791,0.000683498,,,0.026143791
University of AdelaideAustralia,164,149,,,15,0.091463415,0.008365556,,,0.091463415
University of East AngliaUnited Kingdom,198,149,,,49,0.247474747,0.061243751,,,0.247474747
Sungkyunkwan University (SKKU)South Korea,148,153,,,-5,-0.033783784,0.001141344,,,0.033783784
VU University AmsterdamNetherlands,136,154,,,-18,-0.132352941,0.017517301,,,0.132352941
KTH Royal Institute of TechnologySweden,126,155,,,-29,-0.23015873,0.052973041,,,0.23015873
University of LiverpoolUnited Kingdom,157,157,,,0,0,0,,,0
University of RochesterUnited States of America,121,158,,,-37,-0.305785124,0.093504542,,,0.305785124
TU Dresden Germany,135,158,,,-23,-0.17037037,0.029026063,,,0.17037037
Trinity College DublinRepublic of Ireland,138,160,,,-22,-0.15942029,0.025414829,,,0.15942029
University of MiamiUnited States of America,169,161,,,8,0.047337278,0.002240818,,,0.047337278
Lomonosov Moscow State UniversityRussian Federation,196,161,,,35,0.178571429,0.031887755,,,0.178571429
University of ArizonaUnited States of America,86,163,,,-77,-0.895348837,0.80164954,,,0.895348837
Pompeu Fabra UniversitySpain,165,164,,,1,0.006060606,3.67309E-05,,,0.006060606
Yeshiva UniversityUnited States of America,186,164,,,22,0.11827957,0.013990057,,,0.11827957
Technical University of DenmarkDenmark,121,167,,,-46,-0.380165289,0.144525647,,,0.380165289
"University of California, RiversideUnited States of America",150,167,,,-17,-0.113333333,0.012844444,,,0.113333333
National Taiwan UniversityTaiwan,155,167,,,-12,-0.077419355,0.005993757,,,0.077419355
Université Catholique de LouvainBelgium,171,167,,,4,0.023391813,0.000547177,,,0.023391813
University of LeicesterUnited Kingdom,199,167,,,32,0.16080402,0.025857933,,,0.16080402
University of AucklandNew Zealand,175,172,,,3,0.017142857,0.000293878,,,0.017142857
University of AberdeenUnited Kingdom,178,172,,,6,0.033707865,0.00113622,,,0.033707865
Eindhoven University of TechnologyNetherlands,144,176,,,-32,-0.222222222,0.049382716,,,0.222222222
University of UtahUnited States of America,162,182,,,-20,-0.12345679,0.015241579,,,0.12345679
Brandeis UniversityUnited States of America,147,185,,,-38,-0.258503401,0.066824009,,,0.258503401
Paris-Sud UniversityFrance,120,188,,,-68,-0.566666667,0.321111111,,,0.566666667
Arizona State UniversityUnited States of America,182,189,,,-7,-0.038461538,0.00147929,,,0.038461538
Boston CollegeUnited States of America,126,190,,,-64,-0.507936508,0.257999496,,,0.507936508
University of AntwerpBelgium,170,190,,,-20,-0.117647059,0.01384083,,,0.117647059
Texas A&M UniversityUnited States of America,141,193,,,-52,-0.368794326,0.136009255,,,0.368794326
"St George’s, University of LondonUnited Kingdom",196,196,,,0,0,0,,,0
Paris Diderot University – Paris 7France,180,199,,,-19,-0.105555556,0.011141975,,,0.105555556
,,,,,,,,,,
,,,,,,SUM,22.05508975,,SUM,42.58761788
,,,,,,SUM/N,0.12531301,,V,0.241975102
,,,,,,V,0.353995777,,,
