University,Industry Income-15,Industry Income-16,,,B2-C2,B2-C2/B2,,,,ABS
Umeå UniversitySweden,31.3,31.1,,,0.2,0.006389776,4.08292E-05,,,0.006389776
University of MissouriUnited States of America,31.2,31.1,,,0.1,0.003205128,1.02728E-05,,,0.003205128
University of SussexUnited Kingdom,31.2,30.6,,,0.6,0.019230769,0.000369822,,,0.019230769
Bangor UniversityUnited Kingdom,31.1,31,,,0.1,0.003215434,1.0339E-05,,,0.003215434
University of GeorgiaUnited States of America,31.1,30.9,,,0.2,0.006430868,4.13561E-05,,,0.006430868
University of ConnecticutUnited States of America,31.1,30.9,,,0.2,0.006430868,4.13561E-05,,,0.006430868
University of BarcelonaSpain,31,31.1,,,-0.1,-0.003225806,1.04058E-05,,,0.003225806
Tokyo Metropolitan UniversityJapan,31,30.9,,,0.1,0.003225806,1.04058E-05,,,0.003225806
University of ValenciaSpain,30.8,31.3,,,-0.5,-0.016233766,0.000263535,,,0.016233766
University of StirlingUnited Kingdom,30.7,30.4,,,0.3,0.009771987,9.54917E-05,,,0.009771987
Carleton UniversityCanada,30.7,30.4,,,0.3,0.009771987,9.54917E-05,,,0.009771987
Deakin UniversityAustralia,30.6,30,,,0.6,0.019607843,0.000384468,,,0.019607843
Trinity College DublinRepublic of Ireland,30.6,28,,,2.6,0.08496732,0.007219446,,,0.08496732
Western Sydney UniversityAustralia,30.4,30.7,,,-0.3,-0.009868421,9.73857E-05,,,0.009868421
Boston UniversityUnited States of America,30.3,30.3,,,0,0,0,,,0
New York UniversityUnited States of America,30.2,30.4,,,-0.2,-0.006622517,4.38577E-05,,,0.006622517
University of GrazAustria,30.2,29.3,,,0.9,0.029801325,0.000888119,,,0.029801325
University of WürzburgGermany,30,47.9,,,-17.9,-0.596666667,0.356011111,,,0.596666667
William & MaryUnited States of America,30,29.1,,,0.9,0.03,0.0009,,,0.03
University of HertfordshireUnited Kingdom,29.6,29.3,,,0.3,0.010135135,0.000102721,,,0.010135135
University of ViennaAustria,29.4,30.2,,,-0.8,-0.027210884,0.000740432,,,0.027210884
Charles University in PragueCzech Republic,29.4,28.2,,,1.2,0.040816327,0.001665973,,,0.040816327
École Normale Supérieure de LyonFrance,29.3,31.7,,,-2.4,-0.081911263,0.006709455,,,0.081911263
George Washington UniversityUnited States of America,29.3,29.5,,,-0.2,-0.006825939,4.65934E-05,,,0.006825939
San Diego State UniversityUnited States of America,29.2,29.3,,,-0.1,-0.003424658,1.17283E-05,,,0.003424658
University of PortsmouthUnited Kingdom,29.2,28.9,,,0.3,0.010273973,0.000105555,,,0.010273973
University of East AngliaUnited Kingdom,29.2,28.5,,,0.7,0.023972603,0.000574686,,,0.023972603
Paris Diderot University – Paris 7France,29.1,29,,,0.1,0.003436426,1.1809E-05,,,0.003436426
University of EssexUnited Kingdom,29.1,28.9,,,0.2,0.006872852,4.72361E-05,,,0.006872852
University of SeoulSouth Korea,29.1,28.9,,,0.2,0.006872852,4.72361E-05,,,0.006872852
Hong Kong Baptist UniversityHong Kong,29.1,28.8,,,0.3,0.010309278,0.000106281,,,0.010309278
Paris-Sud UniversityFrance,28.9,28.8,,,0.1,0.003460208,1.1973E-05,,,0.003460208
University of CologneGermany,28.8,68.5,,,-39.7,-1.378472222,1.900185667,,,1.378472222
Plymouth UniversityUnited Kingdom,28.8,28.5,,,0.3,0.010416667,0.000108507,,,0.010416667
George Mason UniversityUnited States of America,28.7,29.1,,,-0.4,-0.013937282,0.000194248,,,0.013937282
"Birkbeck, University of LondonUnited Kingdom",28.7,28.5,,,0.2,0.006968641,4.8562E-05,,,0.006968641
University of Marrakech Cadi AyyadMorocco,28.6,29.2,,,-0.6,-0.020979021,0.000440119,,,0.020979021
University of WarsawPoland,28.5,28.5,,,0,0,0,,,0
Royal College of Surgeons in IrelandRepublic of Ireland,28.4,33.9,,,-5.5,-0.193661972,0.037504959,,,0.193661972
Panjab UniversityIndia,28.3,28.1,28.3,28.1,0.2,0.007067138,4.99444E-05,,,0.007067138
Federico Santa María Technical UniversityChile,28.1,35.1,,,-7,-0.24911032,0.062055952,,,0.24911032
,,,,,,,,,,
,,,,,,,19.30355595,,,45.22712782
,,,,,,,0.051752161,,V,0.121252353
,,,,,,V,0.227491012,,,
