,Overall,Overall-14
Technical University of Denmark,48.9,52.7
Université Jean Moulin Lyon 3,55.1,52.2
Rice University,49.7,52.2
University of Kentucky,46.9,51.9
Université de Caen Basse-Normandie,50.7,51.8
Temple University,48.9,51.8
Eindhoven University of Technology,48,51.6
Kyushu University,43.8,51.3
"KIT, Karlsruhe Institute of Technology",54.4,51.1
University of Helsinki,51.6,50.9
University of Groningen,51.1,50.9
TU Dortmund University,52.8,50.7
Yonsei University,50,50.7
Philipps-Universität Marburg,53.5,50.5
University of Science and Technology of China,48.1,50.4
Korea University,50.3,50.3
Vilnius University,48.2,50
Kagoshima University,55.2,49.9
Washington University in St. Louis,49.1,49.5
"University of Maryland, College Park",46,49.5
University of Hertfordshire,46.4,49.2
University of Tulsa,49.6,49.1
East China University of Science and Technology,56.4,48.6
University of Oslo,44.7,48.6
University of Karachi,54.1,48.5
"Goldsmiths, University of London",41.8,48.2
Université Pierre et Marie Curie (UPMC),44.5,47.6
Queen Mary University of London,49.2,47.4
Ural Federal University,48.4,47.4
The Ohio State University,51.2,47.2
Cardiff University,46.8,47.1
University of Huddersfield,44.6,47
University of Trieste,37.1,46.9
The University of Lahore,53.9,46.4
University of South Carolina,47.5,46.4
University of Minnesota,46.6,46.4
Tokyo University of Agriculture and Technology,48.7,46.2
Ghent University,46.4,46.2
Chalmers University of Technology,45.4,46.2
Michigan State University,39.2,46.2
The University of Adelaide,48.6,46.1
University of Manitoba,49.4,45.8
Stockholm School of Economics,45.5,45.8
Emory University,39.2,45.6
University of Haifa,46.4,45.5
Universidad de Talca,42.6,45.5
McMaster University,41.3,45.4
"University of Economics, Prague",37.7,45.4
Universidad Nacional Autónoma de México  (UNAM),45.5,45.2
Aalto University,43.9,45.1
Université de Cergy-Pontoise,50.5,45
University of Ljubljana,49.5,44.9
Albert-Ludwigs-Universitaet Freiburg,45.2,44.9
Istanbul University,40.4,44.8
Al-Imam Mohamed Ibn Saud Islamic University,38.8,44.8
Chungnam National University,47.7,44.7
University of Bahrain,41.3,44.7
Kazakh National Technical University named after K.I.Satpaev,40.3,44.5
Nanjing University,45.8,44.4
Maynooth University,45.5,44.4
Lancaster University,47,44.3
Aarhus University,49.4,44.2
Lomonosov Moscow State University,49.3,44.2
Universiti Utara Malaysia (UUM),42.6,44.2
Eberhard Karls Universität Tübingen,35.9,44
Lehigh University,45,43.6
Instituto Politécnico Nacional (IPN),36,43.6
Sungkyunkwan University (SKKU),48,43.5
The Hong Kong Polytechnic University,48,43.4
Yokohama National University,43.7,43.4
University of Southern California,45.8,43.2
University of Lausanne,42.9,43.2
Technische Universität Braunschweig,41.4,43.1
Universit Paul-Valery Montpellier 3,42.6,42.9
Peoples' Friendship University of Russia,41.1,42.2
University College Dublin,40.4,42.2
Erasmus University Rotterdam,46.2,42.1
Brigham Young University,41.6,42
Nagoya University,47.5,41.9
East China Normal University,41.9,41.9
Universidad San Francisco de Quito (USFQ),37.5,41.9
University of Colorado Boulder,35.7,41.9
Flinders University,42.6,41.7
University of Reading,40.1,41.7
University of Pittsburgh,45,41.6
Dartmouth College,40,41.6
University of Johannesburg,39.2,41.6
Université de Poitiers,36.5,41.6
Wageningen University,44.9,41.5
Universidad Torcuato Di Tella,44.8,41.3
The University of Exeter,39.7,41.3
Universidad de los Andes - (ULA) Mérida,37.5,41.1
Ain Shams University,43.4,41
National Tsing Hua University,40.4,40.9
Georg-August-University Goettingen,38.2,40.8
University of Houston,36.9,40.7
Clark University,47.6,40.5
Kazan (Volga region) Federal University,38.5,40.5
Universidad Tecnológica Nacional (UTN),43.1,40.4
Chung-Ang University(CAU),36.1,40.4
University of Basel,44.3,40.3
Indian Institute of Technology Guwahati (IITG),40.4,40.3
Newcastle University,39.7,40.3
Université Catholique de Louvain (UCL),41.7,40.2
Universidad de Buenos Aires (UBA),46.6,40.1
Université de Toulouse II-Le Mirail,39.2,40.1
University of Bath,40,40
Texas A&M University,39.9,40
University of Aberdeen,44.7,39.9
University of Waterloo,41,39.9
Universidad Adolfo Ibàñez,35.5,39.9
Universidad Simón Bolívar (USB),44.8,39.8
Hokkaido University,43.8,39.8
Universidad Nacional de Rosario (UNR),43.6,39.7
Universidad ANAHUAC,41.9,39.6
Universidad Peruana Cayetano Heredia (UPCH),44.9,39.5
University of Bern,39,39.5
RWTH Aachen University,42.5,39.3
Universidade de São Paulo,42.8,39.2
Kazakh-British Technical University,44.2,39.1
Universiti Malaya (UM),42.4,39.1
University of Murcia,37.5,39.1
Missouri S&T,39.4,38.9
Dongguk University,38.2,38.5
Pontificia Universidad Católica de Chile (UC),37.9,38.5
Rhodes University,35.9,38.4
University of Patras,37.1,38.3
University of Vienna,40.5,38.1
University of Otago,36.7,38.1
University of Liverpool,41.1,38
"National Technical University ""Kharkiv Polytechnic Institute""",39.7,38
Université Stendhal Grenoble 3,39.2,38
Maastricht University,38,38
Justus-Liebig-University Giessen,38.5,37.7
BNTU,40.1,37.5
Far Eastern Federal University,38.9,37.5
Inha University,37.8,37.4
University of Cape Town,37.8,37.3
Sultan Qaboos University,41.1,37.1
Cranfield University,38.1,37
University of Jordan,42.8,36.9
University at Albany SUNY,36.9,36.9
The Hebrew University of Jerusalem,41.9,36.8
Humboldt-Universität zu Berlin,46.1,36.6
South China University of Technology,35.6,36.6
Universidad Nacional Autónoma de México (UNAM),39.7,36.4
Ecole Centrale de Paris,40.1,36.1
"University of California, Irvine",39.7,36.1
Universidad de Puerto Rico,37.5,36.1
Northumbria University at Newcastle,35,36.1
Pontificia Universidade Católica de São Paulo (PUC -SP),41.4,35.8
Indian Institute of Science (IISc) Bangalore,42.3,35.6
National University of Sciences And Technology (NUST) Islamabad,38.8,35.6
University of Barcelona,38.9,35.5
Wayne State University,36.1,34.8
University of Virginia,37.4,34.7
Vrije Universiteit Amsterdam,35.5,34.7
Radboud University,35.1,34.7
