University,Int'l Faculty-15,Int'l Faculty-16,,,B2-C2,B2-C2/D2,E2^2,,,ABS
King Faisal University,100,99.7,,,0.3,0.003,9E-06,,,0.003
The Chinese University of Hong Kong (CUHK),97.8,99.5,,,-1.7,-0.017382413,0.000302148,,,0.017382413
The University of Western Australia,99.7,99.5,,,0.2,0.002006018,4.02411E-06,,,0.002006018
University of Lausanne,97.6,99.4,,,-1.8,-0.018442623,0.00034013,,,0.018442623
Hong Kong Baptist University,98.4,99.4,,,-1,-0.010162602,0.000103278,,,0.010162602
Umm Al-Qura University,99,99.4,,,-0.4,-0.004040404,1.63249E-05,,,0.004040404
"The University of Newcastle, Australia (UON)",96.3,99.3,,,-3,-0.031152648,0.000970487,,,0.031152648
The University of Western Ontario,95.5,99.2,,,-3.7,-0.038743455,0.001501055,,,0.038743455
University of Essex,98.4,99.2,,,-0.8,-0.008130081,6.60982E-05,,,0.008130081
UCL (University College London),95.5,99.1,,,-3.6,-0.037696335,0.001421014,,,0.037696335
Auckland University of Technology (AUT),94,99,,,-5,-0.053191489,0.002829335,,,0.053191489
King Abdulaziz University (KAU),96.7,99,,,-2.3,-0.023784902,0.000565722,,,0.023784902
University of Canterbury,99,99,,,0,0,0,,,0
King Saud University,97.6,98.8,,,-1.2,-0.012295082,0.000151169,,,0.012295082
Queen's University Belfast,97.8,98.8,,,-1,-0.010224949,0.00010455,,,0.010224949
Technical University of Denmark,97.1,98.7,,,-1.6,-0.016477858,0.00027152,,,0.016477858
University of Oxford,97.8,98.7,,,-0.9,-0.009202454,8.46852E-05,,,0.009202454
Queen Mary University of London,96.6,98.6,,,-2,-0.020703934,0.000428653,,,0.020703934
Heriot-Watt University,96.7,98.6,,,-1.9,-0.019648397,0.00038606,,,0.019648397
American University of Beirut (AUB),98.9,98.6,,,0.3,0.003033367,9.20132E-06,,,0.003033367
Deakin University,98.2,98.5,,,-0.3,-0.00305499,9.33296E-06,,,0.00305499
Bond University,94,98.4,,,-4.4,-0.046808511,0.002191037,,,0.046808511
Royal Holloway University of London,97.7,98.3,,,-0.6,-0.006141249,3.77149E-05,,,0.006141249
University of St Andrews,96.6,98.2,,,-1.6,-0.016563147,0.000274338,,,0.016563147
"Lingnan University, Hong Kong",96.8,98.2,,,-1.4,-0.01446281,0.000209173,,,0.01446281
Aston University,93.3,98.1,,,-4.8,-0.051446945,0.002646788,,,0.051446945
Johns Hopkins University,96.6,98.1,,,-1.5,-0.01552795,0.000241117,,,0.01552795
"University of California, Berkeley (UCB)",96.8,98.1,,,-1.3,-0.013429752,0.000180358,,,0.013429752
University of Sussex,100,98.1,,,1.9,0.019,0.000361,,,0.019
ESSEC Business School,87.7,98,,,-10.3,-0.117445838,0.013793525,,,0.117445838
"Trinity College Dublin, The University of Dublin",95.8,98,,,-2.2,-0.022964509,0.000527369,,,0.022964509
Griffith University,96.7,98,,,-1.3,-0.01344364,0.000180731,,,0.01344364
University of Limerick,93.6,97.9,,,-4.3,-0.045940171,0.002110499,,,0.045940171
La Trobe University,93.7,97.8,,,-4.1,-0.04375667,0.001914646,,,0.04375667
Al-Imam Muhammed Ibn Saud Islamic University,99.2,97.8,,,1.4,0.014112903,0.000199174,,,0.014112903
University of Kent,94.8,97.7,,,-2.9,-0.030590717,0.000935792,,,0.030590717
King's College London,95.4,97.6,,,-2.2,-0.023060797,0.0005318,,,0.023060797
University of Cambridge,96.2,97.6,,,-1.4,-0.014553015,0.00021179,,,0.014553015
"Birkbeck, University of London",93.4,97.5,,,-4.1,-0.043897216,0.001926966,,,0.043897216
Brunel University London,95.5,97.5,,,-2,-0.020942408,0.000438584,,,0.020942408
University of Waikato,96.4,97.3,,,-0.9,-0.0093361,8.71628E-05,,,0.0093361
Universität Innsbruck,95.2,97.2,,,-2,-0.021008403,0.000441353,,,0.021008403
University of Toronto,97.1,97.2,,,-0.1,-0.001029866,1.06062E-06,,,0.001029866
Ulster University,96.2,97.1,,,-0.9,-0.009355509,8.75256E-05,,,0.009355509
Murdoch University,90.9,96.9,,,-6,-0.066006601,0.004356871,,,0.066006601
James Cook University,91.4,96.9,,,-5.5,-0.060175055,0.003621037,,,0.060175055
The American University in Cairo,93,96.9,,,-3.9,-0.041935484,0.001758585,,,0.041935484
University of Vienna,94.8,96.9,,,-2.1,-0.022151899,0.000490707,,,0.022151899
Queensland University of Technology (QUT),95.6,96.9,,,-1.3,-0.013598326,0.000184914,,,0.013598326
Ecole Polytechnique,96.2,96.9,,,-0.7,-0.007276507,5.29476E-05,,,0.007276507
University of Technology Sydney,95.6,96.7,,,-1.1,-0.011506276,0.000132394,,,0.011506276
Delft University of Technology,93.2,96.5,,,-3.3,-0.035407725,0.001253707,,,0.035407725
Massey University,95.1,96.5,,,-1.4,-0.014721346,0.000216718,,,0.014721346
Purdue University,94.1,96.1,,,-2,-0.021253985,0.000451732,,,0.021253985
"City, University of London",92.9,96,,,-3.1,-0.033369214,0.001113504,,,0.033369214
The University of Warwick,93.5,96,,,-2.5,-0.026737968,0.000714919,,,0.026737968
University of Surrey,94.5,96,,,-1.5,-0.015873016,0.000251953,,,0.015873016
Macquarie University,100,96,,,4,0.04,0.0016,,,0.04
University of the Witwatersrand,88.7,95.9,,,-7.2,-0.081172492,0.006588973,,,0.081172492
University of Aberdeen,93.4,95.9,,,-2.5,-0.026766595,0.000716451,,,0.026766595
Boston College,94,95.5,,,-1.5,-0.015957447,0.00025464,,,0.015957447
"University of California, Riverside",89,95.4,,,-6.4,-0.071910112,0.005171064,,,0.071910112
The University of Edinburgh,93.1,95.3,,,-2.2,-0.023630505,0.000558401,,,0.023630505
Cranfield University,92.2,95.1,,,-2.9,-0.031453362,0.000989314,,,0.031453362
Universite libre de Bruxelles,93.8,95.1,,,-1.3,-0.013859275,0.00019208,,,0.013859275
University of Bath,90.5,95,,,-4.5,-0.049723757,0.002472452,,,0.049723757
Instituto Tecnológico y de Estudios Superiores de Monterrey,83.3,94.9,,,-11.6,-0.139255702,0.019392151,,,0.139255702
Simon Fraser University,93.5,94.9,,,-1.4,-0.014973262,0.000224199,,,0.014973262
Maastricht University,94.8,94.9,,,-0.1,-0.001054852,1.11271E-06,,,0.001054852
The University of Adelaide,93.5,94.5,,,-1,-0.010695187,0.000114387,,,0.010695187
Durham University,91.7,94,,,-2.3,-0.025081788,0.000629096,,,0.025081788
Université de Montréal,85,93.3,,,-8.3,-0.097647059,0.009534948,,,0.097647059
University of Southampton,89.2,93.3,,,-4.1,-0.045964126,0.002112701,,,0.045964126
University College Dublin,90.9,93.1,,,-2.2,-0.02420242,0.000585757,,,0.02420242
University College Cork,92.1,93.1,,,-1,-0.010857763,0.000117891,,,0.010857763
McMaster University,91.5,93,,,-1.5,-0.016393443,0.000268745,,,0.016393443
University of Tasmania,85.1,92.6,,,-7.5,-0.08813161,0.007767181,,,0.08813161
University of Alberta,90.3,92.6,,,-2.3,-0.025470653,0.000648754,,,0.025470653
Swinburne University of Technology,73.5,92,,,-18.5,-0.25170068,0.063353232,,,0.25170068
Lancaster University,91.4,91.9,,,-0.5,-0.00547046,2.99259E-05,,,0.00547046
Lincoln University,81.7,91.7,,,-10,-0.122399021,0.01498152,,,0.122399021
Cornell University,90.2,91.6,,,-1.4,-0.015521064,0.000240903,,,0.015521064
University of Glasgow,86.9,91.2,,,-4.3,-0.049482163,0.002448484,,,0.049482163
California Institute of Technology (Caltech),90.2,91.2,,,-1,-0.011086475,0.00012291,,,0.011086475
Yale University,89.9,91.1,,,-1.2,-0.013348165,0.000178173,,,0.013348165
McGill University,88.3,90.9,,,-2.6,-0.029445074,0.000867012,,,0.029445074
"National University of Ireland, Galway",89.2,90.7,,,-1.5,-0.016816143,0.000282783,,,0.016816143
KTH Royal Institute of Technology,86.1,90.6,,,-4.5,-0.052264808,0.00273161,,,0.052264808
University of Bahrain,91.5,90.4,,,1.1,0.012021858,0.000144525,,,0.012021858
University of Birmingham,85.1,90.3,,,-5.2,-0.061104583,0.00373377,,,0.061104583
The University of Nottingham,87.3,90.3,,,-3,-0.034364261,0.001180902,,,0.034364261
The University of Manchester,83.9,90.1,,,-6.2,-0.073897497,0.00546084,,,0.073897497
University of York,87.1,89.6,,,-2.5,-0.028702641,0.000823842,,,0.028702641
Lebanese American University,69,89.3,,,-20.3,-0.294202899,0.086555346,,,0.294202899
Rice University,86.1,89.2,,,-3.1,-0.036004646,0.001296335,,,0.036004646
Lund University,83.5,89.1,,,-5.6,-0.067065868,0.004497831,,,0.067065868
University of Reading,86.6,89,,,-2.4,-0.027713626,0.000768045,,,0.027713626
University of Bristol,86.1,88.8,,,-2.7,-0.031358885,0.00098338,,,0.031358885
Stockholm School of Economics,88.2,88.7,,,-0.5,-0.005668934,3.21368E-05,,,0.005668934
University of Groningen,93.4,88.7,,,4.7,0.050321199,0.002532223,,,0.050321199
University of Dundee,84.2,88.5,,,-4.3,-0.051068884,0.002608031,,,0.051068884
University of Strathclyde,85.9,88.5,,,-2.6,-0.030267753,0.000916137,,,0.030267753
The University of Exeter,85.2,88.3,,,-3.1,-0.036384977,0.001323867,,,0.036384977
Maynooth University,88.3,88,,,0.3,0.003397508,1.15431E-05,,,0.003397508
Newcastle University,83.4,87.9,,,-4.5,-0.053956835,0.00291134,,,0.053956835
University of Twente,81.1,87.8,,,-6.7,-0.082614057,0.006825082,,,0.082614057
University of British Columbia,85.4,87.2,,,-1.8,-0.021077283,0.000444252,,,0.021077283
Tilburg University,78.3,87,,,-8.7,-0.111111111,0.012345679,,,0.111111111
University of Ottawa,75.3,86.6,,,-11.3,-0.150066401,0.022519925,,,0.150066401
The University of Auckland,85.2,86.5,,,-1.3,-0.015258216,0.000232813,,,0.015258216
Université Catholique de Louvain (UCL),78.9,86.3,,,-7.4,-0.093789607,0.00879649,,,0.093789607
Alpen-Adria-Universitaet Klagenfurt,80.9,86.2,,,-5.3,-0.065512979,0.00429195,,,0.065512979
University of Bergen,78.9,86.1,,,-7.2,-0.091254753,0.00832743,,,0.091254753
"Goldsmiths, University of London",79.3,86.1,,,-6.8,-0.085750315,0.007353117,,,0.085750315
Dublin City University,84.5,86.1,,,-1.6,-0.018934911,0.000358531,,,0.018934911
University of Copenhagen,82,86,,,-4,-0.048780488,0.002379536,,,0.048780488
The University of Sheffield,81.5,84.8,,,-3.3,-0.040490798,0.001639505,,,0.040490798
Universidade Federal do Rio Grande Do Sul,100,84.8,,,15.2,0.152,0.023104,,,0.152
"Ecole normale supérieure, Paris",55.6,84.5,,,-28.9,-0.519784173,0.270175586,,,0.519784173
University of Leicester,80,84.4,,,-4.4,-0.055,0.003025,,,0.055
Loughborough University,79.9,84.3,,,-4.4,-0.055068836,0.003032577,,,0.055068836
KU Leuven,80,83.7,,,-3.7,-0.04625,0.002139063,,,0.04625
Chalmers University of Technology,78.7,83.6,,,-4.9,-0.062261753,0.003876526,,,0.062261753
University of Liverpool,76.9,83.5,,,-6.6,-0.085825748,0.007366059,,,0.085825748
Middlesex University,84.3,83.5,,,0.8,0.009489917,9.00585E-05,,,0.009489917
Karolinska Institutet,74.8,83,,,-8.2,-0.109625668,0.012017787,,,0.109625668
University of Victoria,84.4,82.9,,,1.5,0.017772512,0.000315862,,,0.017772512
The University of Melbourne,80.1,82.6,,,-2.5,-0.031210986,0.000974126,,,0.031210986
Aalto University,75.6,81.6,,,-6,-0.079365079,0.006298816,,,0.079365079
University of East London,82.3,81.5,,,0.8,0.009720535,9.44888E-05,,,0.009720535
BI Norwegian Business School,78.2,81.4,,,-3.2,-0.040920716,0.001674505,,,0.040920716
University of Waterloo,78.3,81.4,,,-3.1,-0.039591315,0.001567472,,,0.039591315
The Ohio State University,80.4,81.3,,,-0.9,-0.01119403,0.000125306,,,0.01119403
University of East Anglia (UEA),71.3,81,,,-9.7,-0.136044881,0.01850821,,,0.136044881
University of Michigan,65.4,80.8,,,-15.4,-0.235474006,0.055448008,,,0.235474006
University of Calgary,69.1,80.4,,,-11.3,-0.163531114,0.026742425,,,0.163531114
University of Oslo,67,80.3,,,-13.3,-0.198507463,0.039405213,,,0.198507463
Vrije Universiteit Brussel (VUB),77.1,79.3,,,-2.2,-0.028534371,0.00081421,,,0.028534371
University of Leeds,75.8,77.9,,,-2.1,-0.027704485,0.000767539,,,0.027704485
Universiti Malaya (UM),80.6,77.7,,,2.9,0.035980149,0.001294571,,,0.035980149
University of Nebraska-Lincoln,72.7,77.4,,,-4.7,-0.064649243,0.004179525,,,0.064649243
Ben Gurion University of The Negev,85.2,76.8,,,8.4,0.098591549,0.009720294,,,0.098591549
Queen's University at Kingston,78.6,76.4,,,2.2,0.027989822,0.00078343,,,0.027989822
Universitat Pompeu Fabra,80.7,76.4,,,4.3,0.053283767,0.00283916,,,0.053283767
University of Southern Denmark,73.5,76,,,-2.5,-0.034013605,0.001156925,,,0.034013605
Qafqaz University,58.3,75.4,,,-17.1,-0.293310463,0.086031028,,,0.293310463
Stellenbosch University,57,74.4,,,-17.4,-0.305263158,0.093185596,,,0.305263158
Johannes Kepler University Linz,73.9,73.9,,,0,0,0,,,0
Norwegian University of Science And Technology,75.9,73.7,,,2.2,0.028985507,0.00084016,,,0.028985507
University of Stirling,71.5,73,,,-1.5,-0.020979021,0.000440119,,,0.020979021
Technische Universität Dresden,30.7,72.9,,,-42.2,-1.374592834,1.889505459,,,1.374592834
University of Greenwich,69.5,72.7,,,-3.2,-0.046043165,0.002119973,,,0.046043165
University of Amsterdam,70,72.4,,,-2.4,-0.034285714,0.00117551,,,0.034285714
Aalborg University,69.4,72.2,,,-2.8,-0.040345821,0.001627785,,,0.040345821
Missouri University of Science and Technology,74.9,71.8,,,3.1,0.041388518,0.001713009,,,0.041388518
University of Connecticut,84.4,71.8,,,12.6,0.1492891,0.022287235,,,0.1492891
Shanghai Jiao Tong University,60.8,71,,,-10.2,-0.167763158,0.028144477,,,0.167763158
Leiden University,66.7,71,,,-4.3,-0.064467766,0.004156093,,,0.064467766
"Kingston University, London",61.5,70.1,,,-8.6,-0.139837398,0.019554498,,,0.139837398
Laval University,67.7,69.9,,,-2.2,-0.032496307,0.00105601,,,0.032496307
Concordia University,69.1,69.7,,,-0.6,-0.008683068,7.53957E-05,,,0.008683068
University of Cape Town,70.1,69.3,,,0.8,0.011412268,0.00013024,,,0.011412268
Cardiff University,71.7,69.3,,,2.4,0.033472803,0.001120429,,,0.033472803
Copenhagen Business School,43,69.1,,,-26.1,-0.606976744,0.368420768,,,0.606976744
Brown University,49.4,69,,,-19.6,-0.396761134,0.157419397,,,0.396761134
Aberystwyth University,64.7,68.8,,,-4.1,-0.063369397,0.004015681,,,0.063369397
University of Kwazulu-Natal,80.3,68.7,,,11.6,0.144458281,0.020868195,,,0.144458281
Tongji University,48.9,68.5,,,-19.6,-0.400817996,0.160655066,,,0.400817996
Universitas Indonesia,38.7,68.1,,,-29.4,-0.759689922,0.577128778,,,0.759689922
University of Southern Queensland,46,68,,,-22,-0.47826087,0.228733459,,,0.47826087
Washington State University,67.1,68,,,-0.9,-0.013412817,0.000179904,,,0.013412817
University at Buffalo SUNY,70,68,,,2,0.028571429,0.000816327,,,0.028571429
Aarhus University,71,68,,,3,0.042253521,0.00178536,,,0.042253521
Swansea University,63.9,67.9,,,-4,-0.062597809,0.003918486,,,0.062597809
University of Antwerp,65,67,,,-2,-0.030769231,0.000946746,,,0.030769231
Fudan University,52.2,66.7,,,-14.5,-0.277777778,0.077160494,,,0.277777778
University of Portsmouth,66.6,66.6,,,0,0,0,,,0
University of Chicago,73.4,66.5,,,6.9,0.09400545,0.008837025,,,0.09400545
EBS Business School,47.9,66.3,,,-18.4,-0.384133612,0.147558632,,,0.384133612
Charles Darwin University,67,66.3,,,0.7,0.010447761,0.000109156,,,0.010447761
London Metropolitan University,64.3,66.2,,,-1.9,-0.029548989,0.000873143,,,0.029548989
Oxford Brookes University,65.8,66,,,-0.2,-0.003039514,9.23864E-06,,,0.003039514
Vienna University of Technology,62.3,65.7,,,-3.4,-0.054574639,0.002978391,,,0.054574639
"University of California, Davis",65.7,65.5,,,0.2,0.00304414,9.26679E-06,,,0.00304414
Princeton University,47.2,65.3,,,-18.1,-0.383474576,0.147052751,,,0.383474576
Technion - Israel Institute of Technology,60,65.3,,,-5.3,-0.088333333,0.007802778,,,0.088333333
University of Helsinki,59.9,65,,,-5.1,-0.085141903,0.007249144,,,0.085141903
WHU - Otto Beisheim School of Management,66.1,65,,,1.1,0.016641452,0.000276938,,,0.016641452
University of Notre Dame,83.5,65,,,18.5,0.221556886,0.049087454,,,0.221556886
University of Hawai'i at Mañoa,64.6,64.7,,,-0.1,-0.001547988,2.39627E-06,,,0.001547988
Coventry University,51.7,63.7,,,-12,-0.232108317,0.053874271,,,0.232108317
Erasmus University Rotterdam,69.2,63.5,,,5.7,0.082369942,0.006784807,,,0.082369942
Universidad San Francisco de Quito (USFQ),53.6,63.2,,,-9.6,-0.179104478,0.032078414,,,0.179104478
Kuwait University,51.9,63,,,-11.1,-0.213872832,0.045741588,,,0.213872832
Michigan State University,61.5,61.8,,,-0.3,-0.004878049,2.37954E-05,,,0.004878049
University of Hull,62.1,61.8,,,0.3,0.004830918,2.33378E-05,,,0.004830918
Bangor University,69.5,61.8,,,7.7,0.110791367,0.012274727,,,0.110791367
University of Saskatchewan,42.3,61.7,,,-19.4,-0.458628842,0.210340414,,,0.458628842
"University of California, Santa Barbara (UCSB)",62.7,61.5,,,1.2,0.019138756,0.000366292,,,0.019138756
Khazar University,58.5,61.2,,,-2.7,-0.046153846,0.002130178,,,0.046153846
University of Johannesburg,61.5,61.2,,,0.3,0.004878049,2.37954E-05,,,0.004878049
Oregon State University,58.5,60.2,,,-1.7,-0.029059829,0.000844474,,,0.029059829
Freie Universitaet Berlin,60.1,59.8,,,0.3,0.004991681,2.49169E-05,,,0.004991681
University of Hertfordshire,56.6,59.7,,,-3.1,-0.054770318,0.002999788,,,0.054770318
Technische Universität Darmstadt,59.9,59.5,,,0.4,0.006677796,4.4593E-05,,,0.006677796
Nanjing University,38.7,59.4,,,-20.7,-0.534883721,0.286100595,,,0.534883721
Utrecht University,59.4,59.3,,,0.1,0.001683502,2.83418E-06,,,0.001683502
Bilkent University,59.2,58.8,,,0.4,0.006756757,4.56538E-05,,,0.006756757
Universität Konstanz,59.2,58.7,,,0.5,0.008445946,7.1334E-05,,,0.008445946
Ludwig-Maximilians-Universität München,57.1,58.6,,,-1.5,-0.026269702,0.000690097,,,0.026269702
"KIT, Karlsruhe Institute of Technology",57.1,58.4,,,-1.3,-0.022767075,0.00051834,,,0.022767075
Universidad Peruana Cayetano Heredia (UPCH),35.5,58.3,,,-22.8,-0.642253521,0.412489585,,,0.642253521
Keele University,65.3,57.7,,,7.6,0.116385911,0.01354568,,,0.116385911
Ghent University,55.8,57.5,,,-1.7,-0.03046595,0.000928174,,,0.03046595
Humboldt-Universität zu Berlin,55.4,57.3,,,-1.9,-0.034296029,0.001176218,,,0.034296029
Albert-Ludwigs-Universitaet Freiburg,58.3,57.3,,,1,0.017152659,0.000294214,,,0.017152659
Instituto Tecnológico Autónomo de México (ITAM),49.6,57.2,,,-7.6,-0.153225806,0.023478148,,,0.153225806
Northeastern University,35.7,57,,,-21.3,-0.596638655,0.355977685,,,0.596638655
Universiti Teknologi Malaysia,74,56.8,,,17.2,0.232432432,0.054024836,,,0.232432432
Kazakh-British Technical University,75.7,56.6,,,19.1,0.252311757,0.063661223,,,0.252311757
Université Charles-de-Gaulle Lille 3,53.9,56.3,,,-2.4,-0.044526902,0.001982645,,,0.044526902
Plymouth University,52.8,56,,,-3.2,-0.060606061,0.003673095,,,0.060606061
Eberhard Karls Universität Tübingen,47.2,55.7,,,-8.5,-0.180084746,0.032430516,,,0.180084746
University of Bradford,59,55.5,,,3.5,0.059322034,0.003519104,,,0.059322034
Tampere University of Technology,72.7,55.3,,,17.4,0.239339752,0.057283517,,,0.239339752
Universiti Kebangsaan Malaysia (UKM),72.9,55,,,17.9,0.245541838,0.060290794,,,0.245541838
Universiti Utara Malaysia (UUM),31.9,54.9,,,-23,-0.721003135,0.51984552,,,0.721003135
Karl-Franzens-Universitaet Graz,56.8,54.9,,,1.9,0.033450704,0.00111895,,,0.033450704
Wuhan University,64.6,54.9,,,9.7,0.150154799,0.022546464,,,0.150154799
Technical University of Munich,53,53.7,,,-0.7,-0.013207547,0.000174439,,,0.013207547
Peking University,50.5,53.6,,,-3.1,-0.061386139,0.003768258,,,0.061386139
Sciences Po,64.1,53.2,,,10.9,0.170046802,0.028915915,,,0.170046802
"University of California, San Diego (UCSD)",31.3,52.9,,,-21.6,-0.690095847,0.476232278,,,0.690095847
University Ulm,48.4,52.9,,,-4.5,-0.092975207,0.008644389,,,0.092975207
University of Wisconsin-Madison,51.6,52.7,,,-1.1,-0.021317829,0.00045445,,,0.021317829
North Carolina State University,33.8,51.8,,,-18,-0.532544379,0.283603515,,,0.532544379
Radboud University,52.2,51.8,,,0.4,0.007662835,5.8719E-05,,,0.007662835
"University of California, Irvine",52.8,51.8,,,1,0.018939394,0.000358701,,,0.018939394
"University of Illinois, Chicago (UIC)",61.3,51.8,,,9.5,0.15497553,0.024017415,,,0.15497553
University of Canberra,54.8,51.7,,,3.1,0.056569343,0.003200091,,,0.056569343
The Hebrew University of Jerusalem,52,51.6,,,0.4,0.007692308,5.91716E-05,,,0.007692308
Emory University,45,51.2,,,-6.2,-0.137777778,0.018982716,,,0.137777778
University of Virginia,53.4,51.2,,,2.2,0.041198502,0.001697317,,,0.041198502
University of Pennsylvania,52.9,51.1,,,1.8,0.034026465,0.0011578,,,0.034026465
Edith Cowan University,53.3,50.6,,,2.7,0.05065666,0.002566097,,,0.05065666
University of South Florida,58.2,49.5,,,8.7,0.149484536,0.022345627,,,0.149484536
University of Guelph,50,49.1,,,0.9,0.018,0.000324,,,0.018
Ruprecht-Karls-Universitaet Heidelberg,49.5,48.4,,,1.1,0.022222222,0.000493827,,,0.022222222
Sabanci University,52.6,48,,,4.6,0.087452471,0.007647935,,,0.087452471
International Islamic University Malaysia (IIUM),54.4,46.9,,,7.5,0.137867647,0.019007488,,,0.137867647
Universität des Saarlandes,48.8,46.8,,,2,0.040983607,0.001679656,,,0.040983607
Abo Akademi University,45,46.5,,,-1.5,-0.033333333,0.001111111,,,0.033333333
Universidad de Buenos Aires (UBA),30.4,46.4,,,-16,-0.526315789,0.27700831,,,0.526315789
"University of California, Santa Cruz",75.8,45.7,,,30.1,0.397097625,0.157686524,,,0.397097625
University of Huddersfield,36.4,45.2,,,-8.8,-0.241758242,0.058447047,,,0.241758242
Universiti Putra Malaysia (UPM),44.5,45.2,,,-0.7,-0.015730337,0.000247444,,,0.015730337
Wageningen University,42.8,45.1,,,-2.3,-0.053738318,0.002887807,,,0.053738318
Université Paris Dauphine,43.3,45,,,-1.7,-0.03926097,0.001541424,,,0.03926097
Vrije Universiteit Amsterdam,44.3,45,,,-0.7,-0.015801354,0.000249683,,,0.015801354
University of Southern California,34.8,44.6,,,-9.8,-0.281609195,0.079303739,,,0.281609195
Pohang University of Science And Technology (POSTECH),49.7,44.5,,,5.2,0.104627767,0.01094697,,,0.104627767
"University of Missouri, Columbia",45.4,44.2,,,1.2,0.026431718,0.000698636,,,0.026431718
University of Trento,45.5,44,,,1.5,0.032967033,0.001086825,,,0.032967033
Charles Sturt University,52.7,44,,,8.7,0.165085389,0.027253186,,,0.165085389
Koc University,39.6,43.7,,,-4.1,-0.103535354,0.010719569,,,0.103535354
Robert Gordon University,46.5,43.6,,,2.9,0.062365591,0.003889467,,,0.062365591
Tsinghua University,47.8,43.3,,,4.5,0.094142259,0.008862765,,,0.094142259
University of Eastern Finland,46,42.9,,,3.1,0.067391304,0.004541588,,,0.067391304
Georg-August-University Goettingen,44.5,42.1,,,2.4,0.053932584,0.002908724,,,0.053932584
Université Toulouse 1 Capitole,43.6,42,,,1.6,0.036697248,0.001346688,,,0.036697248
Clarkson University,54.6,41.8,,,12.8,0.234432234,0.054958473,,,0.234432234
Universidad Adolfo Ibàñez,44.3,41.2,,,3.1,0.069977427,0.00489684,,,0.069977427
Linköping University,37.2,41.1,,,-3.9,-0.10483871,0.010991155,,,0.10483871
Universidad de las Américas Puebla (UDLAP),44.3,40.6,,,3.7,0.083521445,0.006975832,,,0.083521445
Beijing Normal University,58.6,40.4,,,18.2,0.310580205,0.096460064,,,0.310580205
Université de Strasbourg,42.3,40.3,,,2,0.047281324,0.002235524,,,0.047281324
Politecnico di Milano,38.2,40.1,,,-1.9,-0.04973822,0.002473891,,,0.04973822
University of Pittsburgh,64.6,40.1,,,24.5,0.379256966,0.143835846,,,0.379256966
Technische Universität Berlin (TU Berlin),39.2,39.8,,,-0.6,-0.015306122,0.000234277,,,0.015306122
