University, Rank-15,Rank-16,,,B2-C2,B2-C2/B2,,,,abs
L.N. Gumilyov Eurasian National University (ENU),371,345,,,26,0.070080863,0.004911327,,,0.070080863
"Stony Brook University, State University of New York",372,390,,,-18,-0.048387097,0.002341311,,,0.048387097
Lincoln University,373,343,,,30,0.080428954,0.006468817,,,0.080428954
American University,373,384,,,-11,-0.029490617,0.000869696,,,0.029490617
National Taiwan Normal University,376,310,,,66,0.175531915,0.030811453,,,0.175531915
Université de Montpellier,376,327,,,49,0.130319149,0.016983081,,,0.130319149
National Technical University of Athens,376,395,,,-19,-0.050531915,0.002553474,,,0.050531915
University of Tasmania,379,370,,,9,0.023746702,0.000563906,,,0.023746702
National Sun Yat-sen University,379,395,,,-16,-0.042216359,0.001782221,,,0.042216359
Universität Jena,381,363,,,18,0.047244094,0.002232004,,,0.047244094
Yeshiva University,384,330,,,54,0.140625,0.019775391,,,0.140625
University of Stirling,384,385,,,-1,-0.002604167,6.78168E-006,,,0.002604167
James Cook University,387,340,,,47,0.121447028,0.014749381,,,0.121447028
Université Paris Descartes,387,377,,,10,0.025839793,0.000667695,,,0.025839793
Tokyo Medical and Dental University (TMDU),391,329,,,62,0.158567775,0.025143739,,,0.158567775
Indian Institute of Technology Roorkee (IITR),391,399,391,399,-8,-0.020460358,0.000418626,,,0.020460358
University of Kansas,393,373,,,20,0.050890585,0.002589852,,,0.050890585
La Trobe University,394,386,,,8,0.020304569,0.000412276,,,0.020304569
Moscow State Institute of International Relations (MGIMO University),397,350,,,47,0.118387909,0.014015697,,,0.118387909
University of Tartu,400,347,,,53,0.1325,0.01755625,,,0.1325
Swansea University,400,390,,,10,0.025,0.000625,,,0.025
,,,,,,,,,,
,,,,,,SUM,3.66920331,,,27.71001158
,,,,,,SUM/N,0.009605244,,V abs,0.072539297
,,,,,,V,0.098006348,,,
