University,HiCi-16,HiCi-17,,,,,,,
Dalian University of Technology,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Indian Institute of Science,10.3,10.9,10.3,10.9,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Lanzhou University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Louisiana State University - Baton Rouge,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Nankai University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
"The University of Newcastle, Australia",10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Thomas Jefferson University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Umea University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Halle-Wittenberg,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Milan - Bicocca,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Otago,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Vermont,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Western Sydney,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Victoria University of Wellington,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Wayne State University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Aristotle University of Thessaloniki,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Bangor University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Ewha Womans University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Florida International University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Hunan University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Nanjing University of Science and Technology,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Ocean University of China,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Oklahoma State University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Osaka City University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
RMIT University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Stellenbosch University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
The University of Texas Medical Branch at Galveston,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Tokyo University of Science,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University at Albany (State University of New York),10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Aveiro,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Bayreuth,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Central Florida,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Ferrara,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Konstanz,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Minho,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Palermo,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Potsdam,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Rostock,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
University of Wyoming,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Vita-Salute San Raffaele University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
Washington State University,10.3,10.9,,,-0.6,-0.0582524272,0.0033933453,,0.0582524272
,,,,,,,,,
,,,,,,,32.1453651746,,
,,,,,,,0.0900430397,,70.9760457563
,,,,,,,0.3000717243,,0.1988124531
