University,Rank15,Rank16,R15-R16,D2/ R15,E2^2,,ABS
University of TübingenGermany,113,78,35,0.3097345133,0.0959354687,,0.3097345133
University of PittsburghUnited States of America,91,79,12,0.1318681319,0.0173892042,,0.1318681319
University of WarwickUnited Kingdom,103,80,23,0.2233009709,0.0498633236,,0.2233009709
Uppsala UniversitySweden,98,81,17,0.1734693878,0.0300916285,,0.1734693878
University of New South WalesAustralia,109,82,27,0.247706422,0.0613584715,,0.247706422
University of CopenhagenDenmark,160,82,78,0.4875,0.23765625,,0.4875
University of FreiburgGermany,163,84,79,0.4846625767,0.2348978132,,0.4846625767
Seoul National UniversitySouth Korea,50,85,-35,-0.7,0.49,,0.7
University of St AndrewsUnited Kingdom,111,86,25,0.2252252252,0.0507264021,,0.2252252252
Vanderbilt UniversityUnited States of America,96,87,9,0.09375,0.0087890625,,0.09375
Kyoto UniversityJapan,59,88,-29,-0.4915254237,0.2415972422,,0.4915254237
Maastricht UniversityNetherlands,101,88,13,0.1287128713,0.0165670032,,0.1287128713
Ohio State UniversityUnited States of America,68,90,-22,-0.3235294118,0.1046712803,,0.3235294118
Emory UniversityUnited States of America,93,90,3,0.0322580645,0.0010405827,,0.0322580645
Lund UniversitySweden,119,90,29,0.243697479,0.0593884613,,0.243697479
University of ExeterUnited Kingdom,154,93,61,0.3961038961,0.1568982965,,0.3961038961
McMaster UniversityCanada,94,94,0,0,0,,0
Georgetown UniversityUnited States of America,173,94,79,0.4566473988,0.2085268469,,0.4566473988
University of BonnGermany,195,94,101,0.5179487179,0.2682708744,,0.5179487179
University of SheffieldUnited Kingdom,121,97,24,0.1983471074,0.039341575,,0.1983471074
Queen Mary University of LondonUnited Kingdom,107,98,9,0.0841121495,0.0070748537,,0.0841121495
University of GöttingenGermany,67,99,-32,-0.4776119403,0.2281131655,,0.4776119403
Michigan State UniversityUnited States of America,82,99,-17,-0.2073170732,0.0429803688,,0.2073170732
École PolytechniqueFrance,61,101,-40,-0.6557377049,0.4299919377,,0.6557377049
Rice UniversityUnited States of America,69,101,-32,-0.4637681159,0.2150808654,,0.4637681159
University of BaselSwitzerland,75,101,-26,-0.3466666667,0.1201777778,,0.3466666667
University of ZurichSwitzerland,103,104,-1,-0.0097087379,9.42595909133754E-005,,0.0097087379
Dartmouth CollegeUnited States of America,152,104,48,0.3157894737,0.0997229917,,0.3157894737
"University of California, IrvineUnited States of America",88,106,-18,-0.2045454545,0.041838843,,0.2045454545
University of Notre DameUnited States of America,86,108,-22,-0.2558139535,0.0654407788,,0.2558139535
University of Western AustraliaAustralia,157,109,48,0.3057324841,0.0934723518,,0.3057324841
University of SouthamptonUnited Kingdom,132,110,22,0.1666666667,0.0277777778,,0.1666666667
RWTH Aachen UniversityGermany,156,110,46,0.2948717949,0.0869493754,,0.2948717949
Scuola Normale Superiore di PisaItaly,63,112,-49,-0.7777777778,0.6049382716,,0.7777777778
Purdue UniversityUnited States of America,102,113,-11,-0.1078431373,0.0116301423,,0.1078431373
Pierre and Marie Curie UniversityFrance,103,113,-10,-0.0970873786,0.0094259591,,0.0970873786
University of MontrealCanada,113,113,0,0,0,,0
Pohang University of Science and TechnologySouth Korea,66,116,-50,-0.7575757576,0.5739210285,,0.7575757576
"University of Maryland, College ParkUnited States of America",132,117,15,0.1136363636,0.0129132231,,0.1136363636
Ghent UniversityBelgium,90,118,-28,-0.3111111111,0.0967901235,,0.3111111111
University of BirminghamUnited Kingdom,148,119,29,0.1959459459,0.0383948137,,0.1959459459
University of Cape TownSouth Africa,124,120,4,0.0322580645,0.0010405827,,0.0322580645
University of FloridaUnited States of America,126,120,6,0.0476190476,0.0022675737,,0.0476190476
University of BernSwitzerland,132,120,12,0.0909090909,0.0082644628,,0.0909090909
"Rutgers, the State University of New JerseyUnited States of America",144,123,21,0.1458333333,0.0212673611,,0.1458333333
Radboud University NijmegenNetherlands,140,125,15,0.1071428571,0.0114795918,,0.1071428571
Tufts UniversityUnited States of America,88,127,-39,-0.4431818182,0.196410124,,0.4431818182
University of Colorado BoulderUnited States of America,97,127,-30,-0.3092783505,0.0956530981,,0.3092783505
"Royal Holloway, University of LondonUnited Kingdom",118,129,-11,-0.093220339,0.0086900316,,0.093220339
Lancaster UniversityUnited Kingdom,131,130,1,0.0076335878,5.82716624905309E-005,,0.0076335878
University of GenevaSwitzerland,107,131,-24,-0.2242990654,0.0503100707,,0.2242990654
University of YorkUnited Kingdom,113,131,-18,-0.1592920354,0.0253739525,,0.1592920354
Case Western Reserve UniversityUnited States of America,116,133,-17,-0.1465517241,0.0214774078,,0.1465517241
University of LeedsUnited Kingdom,146,133,13,0.0890410959,0.0079283168,,0.0890410959
University of OsloNorway,186,135,51,0.2741935484,0.075182102,,0.2741935484
Stockholm UniversitySweden,98,136,-38,-0.387755102,0.1503540192,,0.387755102
University of AlbertaCanada,124,137,-13,-0.1048387097,0.010991155,,0.1048387097
Chinese University of Hong KongHong Kong,129,138,-9,-0.0697674419,0.0048674959,,0.0697674419
Karlsruhe Institute of TechnologyGermany,165,138,27,0.1636363636,0.0267768595,,0.1636363636
University of SussexUnited Kingdom,111,140,-29,-0.2612612613,0.0682574466,,0.2612612613
University of MassachusettsUnited States of America,91,141,-50,-0.5494505495,0.3018959063,,0.5494505495
University of ViennaAustria,182,142,40,0.2197802198,0.048303345,,0.2197802198
University of NottinghamUnited Kingdom,171,143,28,0.1637426901,0.0268116685,,0.1637426901
"University of California, Santa CruzUnited States of America",109,144,-35,-0.3211009174,0.1031057992,,0.3211009174
University of LausanneSwitzerland,136,144,-8,-0.0588235294,0.0034602076,,0.0588235294
University of VirginiaUnited States of America,130,147,-17,-0.1307692308,0.0171005917,,0.1307692308
Korea Advanced Institute of Science and Technology (KAIST)South Korea,52,148,-96,-1.8461538462,3.4082840237,,1.8461538462
Aarhus UniversityDenmark,153,149,4,0.0261437908,0.0006834978,,0.0261437908
University of AdelaideAustralia,164,149,15,0.0914634146,0.0083655562,,0.0914634146
University of East AngliaUnited Kingdom,198,149,49,0.2474747475,0.0612437506,,0.2474747475
Sungkyunkwan University (SKKU)South Korea,148,153,-5,-0.0337837838,0.001141344,,0.0337837838
VU University AmsterdamNetherlands,136,154,-18,-0.1323529412,0.017517301,,0.1323529412
KTH Royal Institute of TechnologySweden,126,155,-29,-0.2301587302,0.0529730411,,0.2301587302
University of LiverpoolUnited Kingdom,157,157,0,0,0,,0
University of RochesterUnited States of America,121,158,-37,-0.305785124,0.093504542,,0.305785124
TU Dresden Germany,135,158,-23,-0.1703703704,0.0290260631,,0.1703703704
Trinity College DublinRepublic of Ireland,138,160,-22,-0.1594202899,0.0254148288,,0.1594202899
University of MiamiUnited States of America,169,161,8,0.0473372781,0.0022408179,,0.0473372781
Lomonosov Moscow State UniversityRussian Federation,196,161,35,0.1785714286,0.0318877551,,0.1785714286
University of ArizonaUnited States of America,86,163,-77,-0.8953488372,0.8016495403,,0.8953488372
Pompeu Fabra UniversitySpain,165,164,1,0.0060606061,3.67309458218549E-005,,0.0060606061
Yeshiva UniversityUnited States of America,186,164,22,0.1182795699,0.0139900567,,0.1182795699
Technical University of DenmarkDenmark,121,167,-46,-0.3801652893,0.1445256472,,0.3801652893
"University of California, RiversideUnited States of America",150,167,-17,-0.1133333333,0.0128444444,,0.1133333333
National Taiwan UniversityTaiwan,155,167,-12,-0.0774193548,0.0059937565,,0.0774193548
Université Catholique de LouvainBelgium,171,167,4,0.0233918129,0.0005471769,,0.0233918129
University of LeicesterUnited Kingdom,199,167,32,0.1608040201,0.0258579329,,0.1608040201
University of AucklandNew Zealand,175,172,3,0.0171428571,0.0002938776,,0.0171428571
University of AberdeenUnited Kingdom,178,172,6,0.0337078652,0.0011362202,,0.0337078652
Eindhoven University of TechnologyNetherlands,144,176,-32,-0.2222222222,0.049382716,,0.2222222222
University of UtahUnited States of America,162,182,-20,-0.1234567901,0.015241579,,0.1234567901
Brandeis UniversityUnited States of America,147,185,-38,-0.2585034014,0.0668240085,,0.2585034014
Paris-Sud UniversityFrance,120,188,-68,-0.5666666667,0.3211111111,,0.5666666667
Arizona State UniversityUnited States of America,182,189,-7,-0.0384615385,0.0014792899,,0.0384615385
Boston CollegeUnited States of America,126,190,-64,-0.5079365079,0.2579994961,,0.5079365079
University of AntwerpBelgium,170,190,-20,-0.1176470588,0.0138408304,,0.1176470588
Texas A&M UniversityUnited States of America,141,193,-52,-0.3687943262,0.1360092551,,0.3687943262
"St George’s, University of LondonUnited Kingdom",196,196,0,0,0,,0
Paris Diderot University – Paris 7France,180,199,-19,-0.1055555556,0.0111419753,,0.1055555556
,,,,SUM,22.0550897514,,42.5876178761
,,,,V^2,0.12531301,V*,0.2419751016
,,,,V,0.3539957767,,
