University,Rank14,Rank15,R14-R15,D2/ R14,E2^2,,ABS
Joseph Fourier UniversityFrance,155,178,-23,-0.1483870968,0.0220187305,,0.1483870968
University of AberdeenUnited Kingdom,188,178,10,0.0531914894,0.0028293345,,0.0531914894
University of DelawareUnited States of America,174,180,-6,-0.0344827586,0.0011890606,,0.0344827586
Paris Diderot University – Paris 7France,178,180,-2,-0.0112359551,0.0001262467,,0.0112359551
Arizona State UniversityUnited States of America,146,182,-36,-0.2465753425,0.0607993995,,0.2465753425
University of ViennaAustria,170,182,-12,-0.0705882353,0.004982699,,0.0705882353
Northeastern UniversityUnited States of America,184,185,-1,-0.0054347826,2.95368620037807E-005,,0.0054347826
Yeshiva UniversityUnited States of America,172,186,-14,-0.0813953488,0.0066252028,,0.0813953488
University of OsloNorway,185,186,-1,-0.0054054054,2.9218407596786E-005,,0.0054054054
Stony Brook UniversityUnited States of America,178,188,-10,-0.0561797753,0.0031561672,,0.0561797753
University of OttawaCanada,185,188,-3,-0.0162162162,0.0002629657,,0.0162162162
Tel Aviv UniversityIsrael,199,188,11,0.0552763819,0.0030554784,,0.0552763819
University at BuffaloUnited States of America,176,191,-15,-0.0852272727,0.007263688,,0.0852272727
Iowa State UniversityUnited States of America,183,193,-10,-0.0546448087,0.0029860551,,0.0546448087
University of BonnGermany,181,195,-14,-0.0773480663,0.0059827234,,0.0773480663
University of East AngliaUnited Kingdom,174,198,-24,-0.1379310345,0.0190249703,,0.1379310345
University of LeicesterUnited Kingdom,161,199,-38,-0.2360248447,0.0557077273,,0.2360248447
George Washington UniversityUnited States of America,194,200,-6,-0.0309278351,0.000956531,,0.0309278351
Florida Institute of TechnologyUnited States of America,197,200,-3,-0.0152284264,0.000231905,,0.0152284264
,,,,SUM,3.3808291469,,17.7393449888
,,,,V^2,0.0180793003,V*,0.0948628074
,,,,V,0.1344592885,,
