University,Rank13,Rank14,R11-R12,D2/ R11,E2^2,,ABS,ABS/ R11
University of Illinois at Urbana-Champaign,56,63,-7,-0.125,0.015625,,7,0.125
Carnegie Mellon University,57,65,-8,-0.1403508772,0.0196983687,,8,0.1403508772
University of Amsterdam,58,50,8,0.1379310345,0.0190249703,,8,0.1379310345
University of Washington,59,65,-6,-0.1016949153,0.0103418558,,6,0.1016949153
KAIST - Korea Advanced Institute of Science & Technology,60,51,9,0.15,0.0225,,9,0.15
Trinity College Dublin,61,71,-10,-0.1639344262,0.0268744961,,10,0.1639344262
"University of California, San Diego (UCSD)",63,59,4,0.0634920635,0.0040312421,,4,0.0634920635
The University of Warwick,64,61,3,0.046875,0.0021972656,,3,0.046875
Ludwig-Maximilians-Universität München,65,52,13,0.2,0.04,,13,0.2
Tokyo Institute of Technology,66,68,-2,-0.0303030303,0.0009182736,,2,0.0303030303
Lund University,67,60,7,0.1044776119,0.0109155714,,7,0.1044776119
London School of Economics and Political Science (LSE),68,71,-3,-0.0441176471,0.0019463668,,3,0.0441176471
University of Helsinki,69,67,2,0.0289855072,0.0008401596,,2,0.0289855072
Monash University,69,70,-1,-0.0144927536,0.0002100399,,1,0.0144927536
The University of Sheffield,71,69,2,0.0281690141,0.0007934934,,2,0.0281690141
University of Texas at Austin,71,79,-8,-0.1126760563,0.0126958937,,8,0.1126760563
University of Geneva,71,85,-14,-0.1971830986,0.0388811744,,14,0.1971830986
Leiden University,74,75,-1,-0.0135135135,0.000182615,,1,0.0135135135
Tohoku University,75,71,4,0.0533333333,0.0028444444,,4,0.0533333333
The University of Nottingham,75,77,-2,-0.0266666667,0.0007111111,,2,0.0266666667
KU Leuven,77,82,-5,-0.0649350649,0.0042165627,,5,0.0649350649
University of Zurich,78,57,21,0.2692307692,0.0724852071,,21,0.2692307692
Boston University,79,78,1,0.0126582278,0.0001602307,,1,0.0126582278
Uppsala University,79,81,-2,-0.0253164557,0.0006409229,,2,0.0253164557
Utrecht University,81,80,1,0.012345679,0.0001524158,,1,0.012345679
National Taiwan University (NTU),82,76,6,0.0731707317,0.005353956,,6,0.0731707317
University of St Andrews,83,88,-5,-0.0602409639,0.0036289737,,5,0.0602409639
The University of Western Australia,84,89,-5,-0.0595238095,0.0035430839,,5,0.0595238095
"University of California, Davis",85,95,-10,-0.1176470588,0.0138408304,,10,0.1176470588
University of Southampton,86,94,-8,-0.0930232558,0.0086533261,,8,0.0930232558
Washington University in St. Louis,86,99,-13,-0.1511627907,0.0228501893,,13,0.1511627907
Fudan University,88,71,17,0.1931818182,0.0373192149,,17,0.1931818182
University of Oslo,89,101,-12,-0.1348314607,0.0181795228,,12,0.1348314607
Durham University,90,92,-2,-0.0222222222,0.0004938272,,2,0.0222222222
Aarhus University,91,96,-5,-0.0549450549,0.0030189591,,5,0.0549450549
Université de Montréal,92,83,9,0.097826087,0.0095699433,,9,0.097826087
Erasmus University Rotterdam,92,90,2,0.0217391304,0.0004725898,,2,0.0217391304
The University of Auckland,94,92,2,0.0212765957,0.0004526935,,2,0.0212765957
Delft University of Technology,95,86,9,0.0947368421,0.0089750693,,9,0.0947368421
University of Alberta,96,84,12,0.125,0.015625,,12,0.125
University of Groningen,97,90,7,0.0721649485,0.0052077798,,7,0.0721649485
University of Leeds,97,97,0,0,0,,0,0
Purdue University,99,102,-3,-0.0303030303,0.0009182736,,3,0.0303030303
Nagoya University,99,103,-4,-0.0404040404,0.0016324865,,4,0.0404040404
Georgia Institute of Technology,99,107,-8,-0.0808080808,0.0065299459,,8,0.0808080808
University of Minnesota,102,119,-17,-0.1666666667,0.0277777778,,17,0.1666666667
Albert-Ludwigs-Universitaet Freiburg,102,121,-19,-0.1862745098,0.034698193,,19,0.1862745098
The University of Adelaide,104,100,4,0.0384615385,0.0014792899,,4,0.0384615385
City University of Hong Kong,104,108,-4,-0.0384615385,0.0014792899,,4,0.0384615385
University of Pittsburgh,106,111,-5,-0.0471698113,0.0022249911,,5,0.0471698113
Pohang University of Science And Technology (POSTECH),107,86,21,0.1962616822,0.0385186479,,21,0.1962616822
Pennsylvania State University,107,112,-5,-0.046728972,0.0021835968,,5,0.046728972
Freie Universitaet Berlin,109,150,-41,-0.376146789,0.1414864069,,41,0.376146789
University of Basel,110,116,-6,-0.0545454545,0.0029752066,,6,0.0545454545
University of Lausanne,111,105,6,0.0540540541,0.0029218408,,6,0.0540540541
Université Pierre et Marie Curie (UPMC),112,115,-3,-0.0267857143,0.0007174745,,3,0.0267857143
The Ohio State University,113,109,4,0.0353982301,0.0012530347,,4,0.0353982301
Yonsei University,114,106,8,0.0701754386,0.0049245922,,8,0.0701754386
University of York,114,120,-6,-0.0526315789,0.0027700831,,6,0.0526315789
Queen Mary University of London,115,98,17,0.147826087,0.021852552,,17,0.147826087
"University of Maryland, College Park",116,122,-6,-0.0517241379,0.0026753864,,6,0.0517241379
"KIT, Karlsruhe Institute of Technology",116,127,-11,-0.0948275862,0.0089922711,,11,0.0948275862
KTH Royal Institute of Technology,118,110,8,0.0677966102,0.0045963804,,8,0.0677966102
Dartmouth College,119,136,-17,-0.1428571429,0.0204081633,,17,0.1428571429
Lomonosov Moscow State University,120,114,6,0.05,0.0025,,6,0.05
Maastricht University,121,118,3,0.0247933884,0.0006147121,,3,0.0247933884
Ghent University,122,129,-7,-0.0573770492,0.0032921258,,7,0.0573770492
Shanghai Jiao Tong University,123,104,19,0.1544715447,0.0238614581,,19,0.1544715447
University of Southern California,125,131,-6,-0.048,0.002304,,6,0.048
Humboldt-Universität zu Berlin,126,134,-8,-0.0634920635,0.0040312421,,8,0.0634920635
Universidade de São Paulo,127,132,-5,-0.0393700787,0.0015500031,,5,0.0393700787
Georg-August-University Goettingen,128,146,-18,-0.140625,0.0197753906,,18,0.140625
Newcastle University,129,127,2,0.015503876,0.0002403702,,2,0.015503876
University of Liverpool,130,123,7,0.0538461538,0.0028994083,,7,0.0538461538
"University of California, Santa Barbara (UCSB)",130,132,-2,-0.0153846154,0.0002366864,,2,0.0153846154
University of Virginia,132,141,-9,-0.0681818182,0.0046487603,,9,0.0681818182
Kyushu University,133,126,7,0.0526315789,0.0027700831,,7,0.0526315789
Technical University of Denmark,134,123,11,0.0820895522,0.0067386946,,11,0.0820895522
Eberhard Karls Universität Tübingen,134,141,-7,-0.052238806,0.0027288928,,7,0.052238806
Cardiff University,136,123,13,0.0955882353,0.0091371107,,13,0.0955882353
Rice University,136,129,7,0.0514705882,0.0026492215,,7,0.0514705882
Université Catholique de Louvain (UCL),138,154,-16,-0.115942029,0.0134425541,,16,0.115942029
University College Dublin,139,139,0,0,0,,0,0
McMaster University,140,113,27,0.1928571429,0.0371938776,,27,0.1928571429
The Hebrew University of Jerusalem,141,138,3,0.0212765957,0.0004526935,,3,0.0212765957
Emory University,141,156,-15,-0.1063829787,0.0113173382,,15,0.1063829787
Radboud University,143,156,-13,-0.0909090909,0.0082644628,,13,0.0909090909
Hokkaido University,144,135,9,0.0625,0.00390625,,9,0.0625
Korea University,145,116,29,0.2,0.04,,29,0.2
University of Cape Town,145,141,4,0.0275862069,0.0007609988,,4,0.0275862069
RWTH Aachen University,147,147,0,0,0,,0,0
University of Aberdeen,148,137,11,0.0743243243,0.0055241052,,11,0.0743243243
"University of California, Irvine",149,153,-4,-0.0268456376,0.0007206883,,4,0.0268456376
Wageningen University,150,151,-1,-0.0066666667,4.44444444444444E-005,,1,0.0066666667
University of Bergen,151,155,-4,-0.0264900662,0.0007017236,,4,0.0264900662
University of Rochester,151,164,-13,-0.0860927152,0.0074119556,,13,0.0860927152
Texas A&M University,153,165,-12,-0.0784313725,0.0061514802,,12,0.0784313725
University of Bern,154,145,9,0.0584415584,0.0034154158,,9,0.0584415584
University of Otago,155,159,-4,-0.0258064516,0.0006659729,,4,0.0258064516
Lancaster University,156,160,-4,-0.0256410256,0.0006574622,,4,0.0256410256
Eindhoven University of Technology,157,147,10,0.0636942675,0.0040569597,,10,0.0636942675
University of Vienna,158,156,2,0.0126582278,0.0001602307,,2,0.0126582278
École Normale Supérieure de Lyon,158,179,-21,-0.1329113924,0.0176654382,,21,0.1329113924
University of Colorado Boulder,160,182,-22,-0.1375,0.01890625,,22,0.1375
The Hong Kong Polytechnic University,161,162,-1,-0.0062111801,3.85787585355503E-005,,1,0.0062111801
Sungkyunkwan University (SKKU),162,140,22,0.1358024691,0.0184423106,,22,0.1358024691
Universidad Nacional Autónoma de México  (UNAM),163,175,-12,-0.0736196319,0.0054198502,,12,0.0736196319
Rheinische Friedrich-Wilhelms-Universitt Bonn,163,177,-14,-0.0858895706,0.0073770183,,14,0.0858895706
Zhejiang University,165,144,21,0.1272727273,0.0161983471,,21,0.1272727273
Pontificia Universidad Católica de Chile (UC),166,167,-1,-0.0060240964,3.62897372623022E-005,,1,0.0060240964
Universiti Malaya (UM),167,151,16,0.0958083832,0.0091792463,,16,0.0958083832
The University of Exeter,168,161,7,0.0416666667,0.0017361111,,7,0.0416666667
Universite libre de Bruxelles,168,173,-5,-0.0297619048,0.000885771,,5,0.0297619048
Stockholm University,170,182,-12,-0.0705882353,0.004982699,,12,0.0705882353
Michigan State University,171,195,-24,-0.1403508772,0.0196983687,,24,0.1403508772
Queen's University Belfast,172,170,2,0.011627907,0.0001352082,,2,0.011627907
Vrije Universiteit Brussel (VUB),172,181,-9,-0.0523255814,0.0027379665,,9,0.0523255814
University of Science and Technology of China,174,147,27,0.1551724138,0.024078478,,27,0.1551724138
Nanjing University,175,162,13,0.0742857143,0.0055183673,,13,0.0742857143
Case Western Reserve University,175,189,-14,-0.08,0.0064,,14,0.08
Universitat Autònoma de Barcelona,177,173,4,0.0225988701,0.0005107089,,4,0.0225988701
University of Barcelona,178,166,12,0.0674157303,0.0045448807,,12,0.0674157303
University of Florida,179,192,-13,-0.0726256983,0.0052744921,,13,0.0726256983
University of Waterloo,180,169,11,0.0611111111,0.0037345679,,11,0.0611111111
Vrije Universiteit Amsterdam,181,171,10,0.0552486188,0.0030524099,,10,0.0552486188
Vanderbilt University,181,182,-1,-0.0055248619,3.05240987759836E-005,,1,0.0055248619
Technion - Israel Institute of Technology,183,190,-7,-0.0382513661,0.001463167,,7,0.0382513661
Technische Universität Berlin,183,192,-9,-0.0491803279,0.0024187046,,9,0.0491803279
University Hamburg,186,192,-6,-0.0322580645,0.0010405827,,6,0.0322580645
University of Bath,187,179,8,0.0427807487,0.0018301925,,8,0.0427807487
Alma Mater Studiorum - University of Bologna,188,182,6,0.0319148936,0.0010185604,,6,0.0319148936
Queen`s University at Kingston,189,187,2,0.0105820106,0.0001119789,,2,0.0105820106
Georgetown University,189,200,-11,-0.0582010582,0.0033873632,,11,0.0582010582
Université Paris-Sud,189,209,-20,-0.1058201058,0.0111978948,,20,0.1058201058
"University of Illinois, Chicago (UIC)",192,186,6,0.03125,0.0009765625,,6,0.03125
Keio University,193,197,-4,-0.0207253886,0.0004295417,,4,0.0207253886
University of Sussex,193,200,-7,-0.0362694301,0.0013154716,,7,0.0362694301
Universidad Autónoma de Madrid,195,178,17,0.0871794872,0.007600263,,17,0.0871794872
Aalto University,196,187,9,0.0459183673,0.0021084965,,9,0.0459183673
Tel Aviv University,196,195,1,0.0051020408,2.60308204914619E-005,,1,0.0051020408
Sapienza University of Rome,196,202,-6,-0.0306122449,0.0009371095,,6,0.0306122449
National Tsing Hua University,199,167,32,0.1608040201,0.0258579329,,32,0.1608040201
The University of Western Ontario,199,191,8,0.040201005,0.0016161208,,8,0.040201005
University of Calgary,201,171,30,0.1492537313,0.0222766763,,30,0.1492537313
Chalmers University of Technology,202,175,27,0.1336633663,0.0178658955,,27,0.1336633663
University of Leicester,202,211,-9,-0.0445544554,0.0019850995,,9,0.0445544554
Tufts University,204,214,-10,-0.0490196078,0.002402922,,10,0.0490196078
University of Gothenburg,205,206,-1,-0.0048780488,2.37953599048186E-005,,1,0.0048780488
University of Turku,205,208,-3,-0.0146341463,0.0002141582,,3,0.0146341463
Université Paris Diderot - Paris 7,205,210,-5,-0.0243902439,0.000594884,,5,0.0243902439
Universität Frankfurt am Main,208,217,-9,-0.0432692308,0.0018722263,,9,0.0432692308
Universidad de Buenos Aires (UBA),209,198,11,0.0526315789,0.0027700831,,11,0.0526315789
University of Tsukuba,210,198,12,0.0571428571,0.0032653061,,12,0.0571428571
University College Cork,210,230,-20,-0.0952380952,0.0090702948,,20,0.0952380952
The University of Arizona,212,215,-3,-0.0141509434,0.0002002492,,3,0.0141509434
University of Reading,213,202,11,0.0516431925,0.0026670193,,11,0.0516431925
Sciences Po Paris,214,222,-8,-0.0373831776,0.001397502,,8,0.0373831776
Universidade Estadual de Campinas (Unicamp),215,206,9,0.0418604651,0.0017522985,,9,0.0418604651
University Complutense Madrid,216,212,4,0.0185185185,0.0003429355,,4,0.0185185185
King Fahd University of Petroleum & Minerals,216,225,-9,-0.0416666667,0.0017361111,,9,0.0416666667
Université Paris-Sorbonne (Paris IV),216,227,-11,-0.0509259259,0.0025934499,,11,0.0509259259
University of Dundee,219,230,-11,-0.0502283105,0.0025228832,,11,0.0502283105
Université Joseph Fourier - Grenoble 1,220,215,5,0.0227272727,0.0005165289,,5,0.0227272727
Waseda University,220,220,0,0,0,,0,0
Indian Institute of Technology Delhi (IITD),222,235,-13,-0.0585585586,0.0034291048,,13,0.0585585586
Universidad de Chile,223,220,3,0.0134529148,0.0001809809,,3,0.0134529148
University of Notre Dame,224,237,-13,-0.0580357143,0.0033681441,,13,0.0580357143
Université Paris 1 Panthéon-Sorbonne,225,228,-3,-0.0133333333,0.0001777778,,3,0.0133333333
Université de Strasbourg,226,226,0,0,0,,0,0
University of Ottawa,227,218,9,0.0396475771,0.0015719304,,9,0.0396475771
University of Twente,228,212,16,0.0701754386,0.0049245922,,16,0.0701754386
University of East Anglia (UEA),229,240,-11,-0.0480349345,0.0023073549,,11,0.0480349345
National Chiao Tung University,230,202,28,0.1217391304,0.0148204159,,28,0.1217391304
Politecnico di Milano,230,229,1,0.0043478261,1.89035916824197E-005,,1,0.0043478261
University of Miami,232,239,-7,-0.0301724138,0.0009103746,,7,0.0301724138
Indian Institute of Technology Bombay (IITB),233,222,11,0.0472103004,0.0022288125,,11,0.0472103004
Charles University in Prague,233,244,-11,-0.0472103004,0.0022288125,,11,0.0472103004
University of Milan,235,238,-3,-0.0127659574,0.0001629697,,3,0.0127659574
Westfälische Wilhelms-Universitat Münster,236,249,-13,-0.0550847458,0.0030343292,,13,0.0550847458
University of Iowa,236,269,-33,-0.1398305085,0.0195525711,,33,0.1398305085
University of Canterbury,238,242,-4,-0.0168067227,0.0002824659,,4,0.0168067227
Chulalongkorn University,239,243,-4,-0.0167364017,0.0002801071,,4,0.0167364017
Saint-Petersburg State University,240,233,7,0.0291666667,0.0008506944,,7,0.0291666667
Indiana University Bloomington,240,272,-32,-0.1333333333,0.0177777778,,32,0.1333333333
Université de Liège,240,272,-32,-0.1333333333,0.0177777778,,32,0.1333333333
University of Cologne,243,305,-62,-0.2551440329,0.0650984775,,62,0.2551440329
Simon Fraser University,244,222,22,0.0901639344,0.0081295351,,22,0.0901639344
Dalhousie University,244,235,9,0.0368852459,0.0013605214,,9,0.0368852459
Loughborough University,244,265,-21,-0.0860655738,0.007407283,,21,0.0860655738
National Cheng Kung University,247,232,15,0.0607287449,0.0036879805,,15,0.0607287449
Universität Stuttgart,248,274,-26,-0.1048387097,0.010991155,,26,0.1048387097
Hanyang University,249,219,30,0.1204819277,0.0145158949,,30,0.1204819277
American University of Beirut (AUB),250,249,1,0.004,0.000016,,1,0.004
Norwegian University of Science And Technology,251,246,5,0.0199203187,0.0003968191,,5,0.0199203187
Beijing Normal University,252,240,12,0.0476190476,0.0022675737,,12,0.0476190476
King Saud University,253,249,4,0.0158102767,0.0002499648,,4,0.0158102767
University of Oulu,253,259,-6,-0.023715415,0.0005624209,,6,0.023715415
Kyung Hee University,255,275,-20,-0.0784313725,0.0061514802,,20,0.0784313725
"Rutgers, The State University of New Jersey, New Brunswick",255,279,-24,-0.0941176471,0.0088581315,,24,0.0941176471
University of Strathclyde,257,246,11,0.0428015564,0.0018319732,,11,0.0428015564
University Ulm,258,249,9,0.0348837209,0.001216874,,9,0.0348837209
University of Pisa,259,245,14,0.0540540541,0.0029218408,,14,0.0540540541
Technische Universität Darmstadt,260,269,-9,-0.0346153846,0.0011982249,,9,0.0346153846
University of Massachusetts Amherst,261,282,-21,-0.0804597701,0.0064737746,,21,0.0804597701
Technische Universität Dresden,262,234,28,0.106870229,0.0114212458,,28,0.106870229
Macquarie University,263,254,9,0.0342205323,0.0011710448,,9,0.0342205323
Vienna University of Technology,264,246,18,0.0681818182,0.0046487603,,18,0.0681818182
Royal Holloway University of London,265,275,-10,-0.0377358491,0.0014239943,,10,0.0377358491
Victoria University of Wellington,265,275,-10,-0.0377358491,0.0014239943,,10,0.0377358491
Università di Padova,267,262,5,0.0187265918,0.0003506852,,5,0.0187265918
"University of California, Riverside",268,261,7,0.026119403,0.0006822232,,7,0.026119403
Universiti Kebangsaan Malaysia (UKM),269,259,10,0.0371747212,0.0013819599,,10,0.0371747212
Yeshiva University,269,280,-11,-0.0408921933,0.0016721715,,11,0.0408921933
University of Utah,271,313,-42,-0.1549815498,0.0240192808,,42,0.1549815498
University of Technology Sydney,272,264,8,0.0294117647,0.0008650519,,8,0.0294117647
Universität Konstanz,273,310,-37,-0.1355311355,0.0183686887,,37,0.1355311355
Universidad de los Andes,274,262,12,0.0437956204,0.0019180564,,12,0.0437956204
Université Paris Descartes,274,278,-4,-0.0145985401,0.0002131174,,4,0.0145985401
University of Wollongong,276,283,-7,-0.0253623188,0.0006432472,,7,0.0253623188
Tokyo Medical and Dental University (TMDU),276,294,-18,-0.0652173913,0.0042533081,,18,0.0652173913
Friedrich-Alexander-Universität Erlangen-Nürnberg,278,285,-7,-0.0251798561,0.0006340252,,7,0.0251798561
Instituto Tecnológico y de Estudios Superiores de Monterrey,279,253,26,0.0931899642,0.0086843694,,26,0.0931899642
Queensland University of Technology (QUT),279,285,-6,-0.0215053763,0.0004624812,,6,0.0215053763
Universitat Pompeu Fabra,281,298,-17,-0.0604982206,0.0036600347,,17,0.0604982206
Universität Mannheim,281,328,-47,-0.1672597865,0.0279758362,,47,0.1672597865
Mahidol University,283,257,26,0.0918727915,0.0084406098,,26,0.0918727915
Universidade Federal do Rio de Janeiro,284,271,13,0.0457746479,0.0020953184,,13,0.0457746479
"National University of Ireland, Galway",284,280,4,0.014084507,0.0001983733,,4,0.014084507
University of Surrey,284,314,-30,-0.1056338028,0.0111585003,,30,0.1056338028
Curtin University,284,331,-47,-0.1654929577,0.0273879191,,47,0.1654929577
Hong Kong Baptist University,288,318,-30,-0.1041666667,0.0108506944,,30,0.1041666667
Umea University,289,267,22,0.0761245675,0.0057949498,,22,0.0761245675
Universität Innsbruck,289,288,1,0.0034602076,0.000011973,,1,0.0034602076
University of Eastern Finland,291,267,24,0.0824742268,0.0068019981,,24,0.0824742268
RMIT University,291,304,-13,-0.0446735395,0.0019957251,,13,0.0446735395
Arizona State University,293,294,-1,-0.0034129693,1.16483593285886E-005,,1,0.0034129693
Christian-Albrechts-University zu Kiel,293,396,-103,-0.3515358362,0.1235774441,,103,0.3515358362
National Yang Ming University,295,256,39,0.1322033898,0.0174777363,,39,0.1322033898
Indian Institute of Technology Kanpur (IITK),295,300,-5,-0.0169491525,0.0002872738,,5,0.0169491525
Johannes Gutenberg Universität Mainz,297,300,-3,-0.0101010101,0.0001020304,,3,0.0101010101
"The University of Newcastle, Australia (UoN)",298,257,41,0.1375838926,0.0189293275,,41,0.1375838926
École des Ponts ParisTech,299,290,9,0.0301003344,0.0009060301,,9,0.0301003344
Al-Farabi Kazakh National University,299,305,-6,-0.0200668896,0.0004026801,,6,0.0200668896
University of Jyväskylä,299,318,-19,-0.0635451505,0.0040379862,,19,0.0635451505
University at Buffalo SUNY,302,300,2,0.0066225166,4.38577255383536E-005,,2,0.0066225166
L.N. Gumilyov Eurasian National University (ENU),303,324,-21,-0.0693069307,0.0048034506,,21,0.0693069307
Kobe University,304,294,10,0.0328947368,0.0010820637,,10,0.0328947368
North Carolina State University,304,388,-84,-0.2763157895,0.0763504155,,84,0.2763157895
University of Tromsø The Arctic University of Norway,306,338,-32,-0.1045751634,0.0109359648,,32,0.1045751634
"University of California, Santa Cruz",307,265,42,0.1368078176,0.018716379,,42,0.1368078176
Hiroshima University,307,314,-7,-0.0228013029,0.0005198994,,7,0.0228013029
University of Indonesia,309,310,-1,-0.003236246,1.04732878792639E-005,,1,0.003236246
University of Bordeaux,309,363,-54,-0.1747572816,0.0305401075,,54,0.1747572816
Universität  Leipzig,311,289,22,0.0707395498,0.0050040839,,22,0.0707395498
University of Southern Denmark,311,308,3,0.0096463023,9.30511471138636E-005,,3,0.0096463023
University of the Witwatersrand,313,318,-5,-0.0159744409,0.0002551828,,5,0.0159744409
Indian Institute of Technology Madras (IITM),313,322,-9,-0.0287539936,0.0008267921,,9,0.0287539936
University of Navarra,315,254,61,0.1936507937,0.0375006299,,61,0.1936507937
Virginia Polytechnic Institute and State University,316,355,-39,-0.1234177215,0.015231934,,39,0.1234177215
Universidad Austral,317,287,30,0.094637224,0.0089562042,,30,0.094637224
Universidad Carlos III de Madrid (UC3M),317,355,-38,-0.119873817,0.014369732,,38,0.119873817
University of Mississippi,317,375,-58,-0.1829652997,0.0334763009,,58,0.1829652997
"University of Rome ""Tor Vergata""",320,305,15,0.046875,0.0021972656,,15,0.046875
University of Victoria,321,290,31,0.0965732087,0.0093263846,,31,0.0965732087
Iowa State University,321,348,-27,-0.0841121495,0.0070748537,,27,0.0841121495
Brandeis University,324,316,8,0.024691358,0.0006096632,,8,0.024691358
Universidad Nacional de Colombia,325,316,9,0.0276923077,0.0007668639,,9,0.0276923077
Julius-Maximilians-Universität Würzburg,325,341,-16,-0.0492307692,0.0024236686,,16,0.0492307692
George Washington University,327,300,27,0.0825688073,0.0068176079,,27,0.0825688073
University of Hawai'i at Mañoa,327,324,3,0.0091743119,0.000084168,,3,0.0091743119
Laval University,329,298,31,0.094224924,0.0088783363,,31,0.094224924
Wake Forest University,329,338,-9,-0.0273556231,0.0007483301,,9,0.0273556231
Linköping University,331,283,48,0.1450151057,0.0210293809,,48,0.1450151057
Ben Gurion University of The Negev,331,292,39,0.1178247734,0.0138826772,,39,0.1178247734
Boston College,331,341,-10,-0.0302114804,0.0009127335,,10,0.0302114804
Bauman Moscow State Technical University,334,322,12,0.0359281437,0.0012908315,,12,0.0359281437
Ecole Normale Supérieure de Cachan,334,338,-4,-0.0119760479,0.0001434257,,4,0.0119760479
Aalborg University,334,363,-29,-0.0868263473,0.0075388146,,29,0.0868263473
"SOAS, University of London",337,331,6,0.0178041543,0.0003169879,,6,0.0178041543
University of Warsaw,338,335,3,0.0088757396,7.87787542452995E-005,,3,0.0088757396
"Stony Brook University, State University of New York",338,352,-14,-0.0414201183,0.0017156262,,14,0.0414201183
University of Essex,338,370,-32,-0.0946745562,0.0089632716,,32,0.0946745562
Griffith University,341,324,17,0.0498533724,0.0024853587,,17,0.0498533724
University of South Australia,341,333,8,0.0234604106,0.0005503909,,8,0.0234604106
University of Porto,343,293,50,0.1457725948,0.0212496494,,50,0.1457725948
Massey University,343,346,-3,-0.0087463557,7.64987377708268E-005,,3,0.0087463557
Universitat Politècnica de Catalunya,345,337,8,0.0231884058,0.0005377022,,8,0.0231884058
"Indian Institute of Technology, Kharagpur",346,324,22,0.063583815,0.0040429015,,22,0.063583815
City University London,347,341,6,0.0172910663,0.000298981,,6,0.0172910663
The American University in Cairo,348,360,-12,-0.0344827586,0.0011890606,,12,0.0344827586
