World Rank-16,University,National Rank-16,Overall-16,Alumini-16,Award-16,HiCi-16,N&S-16,PUB-16,PCP-16
63,McGill University,3,28.9,32.8,0,22.9,27.5,60.3,28.3
63,Purdue University - West Lafayette,35,28.9,13.6,23.1,25.1,24.4,50.1,24.2
65,Aarhus University,2,28.7,11.5,22.1,17.8,25.6,52.9,32.5
65,Utrecht University,1,28.7,22.9,20,22.9,25.9,46.3,27.6
67,University of Oslo,1,28.6,28.1,32.6,10.3,18.4,50.6,28.1
68,Carnegie Mellon University,36,28.1,31.6,31.6,25.1,13.7,33.9,34.7
69,Technion-Israel Institute of Technology,1,28,23.5,37.6,17.8,20.2,34.9,29.8
70,"University of Pittsburgh, Pittsburgh Campus",37,27.8,18.5,0,38.4,19.4,59.7,19
71,Peking University,2,27.7,11.5,0,27.1,24.5,66.7,22.7
72,Nagoya University,3,27.5,29,25.3,20.5,17.9,44.2,24.8
72,Rice University,38,27.5,16.2,21.7,35.5,20.8,29.4,37.8
72,University of Groningen,2,27.5,0,18.8,25.1,20.6,53.2,33.7
75,Boston University,39,27.2,11.5,11.5,27.1,26.9,50.1,23.2
75,"University of California, Davis",39,27.2,0,0,30.8,32,58.1,24.9
77,Pennsylvania State University - University Park,41,26.9,10.3,0,30.8,30.5,53.4,24
77,The Australian National University,3,26.9,13.6,19.2,20.5,23,46.4,30.9
79,Monash University,4,26.8,0,0,34,22.3,59.7,30.5
79,The Ohio State University - Columbus,42,26.8,12.6,0,32.4,20.8,62.3,18.8
81,Stockholm University,3,26.7,24.1,27.4,14.5,21.2,41.9,27.3
82,University of Sydney,5,26.6,14.5,0,25.1,17.8,65.7,28.6
83,McMaster University,4,26.5,12.6,18.8,32.4,13.6,45.5,25.7
83,National University of Singapore,1,26.5,0,0,32.4,19.4,60.4,35.2
83,"University of California, Santa Cruz",43,26.5,0,0,47,32.4,28.8,42.9
86,Mayo Medical School,44,26.3,0,0,48.1,14.7,48.7,34.6
87,Ecole Normale Superieure - Paris,3,26.2,48.9,28,0,18.3,26.2,62.4
87,Moscow State University,1,26.2,41.4,33,0,8.3,49.7,33.1
87,The Hebrew University of Jerusalem,2,26.2,32,28.2,10.3,21,38.3,28.5
90,Brown University,45,26,14.5,13.3,22.9,22.6,43.9,34.1
90,University of Florida,45,26,17,0,27.1,20.2,59.6,23.4
92,Swiss Federal Institute of Technology Lausanne,4,25.7,0,0,32.4,30.3,42.3,42
93,Georgia Institute of Technology,47,25.6,12.6,0,37,22.1,44.1,31.3
93,KU Leuven,2,25.6,0,0,29,21.2,59.2,31.7
93,Leiden University,3,25.6,17.8,9.4,20.5,21,49.3,32.2
96,Osaka University,4,25.5,8.9,0,30.8,26,52.2,22.7
96,"Rutgers, The State University of New Jersey - New Brunswick",48,25.5,10.3,18.8,22.9,25.4,43.9,17.3
96,The University of Texas M. D. Anderson Cancer Center,48,25.5,0,0,35.5,22.3,41.8,50.4
96,The University of Western Australia,6,25.5,13.6,14.1,25.1,14.6,48.8,31.1
100,University of Utah,50,25.4,0,11.5,25.1,26.6,48.3,26
101-150,Aix Marseille University,4-6,,13.6,0,20.5,24,51.2,30.1
101-150,Arizona State University,51-61,,0,20,14.5,22.8,44.6,22.4
101-150,Baylor College of Medicine,51-61,,0,0,27.1,31.3,41.6,20.4
101-150,Cardiff University,9-15,,0,16.3,30.8,18,39.4,26.1
101-150,Case Western Reserve University,51-61,,30.3,10.9,20.5,19.6,39.6,24.8
101-150,Emory University,51-61,,0,0,25.1,21.8,51,22.1
101-150,Erasmus University,4-8,,0,14.9,27.1,10.1,35.1,30.2
101-150,Fudan University,3-6,,0,0,22.9,13.8,59.7,23
101-150,Icahn School of Medicine at Mount Sinai,51-61,,0,0,38.4,22.9,37.2,20.7
101-150,Indiana University Bloomington,51-61,,10.3,21.6,22.9,20.1,40.1,21.1
101-150,King Abdulaziz University,1-2,,0,0,52.3,9.1,47.8,18.1
101-150,King Saud University,1-2,,0,0,42.3,6.2,46.1,17.4
101-150,Lund University,4,,21.2,0,17.8,17.4,50.7,22.1
101-150,Michigan State University,51-61,,8.9,0,22.9,24.2,51.1,18.9
101-150,Nanyang Technological University,2,,0,0,34,11.4,52.3,31.3
101-150,Norwegian University of Science and Technology - NTNU,2,,13.6,21,14.5,14.7,37.7,22
101-150,Radboud University Nijmegen,4-8,,16.2,0,17.8,21,50.8,35.1
101-150,Seoul National University,1,,0,0,17.8,16.9,68.1,25.3
101-150,Shanghai Jiao Tong University,3-6,,0,0,14.5,10.9,72.3,25.5
101-150,Texas A&M University,51-61,,0,0,22.9,21.9,50.1,18.4
101-150,The University of Adelaide,7-8,,14.5,0,25.1,14.2,44.6,29.9
101-150,The University of Hong Kong,1,,0,0,32.4,15.1,44.8,27.2
101-150,The University of New South Wales,7-8,,0,0,17.8,17.4,60.5,25
101-150,The University of Sheffield,9-15,,17.8,13.3,17.8,17.3,44.3,23
101-150,Tohoku University,5,,14.5,0,14.5,20.6,50.2,21
101-150,Tufts University,51-61,,18.5,16.3,20.5,13.7,34.8,26.8
101-150,University of Alberta,5,,11.5,0,25.1,20.4,55.4,24.4
101-150,University of Amsterdam,4-8,,5.1,0,22.9,18.5,55.1,29.7
101-150,University of Arizona,51-61,,14.5,0,27.1,27.3,49.1,23.9
101-150,University of Basel,5-6,,19.2,16.3,14.5,23.7,39.5,36
101-150,University of Bern,5-6,,12.6,0,30.8,23,42.1,33.4
101-150,University of Birmingham,9-15,,18.5,9.4,22.9,12.4,45.4,23.7
101-150,University of Bonn,4-8,,15.4,19.8,20.5,21.5,40.3,27.1
101-150,University of Frankfurt,4-8,,30.3,0,14.5,21.9,36.9,24.8
101-150,University of Freiburg,4-8,,18.5,18.8,10.3,21.6,37.1,24.6
101-150,University of Goettingen,4-8,,30.8,14.9,20.5,20.6,38.4,27.1
101-150,University of Leeds,9-15,,17,0,29,21,43.7,23.3
101-150,University of Liverpool,9-15,,17,13.3,17.8,19.2,43,24.9
101-150,University of Muenster,4-8,,19.2,13.3,17.8,16.5,35.7,23.3
101-150,University of Nottingham,9-15,,11.5,20,20.5,15.3,44.9,20.9
101-150,University of Rochester,51-61,,24.6,7.7,17.8,20.7,38.9,20.3
101-150,University of Sao Paulo,1,,0,0,10.3,12.6,73.3,16.5
101-150,University of Science and Technology of China,3-6,,0,0,20.5,15.4,52.6,26.2
101-150,University of Southampton,9-15,,0,0,29,20.6,47.8,26.2
101-150,University of Strasbourg,4-6,,25.1,28.8,10.3,17.6,35.2,22.2
101-150,University of Wageningen,4-8,,0,0,25.1,19.2,41.9,34.5
101-150,University Paris Diderot - Paris 7,4-6,,11.5,9.4,17.8,31.7,46.3,21.4
101-150,VU University Amsterdam,4-8,,0,0,32.4,16.8,54.9,35
101-150,Weizmann Institute of Science,3,,17.8,16.3,14.5,35.5,27.5,25.4
101-150,Zhejiang University,3-6,,0,0,20.5,15,69.1,21.2
151-200,Catholic University of Louvain,3-4,,10.3,13.3,14.5,10.1,35,25.6
151-200,China Medical University,1-2,,0,0,35.5,2.1,31.6,33.4
151-200,Delft University of Technology,9,,11.5,0,14.5,18.3,40,23.9
151-200,Harbin Institute of Technology,7-9,,0,0,20.5,6,52.2,17
151-200,Hokkaido University,6,,11.5,16.3,0,14.1,42.5,19.1
151-200,Joseph Fourier University (Grenoble 1),7-9,,0,14.9,20.5,19.5,23.7,16.7
151-200,Korea University,2-3,,0,0,14.5,8.8,52.2,24.1
151-200,London School of Economics and Political Science,16-21,,19.9,16.3,10.3,,29.9,27.2
151-200,London School of Hygiene & Tropical Medicine,16-21,,7.3,0,22.9,10.2,34,33.4
151-200,National Autonomous University of Mexico,1,,12.6,0,14.5,9.7,48.2,25.7
151-200,National Taiwan University,1-2,,11.5,0,10.3,13.4,54.7,19.8
151-200,Oregon Health and Science University,62-71,,0,0,25.1,22.8,34.2,23.8
151-200,Oregon State University,62-71,,10.3,0,17.8,23.5,35.8,23.5
151-200,Queen Mary University of London,16-21,,17.8,0,20.5,13,34.8,22.5
151-200,Sapienza University of Rome,1-2,,11.5,13.3,0,10.5,54.5,20.2
151-200,Sun Yat-sen University,7-9,,0,0,14.5,10.3,58,19.1
151-200,Sungkyunkwan University,2-3,,0,0,10.3,13.1,50.3,24.8
151-200,Technical University of Denmark,3,,5.1,11.5,14.5,14.3,40.7,23.2
151-200,Tel Aviv University,4,,0,0,10.3,18.8,49,26.4
151-200,The University of Auckland,1,,13.6,0,14.5,12.5,42.2,23.6
151-200,The University of Glasgow,16-21,,7.3,0,22.9,17.9,42.3,23.1
151-200,Trinity College Dublin,1,,15.4,13.3,17.8,14,31.1,20.8
151-200,TU Dresden,9-14,,0,0,20.5,15.3,41.3,24
151-200,Université libre de Bruxelles (ULB),3-4,,19.9,26.6,0,13.6,32.9,31
151-200,University of Barcelona,1,,0,0,17.8,12,50.6,19.9
151-200,University of Bordeaux,7-9,,0,0,20.5,17.9,39.2,17.3
151-200,University of Buenos Aires,1,,14.5,24,0,8.6,35.2,22.1
151-200,"University of California, Riverside",62-71,,12.6,0,22.9,22.1,32.3,26.5
151-200,University of Delaware,62-71,,10.3,16.3,14.5,10.3,31.8,19.3
151-200,University of Erlangen-Nuremberg,9-14,,0,0,22.9,15.9,40.5,24.3
151-200,University of Exeter,16-21,,0,0,25.1,17.1,35.8,24.7
151-200,University of Gothenburg,5,,0,15.4,14.5,14.1,42.6,21.2
151-200,University of Hawaii at Manoa,62-71,,0,0,17.8,21.5,36.5,20.9
151-200,University of Innsbruck,1-2,,0,9.4,20.5,17.9,25.6,27.3
151-200,University of Iowa,62-71,,0,0,20.5,16.1,44.2,17.5
151-200,University of Kiel,9-14,,10.3,13.3,20.5,13.4,29.4,20.3
151-200,University of Leipzig,9-14,,11.5,13.3,17.8,9.5,34,21
151-200,University of Lisbon,1,,0,8.1,14.5,11.9,47.2,25.4
151-200,University of Massachusetts Amherst,62-71,,13.6,0,27.1,16.4,36.2,22.9
151-200,University of Massachusetts Medical School - Worcester,62-71,,0,20,10.3,23.9,26.7,20.9
151-200,University of Miami,62-71,,0,0,22.9,15.5,39.4,21.1
151-200,University of Montreal,6,,11.5,0,14.5,16.6,49.8,22.1
151-200,University of Padua,1-2,,0,0,10.3,17.4,49.6,23.5
151-200,University of Paris Descartes (Paris 5),7-9,,11.5,9.4,14.5,14.1,41,17.1
151-200,University of Tuebingen,9-14,,22.4,0,10.3,17.3,41.2,24
151-200,University of Vienna,1-2,,13.6,0,17.8,22.6,36.5,26.1
151-200,University of Virginia,62-71,,0,0,10.3,27.3,43.5,18.5
151-200,University of Warwick,16-21,,0,29.8,0,16.7,41.5,25.2
151-200,University of Wuerzburg,9-14,,19.2,0,17.8,13.9,34.1,21.2
151-200,Xian Jiao Tong University,7-9,,0,0,17.8,6.6,52.8,20.2
201-300,Aalborg University,4,,0,0,25.1,6.4,32.7,20.6
201-300,Autonomous University of Madrid,2-3,,0,0,14.5,10.9,38.4,18.4
201-300,Beijing Normal University,10-18,,15.4,0,10.3,5.4,40.1,17.4
201-300,Brandeis University,72-98,,19.2,0,10.3,18.2,18.6,27.1
201-300,Chalmers University of Technology,6-8,,0,0,17.8,12,30.2,22.9
201-300,Charles University in Prague,1,,8.9,0,14.5,8,44.6,21.9
201-300,City University of Hong Kong,2-4,,0,0,20.5,2.1,39.1,23.9
201-300,Claude Bernard University Lyon 1,10-13,,10.3,0,0,19.4,40.5,15.7
201-300,Colorado State University,72-98,,0,0,10.3,14.7,35.8,18.4
201-300,Curtin University,9-14,,0,0,17.8,12.5,39.5,27.3
201-300,Dartmouth College,72-98,,17.8,0,14.5,14.5,25.4,20.1
201-300,Deakin University,9-14,,0,0,22.9,8.6,38.5,25.6
201-300,Drexel University,72-98,,0,0,20.5,9.1,30.5,21.6
201-300,Durham University,22-28,,0,0,17.8,15.3,35.5,22.1
201-300,Eindhoven University of Technology,10-11,,0,0,17.8,8.8,30.6,24.5
201-300,Florida State University,72-98,,0,0,10.3,14.4,38,19
201-300,George Mason University,72-98,,0,31.9,0,7,28.1,19.3
201-300,Huazhong University of Science and Technology,10-18,,0,0,10.3,8.5,56.7,18.4
201-300,Indiana University-Purdue University at Indianapolis,72-98,,0,0,14.5,13.9,39.6,15.6
201-300,Iowa State University,72-98,,0,0,14.5,13.5,39.4,19
201-300,James Cook University,9-14,,0,0,14.5,15.7,28.3,27
201-300,Jilin University,10-18,,0,0,0,8.9,54.2,14.8
201-300,Karlsruhe Institute of Technology (KIT),15-21,,0,0,10.3,13.3,38.9,20.9
201-300,King Abdullah University of Science and Technology,3,,0,0,29,12.5,24.5,19.8
201-300,Korea Advanced Institute of Science and Technology,4-6,,0,0,14.5,15.2,39.8,32.2
201-300,KTH Royal Institute of Technology,6-8,,0,14.9,0,11.5,39.2,25.9
201-300,Kyushu University,7-9,,0,0,10.3,12.2,44.4,18.2
201-300,Laval University,7-13,,0,0,14.5,9,38.1,17.5
201-300,Maastricht University,10-11,,0,0,17.8,4.2,43.3,27.9
201-300,Macquarie University,9-14,,0,0,25.1,10.7,35.2,27.3
201-300,Medical University of South Carolina,72-98,,0,0,17.8,4,31,40.8
201-300,Medical University of Vienna,3,,8.9,9.4,14.5,9.9,33.9,20.1
201-300,Nanjing University,10-18,,0,0,0,10.5,56.3,20.5
201-300,North Carolina State University - Raleigh,72-98,,0,0,14.5,15,41.7,21.2
201-300,Northeastern University,72-98,,0,0,17.8,17.2,31.5,21.9
201-300,Paul Sabatier University (Toulouse 3),10-13,,0,0,10.3,20.8,36.8,14.7
201-300,Pohang University of Science and Technology,4-6,,0,0,10.3,13.6,30.1,35.4
201-300,Polytechnic Institute of Milan,3-8,,7.3,14.9,10.3,5.4,34.2,21.7
201-300,Queen's University,7-13,,0,21,0,10.7,33.9,22.1
201-300,Queensland University of Technology,9-14,,0,0,17.8,4,37,21.5
201-300,RWTH Aachen University,15-21,,0,0,22.9,6.4,40.8,23.3
201-300,Sichuan University,10-18,,0,0,10.3,7.4,56.4,16.8
201-300,Soochow University,10-18,,0,0,17.8,6.2,45.2,17
201-300,South China University of Technology,10-18,,0,0,17.8,3,43.1,17.9
201-300,Southeast University,10-18,,0,0,20.5,4.4,45.4,17.9
201-300,Stony Brook University,72-98,,0,0,10.3,19.6,38.1,18.1
201-300,Swedish University of Agricultural Sciences,6-8,,0,0,14.5,14,28.4,25.3
201-300,The Chinese University of Hong Kong,2-4,,0,14.1,0,8.6,43.1,23.2
201-300,The Hong Kong University of Science and Technology,2-4,,0,0,20.5,9.9,32.8,27.2
201-300,The University of Calgary,7-13,,0,0,17.8,12.6,44.9,19.4
201-300,The University of Dundee,22-28,,0,0,20.5,17.4,24.8,24.1
201-300,The University of Georgia,72-98,,0,0,14.5,17.8,43.1,18
201-300,The University of New Mexico - Albuquerque,72-98,,0,0,10.3,15.9,35.6,16.1
201-300,The University of Texas Health Science Center at Houston,72-98,,0,15.4,14.5,14.1,33.3,16.8
201-300,Tokyo Institute of Technology,7-9,,12.6,0,0,15.3,37.4,23.2
201-300,Toulouse School of Economics,10-13,,0,29.8,10.3,,10.1,18.5
201-300,University of Aberdeen,22-28,,0,13.3,10.3,11.7,30.9,21.2
201-300,University of Alabama at Birmingham,72-98,,0,0,22.9,9.4,40.1,16
201-300,University of Antwerp,5-6,,0,0,14.5,10.7,37.1,28.6
201-300,University of Belgrade,1,,0,0,10.3,4.4,43.7,22.3
201-300,University of Bergen,3,,0,0,10.3,16,37.3,21.1
201-300,University of Bochum,15-21,,0,0,17.8,9.4,35.5,20.1
201-300,University of Bologna,3-8,,0,0,14.5,8.8,47.6,18.1
201-300,University of Cape Town,1-2,,18.5,0,10.3,12.6,38.1,21.4
201-300,University of Cincinnati,72-98,,0,0,17.8,10.2,38.8,16.5
201-300,University of East Anglia,22-28,,13.6,0,10.3,15.2,27.6,21.7
201-300,University of Florence,3-8,,0,0,14.5,10.2,39.3,20.3
201-300,University of Granada,2-3,,0,0,22.9,5.3,40.7,16
201-300,University of Hamburg,15-21,,11.5,0,0,21.7,37.4,21.7
201-300,University of Houston,72-98,,0,0,17.8,11.6,37.3,21.2
201-300,University of Illinois at Chicago,72-98,,0,0,14.5,11.8,43.6,17.8
201-300,University of Kansas,72-98,,11.5,0,14.5,14.4,40.3,15.9
201-300,University of Koeln,15-21,,0,11.5,0,21.3,38.7,22.5
201-300,University of Lausanne,7,,0,0,14.5,23.5,35.2,23.1
201-300,University of Leicester,22-28,,0,0,10.3,18.9,32.3,20.8
201-300,University of Lorraine,10-13,,11.5,16.3,0,10.5,33.1,19.4
201-300,University of Mainz,15-21,,0,7.7,0,16.2,36.5,20.1
201-300,"University of Maryland, Baltimore",72-98,,0,0,14.5,13.9,38.5,16.6
201-300,University of Milan,3-8,,17,0,0,10.3,47.4,23.1
201-300,University of Missouri - Columbia,72-98,,8.9,0,17.8,13.9,37.6,16.4
201-300,University of Nebraska - Lincoln,72-98,,17,0,14.5,13.7,35.1,19.8
201-300,University of Notre Dame,72-98,,12.6,0,22.9,13.6,31.1,21.5
201-300,University of Ottawa,7-13,,0,0,14.5,16.1,44.4,21.5
201-300,University of Pisa,3-8,,13.6,23.1,0,6.2,36.7,22.5
201-300,University of South Florida,72-98,,0,0,20.5,8.9,40.8,19.5
201-300,University of Sussex,22-28,,0,22.4,0,13.8,29.8,24.2
201-300,University of Tasmania,9-14,,0,0,10.3,15.4,31.6,25.4
201-300,University of the Witwatersrand,1-2,,18.5,0,14.5,15.7,35.2,21.3
201-300,University of Tsukuba,7-9,,0,19.6,0,11.4,35.8,16.5
201-300,University of Turin,3-8,,15.4,0,14.5,7.7,41.7,21.5
201-300,University of Ulm,15-21,,0,0,20.5,13.6,30.3,19.3
201-300,University of Victoria,7-13,,0,0,17.8,12.4,29.4,21.1
201-300,University of Waterloo,7-13,,0,0,14.5,12.8,43.2,23.4
201-300,University of York,22-28,,0,0,10.3,16.8,33.5,21.1
201-300,Virginia Commonwealth University,72-98,,10.3,14.1,14.5,6.7,35.5,14.8
201-300,Vrije Universiteit Brussel (VUB),5-6,,13.6,0,10.3,10.5,31.8,28.9
201-300,Western University,7-13,,0,0,14.5,12,43.7,20.4
201-300,Xiamen University,10-18,,0,0,10.3,9.9,41.9,16
201-300,Yeshiva University,72-98,,0,0,10.3,21.3,32.3,21.4
201-300,Yonsei University,4-6,,0,0,10.3,5.8,53.7,23.4
301-400,Autonomous University of Barcelona,4-9,,0,0,0,12.1,45.2,20.7
301-400,Beihang University,19-31,,0,0,10.3,2.1,42.9,17.5
301-400,Boston College,99-119,,0,0,14.5,14.9,22.9,17.4
301-400,Catholic University of Korea,7-9,,0,0,10.3,1.5,30.5,39.6
301-400,Central South University,19-31,,0,0,0,3,51.7,17.4
301-400,Chang Gung University,3-4,,0,0,10.3,2.8,34.3,22.9
301-400,Chiba University,10-12,,0,0,14.5,9.4,28.5,17
301-400,China Agricultural University,19-31,,0,0,0,11.9,41.3,17.8
301-400,China University of Geosciences (Wuhan),19-31,,0,0,20.5,7.9,25.2,16.8
301-400,Complutense University of Madrid,4-9,,19.2,0,0,9.1,42.3,13.2
301-400,Dalhousie University,14-16,,12.6,0,0,13.1,34.5,18.5
301-400,Dalian University of Technology,19-31,,0,0,10.3,6.9,42.3,17.3
301-400,East China University of Science and Technology,19-31,,0,0,10.3,3.7,35.6,17
301-400,Ecole Normale Superieure - Lyon,14-18,,0,20,0,11.9,21.6,30.5
301-400,Ecole Polytechnique,14-18,,21.8,0,10.3,10.1,25.8,23.7
301-400,ESPCI ParisTech,14-18,,7.3,18.8,0,12.7,15.5,32.4
301-400,Federal University of Minas Gerais,2-4,,0,0,10.3,4.2,38,19.5
301-400,Federal University of Rio de Janeiro,2-4,,0,0,0,8.2,40.7,20.5
301-400,Flinders University,15-21,,15.4,0,10.3,6.2,31,23.3
301-400,Georgetown University,99-119,,0,0,10.3,6.9,31.6,18
301-400,Griffith University,15-21,,0,0,10.3,7.5,38.7,21.6
301-400,Hannover Medical School,22-27,,0,0,17.8,9.3,30.8,18.1
301-400,Hanyang University,7-9,,0,0,0,6.8,41.4,23.2
301-400,Indian Institute of Science,1,,0,0,10.3,2.8,37.9,19.4
301-400,Keio University,10-12,,0,0,14.5,10.1,32.5,14.4
301-400,King Fahd University of Petroleum & Minerals,4,,0,0,20.5,5.2,22.9,19
301-400,Kyung Hee University,7-9,,0,0,10.3,5.1,39.5,19.5
301-400,La Trobe University,15-21,,0,0,14.5,6.2,30.5,25.6
301-400,Lanzhou University,19-31,,0,0,10.3,6,39.5,19.2
301-400,Linkoping University,9-10,,0,0,14.5,9,35.2,19.5
301-400,Louisiana State University - Baton Rouge,99-119,,0,0,10.3,12.8,32.6,17.4
301-400,Nankai University,19-31,,0,0,10.3,5.7,37.9,15.5
301-400,National and Kapodistrian University of Athens,1,,0,0,14.5,5.4,37.4,20
301-400,National Tsing Hua University,3-4,,12.6,0,0,13,31.4,21.3
301-400,"National University of Ireland, Galway",2-3,,0,0,20.5,6.9,23,15.6
301-400,Newcastle University,29-33,,0,0,0,15,38.5,19.3
301-400,Okayama University,10-12,,0,0,14.5,9.9,28,13.5
301-400,Paris Dauphine University (Paris 9),14-18,,20.5,26.6,0,0,14.1,25.6
301-400,Polytechnic University of Catalonia,4-9,,0,0,14.5,8,27.7,15.8
301-400,Polytechnic University of Valencia,4-9,,0,0,17.8,7.6,31.8,16.1
301-400,Pompeu Fabra University,4-9,,0,0,0,19.7,27.2,34.3
301-400,Queen's University Belfast,29-33,,17.8,0,0,11.3,32.1,18.5
301-400,Rush University,99-119,,0,0,20.5,6.6,24.9,17.9
301-400,Saint Petersburg State University,2,,26.7,0,0,6.8,33.6,19.3
301-400,Shandong University,19-31,,0,0,0,3.2,57,17.1
301-400,Technical University of Berlin,22-27,,16.2,0,10.3,7.4,29.8,17
301-400,Temple University,99-119,,0,0,14.5,7.5,35.1,13.2
301-400,The George Washington University,99-119,,11.5,0,0,11.1,36,18.1
301-400,The Hong Kong Polytechnic University,5,,0,0,14.5,3.7,39.3,22.6
301-400,"The University of Newcastle, Australia",15-21,,0,0,10.3,5.7,34.5,24.2
301-400,The University of Reading,29-33,,0,0,17.8,11.4,28.4,21.5
301-400,The University of Texas at Dallas,99-119,,13.6,0,10.3,13.2,27.4,22.2
301-400,The University of Texas Health Science Center at San Antonio,99-119,,0,0,22.9,8.2,26.1,20
301-400,Thomas Jefferson University,99-119,,0,0,10.3,8.2,27.3,29.4
301-400,Tianjin University,19-31,,0,0,0,4.1,50.4,19.3
301-400,Tongji University,19-31,,0,0,0,8.3,48.8,17.3
301-400,Umea University,9-10,,0,0,10.3,10.9,33.8,17.5
301-400,UNESP,2-4,,0,0,0,7,43.9,21.9
301-400,"University at Buffalo, the State University of New York",99-119,,0,0,10.3,9.7,38.9,16.2
