# RANK                    20162015201420132012                  2015,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
37,University of Bristol,85,92.1,98.2,79.7,86.1,81.2,69,72.3,72.3,77.6,79.5,72.1
38,Kyoto University,84.9,99.9,96.6,94.1,,,71.5,78.5,83.1,80.7,86.5,75.7
39,The University of Tokyo,84.8,100,99.9,96.3,,,64.9,84.6,88.2,83.3,91.3,82
40,Ecole Polytechnique,83.8,73.5,99.6,99.2,96.2,88.5,75.7,,76.3,,80.4,62.1
41,Peking University,83.7,99.9,99.8,73,50.5,45.2,70.8,80,83.2,76.1,86.8,81.3
42,The University of Melbourne,83.1,99.8,99.8,,80.1,97.9,80.9,83.6,85.5,86.5,84.4,86.6
43,KAIST - Korea Advanced Institute of Science & Technology,82.6,89.4,86.6,78.5,,,100,57.2,87.8,63.5,84,73.8
44,"University of California, San Diego (UCSD)",82.5,98,71.3,66.8,31.3,42.4,94.5,70.7,76.4,86.8,80.4,70.8
45,The University of Sydney,81.9,99.5,99.4,,99.4,89.8,72.7,84.7,82.8,85.1,81.9,84.3
=46,The University of New South Wales (UNSW Australia),81.8,96.9,99.6,,100,92.7,80,77,85.3,79.8,80.2,84.1
=46,The University of Queensland,81.8,95.6,91.3,41.9,99.6,82.4,84,75.5,81.4,82.7,81.6,81.6
48,The University of Warwick,81.6,90.4,99.7,62.4,93.5,98.1,66.3,78.6,72,64.6,75.9,80.2
49,Brown University,81.5,81.9,71.2,81.7,49.4,66.2,96.6,75.1,71.8,73.4,73.2,71.3
50,University of British Columbia,81.2,99.6,95.8,47,85.4,63.2,73.7,79.2,78.1,82.1,80.5,79.4
=51,The Chinese University of Hong Kong (CUHK),81.1,95.4,85.6,69.3,97.8,63.7,61.2,79.1,81.3,75.9,76.5,82.3
=51,Fudan University,81.1,94.1,96.9,61.3,52.2,49.4,81,72.1,76.2,71.7,81.6,75.1
53,New York University (NYU),80.5,98.8,97.8,94.8,,82.3,,87.1,72.6,80.1,77.7,85.8
54,University of Wisconsin-Madison,80.3,97.4,62.1,85.7,51.6,36.1,66.9,72,75.9,78.6,80.1,74.5
55,University of Amsterdam,80.2,95.1,88.1,54.3,70,37.8,84.4,75,72.9,81.8,75.7,79.3
56,Tokyo Institute of Technology,79.4,86.2,84.5,87.2,,,80.4,53.1,85,58.8,83.3,63
57,City University of Hong Kong,79.2,72.7,50.7,81.9,100,95.4,93.4,73.1,78.5,,76,77.8
58,Osaka University,78.3,92.5,80.9,86.8,,,69.2,65,77.3,78.1,82,65.8
59,University of Illinois at Urbana-Champaign,77.5,97.7,75.8,,62.1,70,98.2,67.8,82.8,70,81.2,70.6
60,Technical University of Munich,77.3,90.4,98.3,90.3,53,65.2,,,82.8,76,86.4,64.8
61,Durham University,77,75.4,98.4,48.7,91.7,88.1,90.6,76.6,64.8,56.3,80.4,72.2
=62,Carnegie Mellon University,76.8,88.1,83.9,,,99.3,99.9,68,82.9,57.6,75.5,71.6
=62,University of Glasgow,76.8,87.5,68.3,64.4,86.9,94.4,64.4,72.6,70.8,78.9,73.6,69.6
64,Delft University of Technology,76.5,83.9,89.4,,93.2,71.2,96.1,64.7,85.4,59,79.9,65.6
65,University of Washington,76.3,95.5,55.8,54.1,,43.8,94.5,69.6,75.9,84.6,82,71
66,Ruprecht-Karls-Universitaet Heidelberg,76.1,95.5,80.5,77.6,49.5,59.6,43.3,74.5,65,78,79.4,68.5
67,Monash University,76,94.5,96.9,,98.4,93.7,67.1,76.9,81.5,81.7,80.7,81.6
68,University of St Andrews,75.9,65.9,68.2,79,96.6,99.9,84.5,72.6,61.9,56.1,73.6,64.3
69,University of Copenhagen,75.7,89.1,77.7,99.9,82,37.8,,74.2,71.3,83.9,80.7,75
=70,The University of Nottingham,75.4,80.6,96.7,61.1,87.3,87.6,61.9,70.3,72.6,77,74.9,72.9
=70,Lund University,75.4,89.3,84.2,58.1,83.5,72.7,58.1,68.8,73.3,74.8,76.9,71.6
=70,National Taiwan University (NTU),75.4,98,75,46.1,,,85.9,75.6,81.9,77.3,83.1,76.5
=70,Shanghai Jiao Tong University,75.4,88.8,95.9,47.3,60.8,,83.8,61.5,82.2,70.7,77.8,74.8
74,Tohoku University,75.2,86,72.1,97.1,,,61.4,61.4,76.6,71.6,81.7,63.1
75,Ludwig-Maximilians-Universität München,74.7,98.1,91.6,49.8,57.1,39.9,56.8,74.9,69.6,77.9,83,72.3
76,University of Birmingham,74.6,82.4,94.9,60.4,85.1,83.4,57.6,73.4,75.4,77.1,72.5,71.8
77,University of Texas at Austin,74.5,98.5,85.8,,,,97.5,77.4,81.6,70.9,82.7,75.3
78,"Trinity College Dublin, The University of Dublin",74.3,82.5,73.8,60.7,95.8,84.6,63,73.7,74,72.5,74.5,71.4
79,"University of North Carolina, Chapel Hill",73.7,84.1,45.7,81.7,38.1,,79.9,69.3,66.2,80.5,72.2,69.5
80,The University of Sheffield,73.6,79,79.7,66.3,81.5,95,59,68,72.8,73,71.3,67.4
81,University of Southampton,72.8,72.9,64,76.6,89.2,92.3,63.5,60,75,71.6,76.8,65.3
=82,The University of Auckland,72.4,92.7,93.6,,85.2,88.4,58.5,79.5,78.9,76.8,74.2,80.5
=82,KU Leuven,72.4,92.4,76.4,,80,41.6,92.6,73.8,76.9,75.2,77.1,74.4
84,Georgia Institute of Technology,72.3,81.8,78.2,44.5,,86.9,89.9,59.5,85.4,61.1,80.9,67.3
=85,University of Zurich,72.2,78.1,72.7,90.8,100,62.6,,65.8,66,78.4,75.5,68.9
=85,"University of California, Davis",72.2,85.8,62,,65.7,46.9,93.9,62.4,72.6,80.5,78.4,65.7
=87,University of Leeds,72,81.7,90.7,57.9,75.8,73.7,55.2,72,71.2,70.7,76.3,68.5
=87,Pohang University of Science And Technology (POSTECH),72,56.1,64.9,99.6,49.7,,100,,81.3,58.4,79.6,
=89,University of Geneva,71.2,69.8,,62.3,100,99,86.5,64,59.9,77.3,76.6,64.7
=89,Purdue University,71.2,81,77.2,,94.1,78.1,73.3,58.6,79.6,70.4,78.2,67.1
91,Boston University,71.1,78.5,85.6,62.5,,73.7,71.2,73,70.5,81.1,76.2,72.9
92,KTH Royal Institute of Technology,70.9,64.1,88,67.7,86.1,46.2,80.9,53.4,81.7,,76.9,60.5
93,"KIT, Karlsruhe Institute of Technology",70.8,64,96.2,84.7,57.1,48.6,65.8,,78.3,,82.9,57.2
94,Utrecht University,70.7,83.7,69,47.1,59.4,,84.5,69,65.8,79.7,77.5,68.2
95,Leiden University,70.3,87.1,55.2,43.6,66.7,,83.2,77.2,64.5,77.5,75.8,70
=96,University of Alberta,70.1,79.5,68.7,56.7,90.3,82.9,56.5,67.9,69.4,74.5,72.5,66.4
=96,University of Helsinki,70.1,83.7,64.7,94.6,59.9,,36.8,72.6,68.7,75.7,75.7,68.1
98,The University of Western Australia,69.4,79.3,70.3,,99.7,65.6,76.1,68,72.4,75.9,75.7,73.1
99,The Ohio State University,69.3,82,57.4,71.9,80.4,55.2,47,68.9,72.6,73.5,74.9,70.1
100,University of Groningen,68.8,69.1,58.5,81.1,93.4,94.2,48,63.1,62.2,74.6,71.1,66
101,Pennsylvania State University,68.7,85.7,73.3,,,45.5,86.1,68.1,74.6,72.4,77.5,71.9
102,Uppsala University,68.4,85.7,65.6,47,,75.8,64.2,67.9,70.1,77.6,76.6,68.4
103,University of York,68.3,67.7,70.1,51.5,87.1,81.1,76.6,71.4,62.2,68.1,68.1,66.9
104,Korea University,68.2,78.4,84.6,83.2,,39.2,42.6,73.5,79.1,69.5,78.6,80.7
105,Yonsei University,67.9,79.4,86.6,83.8,,,40.3,73.2,79.1,72.9,76.2,79.5
106,Rice University,67.8,50.5,,84.2,86.1,87.1,99.7,61.7,70.9,55.6,74.9,58.3
107,Aarhus University,67.4,74.9,63.8,43.3,71,47.1,81.7,69.7,72.8,77.3,76.8,73.6
108,Lomonosov Moscow State University,67.2,84.2,82.1,99.6,,56.1,,71.5,74.9,,80.3,71.2
109,Queen Mary University of London,67,63.4,57.4,72.4,96.6,99.3,57.5,68.3,66.4,72.4,68.4,66.5
=110,Washington University in St. Louis,66.9,60.4,,99.9,,58.7,76.7,59.4,64.1,83,68.8,63.6
=110,Zhejiang University,66.9,80.2,80.1,,,,90.3,61.7,77.3,65.9,77.3,66.2
112,Technical University of Denmark,66.8,44.1,52.9,95.4,97.1,74.8,80.2,,80.9,61.8,77.7,
=113,The University of Adelaide,66.7,75.2,76.5,42.2,93.5,98.6,53.9,70.5,72.6,76.1,73.3,73.6
=113,University of Science and Technology of China,66.7,72.1,48.7,62.8,,,97.9,53.4,74.7,60.5,80.9,62.3
115,Université de Montréal,66.6,79.5,75.6,,85,80.1,62,65.7,68.9,74,69.5,68.7
116,The Hong Kong Polytechnic University,66.3,69.1,59.6,47,99.3,82,70.5,69.4,81.2,57.9,76.3,77.5
117,Eindhoven University of Technology,66.2,50.5,57.3,99.4,100,,69.6,,73.3,,73.7,
118,Sungkyunkwan University (SKKU),66.1,68.9,99.4,86.9,,,43.5,74.5,80.2,70.2,78.1,75.6
119,Freie Universitaet Berlin,65.7,93.3,62.7,,60.1,54.6,61.3,77.6,63.9,66.2,76.8,73.3
120,Nagoya University,65.6,73.7,58,93.7,,,45.7,58.5,72.7,70.5,78.4,61.6
121,Lancaster University,65.5,59.1,69.2,45.1,91.4,95.8,82.3,67.7,66.4,,68,72.9
122,Cardiff University,65,63.8,73.3,66.8,71.7,85.7,53.8,63.8,69.6,73,70.5,71.5
123,University of Minnesota,64.9,84.1,46.3,,,37.6,97.4,62.5,72.5,77.1,75.6,71.4
=124,Universidad de Buenos Aires (UBA),64.6,95.7,98.9,61.4,30.4,38,,70.6,66.4,66.4,70.9,70.2
=124,Ghent University,64.6,71.5,54.9,90.3,55.8,,40.9,66.7,69.3,74.3,71.6,65.2
=126,Erasmus University Rotterdam,64.5,55.1,90.4,65.7,69.2,65.3,67.1,58.3,60,79.3,,79.8
=126,Humboldt-Universität zu Berlin,64.5,96.6,76.6,,55.4,42.8,41.7,79.6,68.2,67,75.2,72.3
=126,"University of Maryland, College Park",64.5,70,,63.3,31.2,37,82.3,64.7,70.1,70.6,79,66
129,"University of California, Santa Barbara (UCSB)",64.3,84.4,,,62.7,44.7,100,65,70,61,82.8,60.7
=130,University of Southern California,64.2,70.4,65.1,42.9,34.8,74.1,76.7,72.6,71.9,72.6,68.8,69.2
=130,Nanjing University,64.2,76.7,63.6,,38.7,,86.5,64.3,71.4,61,79.3,64.3
132,Chalmers University of Technology,64,48.6,86.5,71.9,78.7,44.6,76.3,,76,,73.3,57.5
=133,Albert-Ludwigs-Universitaet Freiburg,63.5,74.1,,59.3,58.3,45.4,64.7,67.3,62.8,73,73.4,59.6
=133,University of Pittsburgh,63.5,58.2,,93.8,64.6,,67.6,67.2,63,76.2,65.4,60.1
=135,Wageningen University,63.4,55.6,40,99.9,42.8,86.5,52.9,,,75,71.7,59.7
=135,University of Oslo,63.4,71.5,45.4,61.3,67,45.4,61.1,67.9,66.4,70.5,70.4,69.2
=137,University of Aberdeen,63.2,53.6,63.3,65.3,93.4,94.4,64.1,64.4,65.4,69.2,65.7,64.7
=137,Université Pierre et Marie Curie (UPMC),63.2,72.3,52.3,,36.4,53.2,89.4,,69.1,73,80,
=139,University of Basel,63.1,54.5,48.3,,100,85.1,96.6,59.3,59.9,76.9,68.3,59.9
=139,Aalto University,63.1,50.5,58.5,92.6,75.6,38.7,63.5,,71.6,,70.8,66.4
=139,Hokkaido University,63.1,69.8,64.7,85.8,,,48.4,55.4,72.2,70.3,75.7,62
142,Kyushu University,62.7,69.3,66.4,98.8,,,,57.5,72.1,70.4,75,58.5
=143,University of Lausanne,62.4,53.2,55,95.2,97.6,77.9,38.5,59,,73.7,63.1,65.9
=143,Universidade de São Paulo,62.4,95.3,94.6,,,,,70.3,74.1,73,75.1,72.6
145,RWTH Aachen University,62.2,78.5,97.6,,31.4,50.7,53,58.6,80,69.1,81.4,64.2
146,Universiti Malaya (UM),62.1,62,56.8,94.1,80.6,77.3,,66.5,79.7,62.9,68.7,73.7
147,Indian Institute of Science (IISc) Bangalore,62,52.5,39.7,84.4,,,99.3,,,,,
148,The Hebrew University of Jerusalem,61.8,66.9,,82.5,52,,59.4,66.3,62.4,70,69.3,63.9
=149,Université Catholique de Louvain (UCL),61.5,76.5,72.4,55.2,78.9,65.4,,69,69.6,67.4,71.6,71.2
=149,McMaster University,61.5,61.7,60.2,64.6,91.5,50.6,53.3,57.7,66.7,78.6,69.9,62.9
151,University of Liverpool,61.1,55.1,69.5,66.8,76.9,95.1,50.1,63.2,68.8,71,71.8,61.6
152,University of Waterloo,60.9,61,79.4,,78.3,75.7,88.6,54.5,76.9,57,77.6,63.1
153,University of Vienna,60.8,82.5,57.9,,94.8,93.4,,70.4,63.8,63.2,76.4,67.2
154,University College Dublin,60.5,62.2,72.4,,90.9,63.7,63.1,65.5,70.7,68,69,68
155,National Tsing Hua University,60.2,65.2,49,,39.1,,99.8,61.3,76.5,55.5,77.7,62.7
=156,CentraleSupélec,60.1,,100,86.7,,94.9,74.3,,70.8,,,
=156,University of Reading,60.1,51.1,68.2,51.5,86.6,89.7,67.7,66.3,61.3,60,67.5,63
158,Dartmouth College,60,41.1,65.3,86.4,,51.6,83.8,62,60.6,68.1,,68.5
=159,University of Bath,59.8,51.3,89,,90.5,90.4,68.3,57.4,68.3,55.2,69.7,68.2
=159,Texas A&M University,59.7,76.3,68.3,,,,89.8,57.8,75.9,68.8,78.3,64.9
160,Universidad Nacional Autónoma de México  (UNAM),59.6,95.9,92.5,49.4,,,,74.9,71.6,69.4,71.5,71.7
161,The University of Exeter,59.5,52,76.7,44.3,85.2,87.1,66.9,67,60.9,63.6,67.1,67.6
162,Newcastle University,59.4,49.6,73.2,61.8,83.4,88.6,55.8,61.5,66.9,73.9,64,61.3
163,"University of California, Irvine",59.2,63.3,40.9,,52.8,69.9,95.7,64.1,68.4,70.9,74.5,63.9
164,Michigan State University,58.9,69.8,59.5,,61.5,55.6,70.8,64.2,69.4,68.9,71.1,71.9
165,Emory University,58.8,41.8,,85.1,45,45.2,89.6,56.4,,77.3,62.1,59.8
=166,University of Bern,58.6,43.8,45.4,46.3,99.4,43.5,99.9,60.1,,71.1,66.4,59.3
=166,University of Barcelona,58.6,86.9,74.1,,,,38.8,69.3,73.3,74.6,80.1,69.7
168,Georg-August-University Goettingen,58.5,74.2,,74.9,44.5,37.9,,62.7,,70.3,74.6,58.8
169,Maastricht University,58.2,37.5,68.8,71.5,94.8,99.9,60.6,53.4,,74.9,,70.5
170,Pontificia Universidad Católica de Chile (UC),58.1,90.7,98.3,,,,,71.4,71.5,66.5,63.8,75
171,University of Cape Town,57.8,68.9,60.6,,70.1,52.5,53.3,67.1,61.8,71.7,68.8,70.4
172,University of Virginia,57.7,53.7,49.7,70.9,53.4,35.9,62.6,69.3,63.4,67.9,65,67.2
=173,University of Otago,57,62.7,53.8,,100,66,60.4,69.5,63.5,77.2,69.9,71.7
=173,Eberhard Karls Universität Tübingen,57,64.5,51.4,82.4,47.2,,,69.5,,71.9,70,59
175,University of Colorado Boulder,56.9,56,51.6,70.1,40.2,,61.5,57.5,69.2,65.5,80,62.6
176,Vrije Universiteit Amsterdam,56.8,64.3,66.8,,44.3,,66.1,65.2,62.9,68.1,67.2,67.1
177,Radboud University,56.7,47,42.2,60,52.2,38.8,85.1,58.8,,74,64.2,62.5
178,Technische Universität Berlin (TU Berlin),56.6,70.5,82.3,,39.2,56.9,,56,80.8,,77.5,61.2
179,Indian Institute of Technology Delhi (IITD),56.4,55.3,81.6,,,,96.2,,81.2,,69,65.1
180,University of Florida,56.1,65.3,44.6,68.2,,,48.3,55.4,69.9,73.8,73.8,64.8
181,University of Bergen,55.9,47.3,,86.4,78.9,,59,60.4,59.9,66.7,64.3,64.5
=182,Queen's University Belfast,55.8,49.9,56.6,52.4,97.8,94,50.1,61.4,67.7,64.1,67.8,61.5
=182,National Chiao Tung University,55.8,37.5,,64.9,49,63.1,96.5,54,71.6,,70.7,61
=182,Stockholm University,55.8,76.9,50.8,,,,53.3,70.9,68.6,66.3,77.3,71.6
185,"University of Illinois, Chicago (UIC)",55.7,59,46.7,47.5,61.3,57.7,59.5,62.3,66,71,65.8,63.7
186,Universidad Autónoma de Madrid,55.5,72.5,68.6,51.3,,,37.8,64.6,65.8,64.1,76.3,66.4
=187,University of Sussex,55.6,48.4,,,100,96.9,77,62.1,,55.6,,66.3
=187,Politecnico di Milano,55.2,64.7,89.8,,38.2,48.5,66.7,57,83.7,,77.5,67.9
=188,University of Twente,55.1,37.4,39.6,44.3,81.1,73.4,97.5,,67.9,,68.8,57.6
=188,École Normale Supérieure de Lyon,55.1,58.3,,100,53.9,38.4,,,,,65.2,
=190,University of Rochester,54.8,38.9,,99.9,35.9,77.8,59.3,58.5,,67.8,67.9,62.3
=190,Universitat Autònoma de Barcelona,54.8,78,47.5,,,,50.3,63.9,66.1,68.2,74.6,68.8
192,The University of Western Ontario,54.6,50.3,62.3,,95.5,57.9,78.5,59.8,64.8,69.6,66.5,69
193,Hanyang University,54.4,44.3,67.8,94.5,,53.2,,59.1,77.6,58.7,71.1,70.8
194,Vrije Universiteit Brussel (VUB),54.2,41.4,64.1,95,77.1,69.4,,57.2,63.6,58.4,62.5,62.2
=195,University of Notre Dame,54.1,42.2,48.2,50.4,83.5,,84.1,71,65.5,,64.9,64.4
=195,Universidade Estadual de Campinas (Unicamp),54.1,75.1,79.9,,,,43.4,61.5,70.1,64.8,68.6,63.8
197,Vienna University of Technology,53.9,47.2,71.1,,62.3,87.4,90.8,,74.7,,75.3,
198,Technion - Israel Institute of Technology,53.8,54.2,42.4,,60,,87.5,,71.3,61.4,72.3,
199,King Fahd University of Petroleum & Minerals,53.5,37.2,51.7,83.9,100,73.9,39.4,,74.2,,64,60
202,Indian Institute of Technology Bombay (IITB),52.8,62.3,87.5,,,,65.6,,80.1,,72,62.8
203,Tel Aviv University,52.7,58,47.9,,34.3,,98.9,61.2,63.8,66.9,69.3,61.9
=204,University of Calgary,52.5,54.9,67.6,,69.1,64.7,53.3,60.9,65.7,72.6,67.7,62.7
=204,Alma Mater Studiorum - University of Bologna,52.5,87.5,62.9,,,,,71.6,71.9,71.4,74.7,71.6
206,Queen's University at Kingston,52.4,53.8,67.5,,78.6,,75.4,60.5,66,65.7,64.4,67.3
207,Universite libre de Bruxelles,52,56.4,62.3,,93.8,94.9,,58.8,63.1,64.9,71.1,65.6
208,University of Antwerp,51.9,43.4,40.5,95.3,65,51.6,,57.5,61.9,64.9,64.4,62.6
209,Universidad de Chile,51.6,84.6,92.8,,,,,66.2,69.7,64.1,66.6,71
210,Rheinische Friedrich-Wilhelms-Universität Bonn,51.4,67.1,39.4,60.3,,39.1,,57.2,61.7,69.1,72.9,63.7
211,University of Canterbury,51.2,49.1,57.8,,99,61.9,61.2,64.7,70.3,54.1,68.8,71.7
212,Waseda University,51.1,73.3,85.3,,35.6,40.2,,71.6,70.9,,68.3,72.5
=213,Georgetown University,51,49.8,66.5,58.7,44.7,54.3,38.3,75.4,,66.4,,72.8
=213,Sapienza University of Rome,51,85.7,54.4,,,,44.9,69.5,71.1,70.1,77.7,65.9
215,Case Western Reserve University,50.8,,,97.7,36.5,65.3,65.6,,59.4,67,61.5,
=216,Vanderbilt University,50.7,46.6,,100,,,43.4,53,,75.1,64.2,59.3
=216,The University of Arizona,50.7,61,,,,,71.9,61.5,63.8,68.9,73.8,62
218,University of Technology Sydney,50.5,48.6,85.9,,95.6,93.2,42.3,64.8,73.1,,64.4,72.4
=219,Universität Hamburg,50.4,68.9,55.4,,,37,,66.1,61.7,70,75.8,64.3
=219,University of Tsukuba,50.4,52.1,45.8,79,,,,54.2,64,61.5,73.2,57.5
=219,Keio University,50.4,65.8,82.3,57.5,,,,66,68.2,68.6,65.5,69.7
222,Université Paris-Sorbonne (Paris IV),50.3,86,78.6,,31.2,52,,78.4,,,,69.9
223,Sciences Po,50.2,36.8,78.3,92.6,64.1,97.2,,64.6,,,,72.2
224,National Cheng Kung University (NCKU),50.1,49.7,,51,,,68.9,58.3,73.2,63.7,69.2,64
225,Simon Fraser University,50,41.6,45.3,,93.5,91.7,88.2,58.7,61.2,55.4,61.5,63.8
226,University Complutense Madrid,49.7,76.9,79,,,38.6,,68.9,65.7,63.8,71.3,67
227,Technische Universität Dresden,49.6,49.2,67.8,,30.7,42.2,81.4,,71.4,66.6,73.7,
228,Loughborough University,49.5,38.9,69,,79.9,71.5,59.4,55.2,68,,62.5,63.7
=229,Macquarie University,49.4,48.4,63.6,,100,78.3,58.8,71.6,62.1,58.1,71.5,71.4
=229,Victoria University of Wellington,49.4,51.2,58.4,,100,66.1,54.1,73.9,63.5,,67.3,73.3
231,Royal Holloway University of London,49.3,,,,97.7,98,77.9,65.3,,,,59.2
232,Beijing Normal University,49.2,56.4,48.7,42.2,58.6,,45.8,66.6,62.9,54.8,70,69.4
=233,University College Cork,49.1,44.4,60.7,43.2,92.1,47.8,47.4,56.5,68,67.6,67.4,60.4
=233,University of Turku,49.1,41.9,65.3,92.5,33.8,,,57,,65.7,62,63.8
=235,University of Leicester,48.9,32.8,40.1,64,80,97.1,50,56.6,,65,65.4,62.4
=235,Université Joseph Fourier - Grenoble 1,48.9,52.9,,,,44,71.9,,66,56.7,74.6,
237,King Saud University,48.7,42.2,45.9,90.2,97.6,,,51.1,71.5,63.9,65.4,61.6
238,Instituto Tecnológico y de Estudios Superiores de Monterrey,48.6,43.6,93.2,71.5,83.3,47.7,,,65.1,,,66.2
239,University of East Anglia (UEA),48.4,36.7,,,71.3,85.6,78.9,54.6,,61.9,64.6,59.3
240,Université Paris 1 Panthéon-Sorbonne,48.2,81.1,90.7,,,64.5,,75.4,,,,75.7
=241,Université de Strasbourg,48.1,72.3,,,42.3,54.2,37.3,53.8,60.6,65.6,72.3,
=241,Université Paris-Sud,48.1,46.3,,66.4,37.3,48.6,46.3,,60.1,66.5,75.5,
=243,University of Wollongong,48,,78.6,,99.9,69.6,63.9,58.9,70.2,,69.3,66.8
=243,Universität Frankfurt am Main,48,64.7,64.1,,,53.6,,67.2,59.8,72.3,73.3,67.6
=243,University of Massachusetts Amherst,48,53.7,42.6,,,,76.9,68.5,67.9,61.7,69,64.1
246,Technische Universität Darmstadt,47.7,34.2,88.1,,59.9,59.1,78.7,,73.1,,74.5,
=247,University of Surrey,47.6,34.8,46.8,47.1,94.5,97.7,49.4,54.8,67.4,,62,62.5
=247,University of Gothenburg,47.6,52.8,45,53.4,35.8,,38.8,59.4,,73.1,62.7,64.6
=249,University of Strathclyde,47.5,37.4,69.5,,85.9,73.8,50.1,,68.2,,66.3,64.6
=249,Arizona State University,47.5,60.3,,,,39.9,75.1,63.4,65.8,65.4,71.3,65
251,Universität Stuttgart,47,44.2,62.6,64.7,38.1,69.2,,53.6,73.2,,74.1,
252,Tufts University,46.9,,,64,30.1,45.4,80.4,57,,72.7,,58.5
253,Chulalongkorn University,46.8,76.3,59,,,,,59.7,71.4,63.1,68.1,67.5
=254,Norwegian University of Science And Technology,46.6,43.4,52.9,,75.9,41.1,56.9,,70.1,61.2,66.9,58.8
=254,Indian Institute of Technology Madras (IITM),46.6,41.4,66.9,,,,82.3,,77.2,,67.7,57.3
=256,"The University of Newcastle, Australia (UON)",46.4,43,59.3,,96.3,52.5,49.1,61.6,71.2,66.1,62.4,65.4
=256,Saint-Petersburg State University,46.4,49.3,46.7,97,,,,67.2,65.9,,70.7,66.4
