University,RANK 2014,RANK 2015,,,B2-C2,D2/B2,E2^2,,ABS(E2)
Universitat PolitÃ¨cnica de Catalunya,337,299,,,38,0.1127596439,0.0127147373,,0.1127596439
Ecole Normale SupÃ©rieure de Cachan,338,293,,,45,0.1331360947,0.0177252197,,0.1331360947
Aix-Marseille University,341,361,,,-20,-0.0586510264,0.0034399429,,0.0586510264
"City, University of London",341,301,,,40,0.1173020528,0.0137597716,,0.1173020528
Boston College,341,282,,,59,0.1730205279,0.0299361031,,0.1730205279
Massey University,346,337,,,9,0.0260115607,0.0006766013,,0.0260115607
Iowa State University,348,355,,,-7,-0.0201149425,0.0004046109,,0.0201149425
UniversitÃ¤t Bremen,348,351,,,-3,-0.0086206897,7.43162901307967E-005,,0.0086206897
James Cook University,350,387,,,-37,-0.1057142857,0.0111755102,,0.1057142857
University of Coimbra,351,367,,,-16,-0.0455840456,0.0020779052,,0.0455840456
"Stony Brook University, State University of New York",352,372,,,-20,-0.0568181818,0.0032283058,,0.0568181818
Heriot-Watt University,352,318,,,34,0.0965909091,0.0093298037,,0.0965909091
Ewha Womans University,355,354,,,1,0.0028169014,7.93493354493156E-006,,0.0028169014
Virginia Polytechnic Institute and State University,355,338,,,17,0.0478873239,0.0022931958,,0.0478873239
Brunel University London,355,331,,,24,0.0676056338,0.0045705217,,0.0676056338
Universidad Carlos III de Madrid (UC3M),355,314,,,41,0.1154929577,0.0133386233,,0.1154929577
Rensselaer Polytechnic Institute,359,348,,,11,0.0306406685,0.0009388506,,0.0306406685
The American University in Cairo,360,345,,,15,0.0416666667,0.0017361111,,0.0416666667
Deakin University,360,324,,,36,0.1,0.01,,0.1
Tampere University of Technology,362,356,,,6,0.0165745856,0.0002747169,,0.0165745856
Aalborg University,363,356,,,7,0.0192837466,0.0003718629,,0.0192837466
Politecnico di Torino,365,314,,,51,0.1397260274,0.0195233627,,0.1397260274
Dublin City University,366,353,,,13,0.0355191257,0.0012616083,,0.0355191257
UniversitÃ© Paris Dauphine,367,369,,,-2,-0.0054495913,0.000029698,,0.0054495913
Tilburg University,367,293,,,74,0.2016348774,0.0406566238,,0.2016348774
University of Essex,370,303,,,67,0.1810810811,0.0327903579,,0.1810810811
University of Kansas,371,393,,,-22,-0.0592991914,0.0035163941,,0.0592991914
National Taiwan University of Science and Technology (Taiwan Tech),371,260,,,111,0.2991913747,0.0895154787,,0.2991913747
Universiti Putra Malaysia (UPM),376,331,,,45,0.1196808511,0.0143235061,,0.1196808511
University of Tartu,379,400,,,-21,-0.055408971,0.0030701541,,0.055408971
Washington State University,379,361,,,18,0.0474934037,0.0022556234,,0.0474934037
Xiâ€™an Jiaotong University,379,331,,,48,0.1266490765,0.0160399886,,0.1266490765
Oxford Brookes University,379,324,,,55,0.1451187335,0.0210594468,,0.1451187335
North Carolina State University,388,309,,,79,0.2036082474,0.0414563184,,0.2036082474
Aston University,390,346,,,44,0.1128205128,0.0127284681,,0.1128205128
Tongji University,393,345,,,48,0.1221374046,0.0149175456,,0.1221374046
UniversitÃ¤t Jena,397,381,,,16,0.040302267,0.0016242727,,0.040302267
Moscow State Institute of International Relations (MGIMO University),399,397,,,2,0.0050125313,2.51254703173975E-005,,0.0050125313
Bilkent University,399,394,,,5,0.0125313283,0.0001570342,,0.0125313283
Northeastern University,399,365,,,34,0.0852130326,0.0072612609,,0.0852130326
,,,,,,,,,
,,,,,,,22.5789306357,,57.2014816954
,,,,,,,0.0602104817,ABS,0.1525372845
,,,,,,C.I.,0.2453782421,,
