University,International Faculty-14,International Faculty-15,,,B2-C2,B2/D2,E2^2,,ABS (E2)
University of Delaware,40.5,39.7,,,0.8,0.0197530864,0.0003901844,,0.0197530864
Ruhr-UniversitÃ¤t Bochum,40.5,39.6,,,0.9,0.0222222222,0.0004938272,,0.0222222222
Universitas Indonesia,40.3,38.7,,,1.6,0.0397022333,0.0015762673,,0.0397022333
UniversitÃ© Stendhal Grenoble 3,40.2,45.2,,,-5,-0.1243781095,0.0154699141,,0.1243781095
Coventry University,40,51.7,,,-11.7,-0.2925,0.08555625,,0.2925
UniversitÃ© Paris Diderot - Paris 7,39.8,38.4,,,1.4,0.0351758794,0.0012373425,,0.0351758794
Ritsumeikan University,39.8,31,,,8.8,0.2211055276,0.0488876544,,0.2211055276
Clarkson University,39.7,54.6,,,-14.9,-0.3753148615,0.1408612452,,0.3753148615
University of Eastern Finland,39.3,46,,,-6.7,-0.1704834606,0.0290646103,,0.1704834606
University of Colorado Boulder,39.3,40.2,,,-0.9,-0.0229007634,0.000524445,,0.0229007634
University of JyvÃ¤skylÃ¤,38.9,40.5,,,-1.6,-0.0411311054,0.0016917678,,0.0411311054
University of Saskatchewan,38.8,42.3,,,-3.5,-0.0902061856,0.0081371559,,0.0902061856
Johannes Gutenberg UniversitÃ¤t Mainz,38.8,37.3,,,1.5,0.0386597938,0.0014945797,,0.0386597938
Institut National des Sciences AppliquÃ©es de Lyon (INSA),38.6,41,,,-2.4,-0.0621761658,0.0038658756,,0.0621761658
UniversitÃ¤t Bremen,38.3,42.6,,,-4.3,-0.1122715405,0.0126048988,,0.1122715405
UniversitÃ© Paris-Sud,38.3,37.3,,,1,0.0261096606,0.0006817144,,0.0261096606
University of Gothenburg,38.3,35.8,,,2.5,0.0652741514,0.0042607148,,0.0652741514
Northumbria University at Newcastle,38.2,39.3,,,-1.1,-0.0287958115,0.0008291988,,0.0287958115
University of Oklahoma,37.9,37.2,,,0.7,0.018469657,0.0003411282,,0.018469657
LinkÃ¶ping University,37.6,37.2,,,0.4,0.0106382979,0.0001131734,,0.0106382979
University of Rochester,37.6,35.9,,,1.7,0.045212766,0.0020441942,,0.045212766
UniversitÃ© Pierre et Marie Curie (UPMC),37.5,36.4,,,1.1,0.0293333333,0.0008604444,,0.0293333333
University of Turku,37.4,33.8,,,3.6,0.0962566845,0.0092653493,,0.0962566845
UniversitÃ¤t Stuttgart,37.3,38.1,,,-0.8,-0.0214477212,0.0004600047,,0.0214477212
Technische UniversitÃ¤t Berlin (TU Berlin),36.7,39.2,,,-2.5,-0.068119891,0.0046403196,,0.068119891
Nottingham Trent University,36.6,37.7,,,-1.1,-0.0300546448,0.0009032817,,0.0300546448
Universidad de los Andes,36.2,34.8,,,1.4,0.0386740331,0.0014956808,,0.0386740331
Peking University,35.8,50.5,,,-14.7,-0.4106145251,0.1686042883,,0.4106145251
Tel Aviv University,35.6,34.3,,,1.3,0.0365168539,0.0013334806,,0.0365168539
Manchester Metropolitan University,35.6,33.7,,,1.9,0.0533707865,0.0028484409,,0.0533707865
Waseda University,34.9,35.6,,,-0.7,-0.0200573066,0.0004022955,,0.0200573066
UniversitÃ© de Strasbourg,34.8,42.3,,,-7.5,-0.2155172414,0.0464476813,,0.2155172414
UniversitÃ¤t Mannheim,34.7,32.6,,,2.1,0.060518732,0.0036625169,,0.060518732
Julius-Maximilians-UniversitÃ¤t WÃ¼rzburg,34.5,35.3,,,-0.8,-0.0231884058,0.0005377022,,0.0231884058
Bocconi University,34.1,33.5,,,0.6,0.0175953079,0.0003095949,,0.0175953079
RWTH Aachen University,34,31.4,,,2.6,0.0764705882,0.0058477509,,0.0764705882
Universit Paul-Valery Montpellier 3,33.5,32.3,,,1.2,0.0358208955,0.0012831366,,0.0358208955
Carleton University,32.7,32.9,,,-0.2,-0.006116208,0.000037408,,0.006116208
Drexel University,32.5,34.2,,,-1.7,-0.0523076923,0.0027360947,,0.0523076923
UniversitÃ© Paris-Sorbonne (Paris IV),32.4,31.2,,,1.2,0.037037037,0.0013717421,,0.037037037
Sun Yat-sen University,32.2,43,,,-10.8,-0.3354037267,0.1124956599,,0.3354037267
BogaziÃ§i Ãœniversitesi,31.7,30.5,,,1.2,0.0378548896,0.0014329927,,0.0378548896
Universiti Putra Malaysia (UPM),31.3,44.5,,,-13.2,-0.4217252396,0.1778521777,,0.4217252396
The Rockefeller University,31.2,69.1,,,-37.9,-1.2147435897,1.4756019888,,1.2147435897
Politecnico di Milano,31.1,38.2,,,-7.1,-0.2282958199,0.0521189814,,0.2282958199
UniversitÃ© de Cergy-Pontoise,30.2,32.9,,,-2.7,-0.0894039735,0.0079930705,,0.0894039735
"University of Maryland, College Park",30,31.2,,,-1.2,-0.04,0.0016,,0.04
University of Trento,29.5,45.5,,,-16,-0.5423728814,0.2941683424,,0.5423728814
University of South Carolina,29.1,37,,,-7.9,-0.2714776632,0.0737001216,,0.2714776632
Lebanese American University,29,69,,,-40,-1.3793103448,1.9024970273,,1.3793103448
Universidad San Francisco de Quito (USFQ),28.2,53.6,,,-25.4,-0.9007092199,0.8112770987,,0.9007092199
Umea University,27.5,35.1,,,-7.6,-0.2763636364,0.0763768595,,0.2763636364
Universidad de Buenos Aires (UBA),27.2,30.4,,,-3.2,-0.1176470588,0.0138408304,,0.1176470588
Universidad Adolfo IbÃ Ã±ez,26.9,44.3,,,-17.4,-0.6468401487,0.418402178,,0.6468401487
"University of California, Los Angeles (UCLA)",26.7,57.4,,,-30.7,-1.1498127341,1.3220693235,,1.1498127341
Stellenbosch University,26.7,57,,,-30.3,-1.1348314607,1.2878424441,,1.1348314607
Brown University,23.8,49.4,,,-25.6,-1.0756302521,1.1569804392,,1.0756302521
Tongji University,23.1,48.9,,,-25.8,-1.1168831169,1.2474278968,,1.1168831169
Case Western Reserve University,21.9,36.5,,,-14.6,-0.6666666667,0.4444444444,,0.6666666667
Universidad Carlos III de Madrid (UC3M),20.4,36.6,,,-16.2,-0.7941176471,0.6306228374,,0.7941176471
Technische UniversitÃ¤t Dresden,18.4,30.7,,,-12.3,-0.6684782609,0.4468631853,,0.6684782609
Emory University,17.5,45,,,-27.5,-1.5714285714,2.4693877551,,1.5714285714
Columbia University,15.6,33,,,-17.4,-1.1153846154,1.2440828402,,1.1153846154
University of Southern California,14.1,34.8,,,-20.7,-1.4680851064,2.1552738796,,1.4680851064
Northeastern University,10.2,35.7,,,-25.5,-2.5,6.25,,2.5
North Carolina State University,5.9,33.8,,,-27.9,-4.7288135593,22.3616776788,,4.7288135593
"University of California, San Diego (UCSD)",2.1,31.3,,,-29.2,-13.9047619048,193.3424036281,,13.9047619048
Universidade Federal do Rio Grande Do Sul,0,100,,,-100,,,,
American University in Dubai,0,100,,,-100,,,,
King Abdullah University of Science & Technology,0,100,,,-100,,,,
Lincoln University,0,81.7,,,-81.7,,,,
BI Norwegian Business School,0,78.2,,,-78.2,,,,
Edith Cowan University,0,53.3,,,-53.3,,,,
Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico (ITAM),0,49.6,,,-49.6,,,,
EBS Business School,0,47.9,,,-47.9,,,,
Universidad del Rosario,0,46,,,-46,,,,
University of Southern Queensland,0,46,,,-46,,,,
Copenhagen Business School,0,43,,,-43,,,,
University of Huddersfield,0,36.4,,,-36.4,,,,
Universidad Peruana Cayetano Heredia (UPCH),0,35.5,,,-35.5,,,,
"Rutgers - The State University of New Jersey, Newark",0,33,,,-33,,,,
University of Jordan,0,32.5,,,-32.5,,,,
Universidad de Talca,0,31.6,,,-31.6,,,,
,,,,,,,244.604590706,,62.6640076173
,,,,,,,0.6453946984,,0.1653403895
,,,,,,,0.8033646111,,
