University,Academic Reputation-14,Academic Reputation-15,Academic Reputation-14,Academic Reputation-15,B2-C2,D2/B2,E2^2,,ABS
Zhejiang University,78.3,80.2,,,-1.9,-0.024265645,0.0005888215,,0.024265645
Brown University,78.2,81.9,,,-3.7,-0.047314578,0.0022386693,,0.047314578
Nagoya University,78.1,73.7,,,4.4,0.0563380282,0.0031739734,,0.0563380282
Georgia Institute of Technology,77.4,81.8,,,-4.4,-0.0568475452,0.0032316434,,0.0568475452
Durham University,77.4,75.4,,,2,0.0258397933,0.0006676949,,0.0258397933
Nanjing University,77.3,76.7,,,0.6,0.0077619664,6.02481218484782E-005,,0.0077619664
The Ohio State University,77.1,82,,,-4.9,-0.0635538262,0.0040390888,,0.0635538262
Korea University,77.1,78.4,,,-1.3,-0.0168612192,0.0002843007,,0.0168612192
Albert-Ludwigs-Universitaet Freiburg,77.1,74.1,,,3,0.0389105058,0.0015140275,,0.0389105058
Boston University,77,78.5,,,-1.5,-0.0194805195,0.0003794906,,0.0194805195
The University of Adelaide,76.8,75.2,,,1.6,0.0208333333,0.0004340278,,0.0208333333
Chulalongkorn University,75.6,76.3,,,-0.7,-0.0092592593,8.5733882030179E-005,,0.0092592593
Universidade Estadual de Campinas (Unicamp),75.4,75.1,,,0.3,0.0039787798,1.5830689021946E-005,,0.0039787798
RWTH Aachen University,75.3,78.5,,,-3.2,-0.0424966799,0.0018059678,,0.0424966799
Universidad AutÃ³noma de Madrid,75.2,72.5,,,2.7,0.0359042553,0.0012891156,,0.0359042553
UniversitÃ© Catholique de Louvain (UCL),75,76.5,,,-1.5,-0.02,0.0004,,0.02
UniversitÃ© de Strasbourg,74.6,72.3,,,2.3,0.0308310992,0.0009505567,,0.0308310992
Ecole Polytechnique,74.5,73.5,,,1,0.0134228188,0.0001801721,,0.0134228188
Georg-August-University Goettingen,73.8,74.2,,,-0.4,-0.0054200542,0.000029377,,0.0054200542
University of Southampton,73.8,72.9,,,0.9,0.012195122,0.000148721,,0.012195122
Technische UniversitÃ¤t Berlin (TU Berlin),73.7,70.5,,,3.2,0.0434192673,0.0018852328,,0.0434192673
Waseda University,73.6,73.3,,,0.3,0.004076087,1.66144848771263E-005,,0.004076087
Kyushu University,73.3,69.3,,,4,0.0545702592,0.0029779132,,0.0545702592
Texas A&M University,73.2,76.3,,,-3.1,-0.0423497268,0.0017934994,,0.0423497268
UniversitÃ© Pierre et Marie Curie (UPMC),73,72.3,,,0.7,0.0095890411,9.19497091386759E-005,,0.0095890411
Hokkaido University,71.5,69.8,,,1.7,0.0237762238,0.0005653088,,0.0237762238
University of Oslo,71.3,71.5,,,-0.2,-0.0028050491,7.86830038810414E-006,,0.0028050491
University of York,71.3,67.7,,,3.6,0.0504908836,0.0025493293,,0.0504908836
"University of California, San Francisco",71.2,72.4,,,-1.2,-0.0168539326,0.000284055,,0.0168539326
UniversitÃ¤t Hamburg,70.9,68.9,,,2,0.0282087447,0.0007957333,,0.0282087447
Keio University,70.6,65.8,,,4.8,0.0679886686,0.0046224591,,0.0679886686
University of Cape Town,70.5,68.9,,,1.6,0.0226950355,0.0005150646,,0.0226950355
"University of Maryland, College Park",70.2,70,,,0.2,0.0028490028,8.11681723362658E-006,,0.0028490028
UniversitÃ  di Padova,69.8,64.3,,,5.5,0.0787965616,0.0062088981,,0.0787965616
University of St Andrews,69,65.9,,,3.1,0.0449275362,0.0020184835,,0.0449275362
Vrije Universiteit Amsterdam,68.9,64.3,,,4.6,0.0667634253,0.004457355,,0.0667634253
University of Groningen,68.6,69.1,,,-0.5,-0.0072886297,5.3124123451963E-005,,0.0072886297
The Hebrew University of Jerusalem,68.6,66.9,,,1.7,0.0247813411,0.0006141149,,0.0247813411
Universidade Federal do Rio de Janeiro,68.5,65.6,,,2.9,0.0423357664,0.0017923171,,0.0423357664
University of Geneva,68.1,69.8,,,-1.7,-0.0249632893,0.0006231658,,0.0249632893
UniversitÃ© Paris Diderot - Paris 7,68.1,65.8,,,2.3,0.033773862,0.0011406738,,0.033773862
Eberhard Karls UniversitÃ¤t TÃ¼bingen,67.8,64.5,,,3.3,0.0486725664,0.0023690187,,0.0486725664
Ghent University,67.7,71.5,,,-3.8,-0.0561299852,0.0031505752,,0.0561299852
University of Milan,67.6,61.7,,,5.9,0.0872781065,0.0076174679,,0.0872781065
City University of Hong Kong,67.5,72.7,,,-5.2,-0.077037037,0.0059347051,,0.077037037
University of Science and Technology of China,67.5,72.1,,,-4.6,-0.0681481481,0.0046441701,,0.0681481481
Politecnico di Milano,67.4,64.7,,,2.7,0.0400593472,0.0016047513,,0.0400593472
National Tsing Hua University,66.8,65.2,,,1.6,0.0239520958,0.0005737029,,0.0239520958
University of Southern California,66.2,70.4,,,-4.2,-0.0634441088,0.0040251549,,0.0634441088
Indian Institute of Technology Bombay (IITB),66,62.3,66,62.3,3.7,0.0560606061,0.0031427916,,0.0560606061
McMaster University,65.8,61.7,,,4.1,0.0623100304,0.0038825399,,0.0623100304
University of Pisa,65.5,59.4,,,6.1,0.093129771,0.0086731542,,0.093129771
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,65.2,67.1,,,-1.9,-0.0291411043,0.000849204,,0.0291411043
"University of California, Irvine",65.1,63.3,,,1.8,0.0276497696,0.0007645098,,0.0276497696
Universidad Nacional de Colombia,65,71.2,,,-6.2,-0.0953846154,0.0090982249,,0.0953846154
Queen Mary University of London,64.6,63.4,,,1.2,0.0185758514,0.0003450623,,0.0185758514
Universiti Malaya (UM),64.4,62,,,2.4,0.0372670807,0.0013888353,,0.0372670807
University of Waterloo,64.4,61,,,3.4,0.0527950311,0.0027873153,,0.0527950311
Universidad de los Andes,64.3,65.5,,,-1.2,-0.0186625194,0.0003482896,,0.0186625194
KTH Royal Institute of Technology,63.8,64.1,,,-0.3,-0.0047021944,2.21106317744515E-005,,0.0047021944
Cardiff University,63.8,63.8,,,0,0,0,,0
Michigan State University,63.5,69.8,,,-6.3,-0.0992125984,0.0098431397,,0.0992125984
UniversitÃ¤t Frankfurt am Main,63.1,64.7,,,-1.6,-0.0253565769,0.000642956,,0.0253565769
Sungkyunkwan University (SKKU),62.9,68.9,,,-6,-0.0953895072,0.0090991581,,0.0953895072
The Hong Kong Polytechnic University,62.8,69.1,,,-6.3,-0.1003184713,0.0100637957,,0.1003184713
"KIT, Karlsruhe Institute of Technology",62.5,64,,,-1.5,-0.024,0.000576,,0.024
University of Otago,62.3,62.7,,,-0.4,-0.0064205457,4.12234076814679E-005,,0.0064205457
Karolinska Institutet,62.2,60.5,,,1.7,0.0273311897,0.0007469939,,0.0273311897
University College Dublin,61.5,62.2,,,-0.7,-0.0113821138,0.0001295525,,0.0113821138
University of Calgary,61.3,54.9,,,6.4,0.1044045677,0.0109003138,,0.1044045677
Lancaster University,61.2,59.1,,,2.1,0.0343137255,0.0011774318,,0.0343137255
Washington University in St. Louis,60.7,60.4,,,0.3,0.0049423394,2.44267184874983E-005,,0.0049423394
Charles University in Prague,60.7,57.9,,,2.8,0.0461285008,0.0021278386,,0.0461285008
Queen's University at Kingston,60.4,53.8,,,6.6,0.1092715232,0.0119402658,,0.1092715232
Tel Aviv University,60.2,58,,,2.2,0.0365448505,0.0013355261,,0.0365448505
Beijing Normal University,59.9,56.4,,,3.5,0.0584307179,0.0034141488,,0.0584307179
Indiana University Bloomington,59.5,61.6,,,-2.1,-0.0352941176,0.0012456747,,0.0352941176
Ã‰cole Normale SupÃ©rieure de Lyon,59.5,58.3,,,1.2,0.0201680672,0.0004067509,,0.0201680672
University of Gothenburg,59.5,52.8,,,6.7,0.112605042,0.0126798955,,0.112605042
Pohang University of Science And Technology (POSTECH),59.4,56.1,,,3.3,0.0555555556,0.0030864198,,0.0555555556
University of Liverpool,58.9,55.1,,,3.8,0.064516129,0.0041623309,,0.064516129
University of Florida,58.8,65.3,,,-6.5,-0.1105442177,0.0122200241,,0.1105442177
Erasmus University Rotterdam,58.8,55.1,,,3.7,0.0629251701,0.003959577,,0.0629251701
University of Tsukuba,57.9,52.1,,,5.8,0.1001727116,0.0100345721,,0.1001727116
University of Lausanne,57.3,53.2,,,4.1,0.0715532286,0.0051198645,,0.0715532286
University of Delhi,57.3,50.5,,,6.8,0.1186736475,0.0140834346,,0.1186736475
The University of Western Ontario,56.9,50.3,,,6.6,0.1159929701,0.0134543691,,0.1159929701
Indian Institute of Technology Delhi (IITD),56.8,55.3,56.8,55.3,1.5,0.0264084507,0.0006974063,,0.0264084507
The University of Exeter,56.7,52,,,4.7,0.0828924162,0.0068711527,,0.0828924162
Queen's University Belfast,56.7,49.9,,,6.8,0.1199294533,0.0143830738,,0.1199294533
National Cheng Kung University (NCKU),56.6,49.7,,,6.9,0.1219081272,0.0148615915,,0.1219081272
UniversitÃ© Joseph Fourier - Grenoble 1,56.5,52.9,,,3.6,0.0637168142,0.0040598324,,0.0637168142
University of Aberdeen,56.3,53.6,,,2.7,0.0479573712,0.0022999095,,0.0479573712
University of Porto,56.2,49.3,,,6.9,0.1227758007,0.0150738972,,0.1227758007
Aix-Marseille University,56.1,58.3,,,-2.2,-0.0392156863,0.00153787,,0.0392156863
University of Florence,55.9,53.3,,,2.6,0.0465116279,0.0021633315,,0.0465116279
Arizona State University,55.8,60.3,,,-4.5,-0.0806451613,0.006503642,,0.0806451613
University of Basel,55.8,54.5,,,1.3,0.023297491,0.0005427731,,0.023297491
The University of Arizona,55.7,61,,,-5.3,-0.0951526032,0.0090540179,,0.0951526032
Saint-Petersburg State University,55.7,49.3,,,6.4,0.1149012567,0.0132022988,,0.1149012567
Universite libre de Bruxelles,55.3,56.4,,,-1.1,-0.0198915009,0.0003956718,,0.0198915009
Universiti Sains Malaysia (USM),55.3,50.2,,,5.1,0.0922242315,0.0085053089,,0.0922242315
"University of Illinois, Chicago (UIC)",55.2,59,,,-3.8,-0.0688405797,0.0047390254,,0.0688405797
Pontificia Universidad Javeriana,55.2,49.7,,,5.5,0.0996376812,0.0099276675,,0.0996376812
University of Pittsburgh,55.1,58.2,,,-3.1,-0.056261343,0.0031653387,,0.056261343
University of Virginia,54.7,53.7,,,1,0.0182815356,0.0003342145,,0.0182815356
Technion - Israel Institute of Technology,54.6,54.2,,,0.4,0.0073260073,5.36703833407126E-005,,0.0073260073
Universidad Nacional de La Plata (UNLP),54.4,49.8,,,4.6,0.0845588235,0.0071501946,,0.0845588235
University of Colorado Boulder,54.3,56,,,-1.7,-0.0313075506,0.0009801627,,0.0313075506
University of the Philippines,54,47,,,7,0.1296296296,0.0168038409,,0.1296296296
Universidad Nacional de CÃ³rdoba - UNC,53.2,46,,,7.2,0.1353383459,0.0183164679,,0.1353383459
Newcastle University,53,49.6,,,3.4,0.0641509434,0.0041153435,,0.0641509434
University of Warsaw,52.7,50.9,,,1.8,0.0341555977,0.0011666049,,0.0341555977
Mahidol University,52.6,49.1,,,3.5,0.066539924,0.0044275615,,0.066539924
University of Sussex,52.6,48.4,,,4.2,0.0798479087,0.0063756885,,0.0798479087
"University of Rome ""Tor Vergata""",52.5,47.1,,,5.4,0.1028571429,0.0105795918,,0.1028571429
Universiti Kebangsaan Malaysia (UKM),52.1,49,,,3.1,0.0595009597,0.0035403642,,0.0595009597
Wuhan University,52,49.9,,,2.1,0.0403846154,0.0016309172,,0.0403846154
Indian Institute of Technology Kanpur (IITK),52,45.4,52,45.4,6.6,0.1269230769,0.0161094675,,0.1269230769
Universitas Indonesia,51.3,50.5,,,0.8,0.0155945419,0.0002431897,,0.0155945419
University of Cologne,51,52.3,,,-1.3,-0.0254901961,0.0006497501,,0.0254901961
University of Coimbra,51,44,,,7,0.137254902,0.0188389081,,0.137254902
Wageningen University,50.9,55.6,,,-4.7,-0.0923379175,0.008526291,,0.0923379175
University of Ottawa,50.8,46.7,,,4.1,0.0807086614,0.006513888,,0.0807086614
Sun Yat-sen University,50.7,45.3,,,5.4,0.1065088757,0.0113441406,,0.1065088757
Aalto University,50.6,50.5,,,0.1,0.0019762846,3.90570076083062E-006,,0.0019762846
Jawaharlal Nehru University,50.6,43.3,,,7.3,0.1442687747,0.0208134794,,0.1442687747
Rutgers University - New Brunswick,50.4,52.7,,,-2.3,-0.0456349206,0.002082546,,0.0456349206
Eindhoven University of Technology,50.2,50.5,,,-0.3,-0.0059760956,3.57137188298592E-005,,0.0059760956
University of Bath,50,51.3,,,-1.3,-0.026,0.000676,,0.026
Georgetown University,50,49.8,,,0.2,0.004,0.000016,,0.004
Universidad de Santiago de Chile (USACH),49.3,51,,,-1.7,-0.0344827586,0.0011890606,,0.0344827586
City University of New York,49.3,48,,,1.3,0.0263691684,0.000695333,,0.0263691684
Vanderbilt University,49.3,46.6,,,2.7,0.0547667343,0.0029993952,,0.0547667343
Victoria University of Wellington,49.2,51.2,,,-2,-0.0406504065,0.0016524555,,0.0406504065
Bandung Institute of Technology (ITB),49.1,51.4,,,-2.3,-0.0468431772,0.0021942832,,0.0468431772
Chalmers University of Technology,49.1,48.6,,,0.5,0.0101832994,0.0001036996,,0.0101832994
"The University of Newcastle, Australia (UON)",49.1,43,,,6.1,0.1242362525,0.0154346464,,0.1242362525
Rice University,49,50.5,,,-1.5,-0.0306122449,0.0009371095,,0.0306122449
Radboud University,49,47,,,2,0.0408163265,0.0016659725,,0.0408163265
University of Naples - Federico II,48.9,41.5,,,7.4,0.1513292434,0.0229005399,,0.1513292434
UniversitÃ¤t Konstanz,48.4,42.9,,,5.5,0.1136363636,0.0129132231,,0.1136363636
University of Turku,48.4,41.9,,,6.5,0.1342975207,0.0180358241,,0.1342975207
Pontificia Universidad CatÃ³lica del PerÃº,48,47.9,,,0.1,0.0020833333,4.3402777777779E-006,,0.0020833333
UniversitÃ© Paris-Sud,47.9,46.3,,,1.6,0.0334029228,0.0011157552,,0.0334029228
University of Reading,47.7,51.1,,,-3.4,-0.071278826,0.005080671,,0.071278826
WestfÃ¤lische Wilhelms-Universitat MÃ¼nster,47.7,49.7,,,-2,-0.0419287212,0.0017580177,,0.0419287212
Macquarie University,47.5,48.4,,,-0.9,-0.0189473684,0.0003590028,,0.0189473684
Al-Farabi Kazakh National University,47.5,47.6,,,-0.1,-0.0021052632,4.43213296398905E-006,,0.0021052632
Simon Fraser University,47.3,41.6,,,5.7,0.1205073996,0.0145220334,,0.1205073996
University of Massachusetts Amherst,47.2,53.7,,,-6.5,-0.1377118644,0.0189645576,,0.1377118644
Technische UniversitÃ¤t Dresden,46.7,49.2,,,-2.5,-0.0535331906,0.0028658025,,0.0535331906
University of the Witwatersrand,46.5,41.6,,,4.9,0.1053763441,0.0111041739,,0.1053763441
Technical University of Denmark,46.2,44.1,,,2.1,0.0454545455,0.0020661157,,0.0454545455
UniversitÃ¤t Innsbruck,46.2,43.5,,,2.7,0.0584415584,0.0034154158,,0.0584415584
Queensland University of Technology (QUT),46.1,47.7,,,-1.6,-0.0347071584,0.0012045868,,0.0347071584
University of Granada,45.7,45,,,0.7,0.0153172867,0.0002346193,,0.0153172867
Universiti Putra Malaysia (UPM),45.7,43.5,,,2.2,0.0481400438,0.0023174638,,0.0481400438
UniversitÃ© Claude Bernard Lyon 1,45.7,38.1,,,7.6,0.1663019694,0.027656345,,0.1663019694
Norwegian University of Science And Technology,45.6,43.4,,,2.2,0.048245614,0.0023276393,,0.048245614
Nankai University,45.6,40,,,5.6,0.1228070175,0.0150815636,,0.1228070175
University of Bordeaux,45.5,47.8,,,-2.3,-0.0505494505,0.002555247,,0.0505494505
Politecnico di Torino,45.5,38.8,,,6.7,0.1472527473,0.0216833716,,0.1472527473
University of Turin,45.5,38.2,,,7.3,0.1604395604,0.0257408526,,0.1604395604
University of Bergen,45.4,47.3,,,-1.9,-0.0418502203,0.0017514409,,0.0418502203
Universidade Federal de Minas Gerais,45.3,39.2,,,6.1,0.1346578366,0.018132733,,0.1346578366
National Chiao Tung University,45.1,37.5,,,7.6,0.1685144124,0.0283971072,,0.1685144124
Universidad Carlos III de Madrid (UC3M),45,41.8,,,3.2,0.0711111111,0.0050567901,,0.0711111111
Middle East Technical University,45,40.6,,,4.4,0.0977777778,0.0095604938,,0.0977777778
Universitat Pompeu Fabra,44.9,42.4,,,2.5,0.0556792873,0.003100183,,0.0556792873
Gadjah Mada University,44.8,46.4,,,-1.6,-0.0357142857,0.0012755102,,0.0357142857
York University,44.7,39.5,,,5.2,0.1163310962,0.0135329239,,0.1163310962
London Business School,44.5,43.2,,,1.3,0.0292134831,0.0008534276,,0.0292134831
University of Technology Sydney,44.3,48.6,,,-4.3,-0.0970654628,0.0094217041,,0.0970654628
Jagiellonian University,44.3,41.3,,,3,0.0677200903,0.0045860106,,0.0677200903
Universidade Federal do Rio Grande Do Sul,44.3,38.8,,,5.5,0.1241534989,0.0154140913,,0.1241534989
Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey,44,43.6,,,0.4,0.0090909091,8.2644628099173E-005,,0.0090909091
University of Lisbon,43.8,47,,,-3.2,-0.0730593607,0.0053376702,,0.0730593607
UniversitÃ¤t  Leipzig,43.8,41,,,2.8,0.0639269406,0.0040866537,,0.0639269406
Stellenbosch University,43.8,39.9,,,3.9,0.0890410959,0.0079283168,,0.0890410959
Emory University,43.7,41.8,,,1.9,0.0434782609,0.0018903592,,0.0434782609
Kobe University,43.7,38.4,,,5.3,0.1212814645,0.0147091936,,0.1212814645
University of Antwerp,43.6,43.4,,,0.2,0.004587156,0.000021042,,0.004587156
Universidad de Sevilla,43.6,41.4,,,2.2,0.0504587156,0.002546082,,0.0504587156
Vienna University of Technology,43.4,47.2,,,-3.8,-0.0875576037,0.007666334,,0.0875576037
Aristotle University of Thessaloniki,43.4,41.5,,,1.9,0.0437788018,0.0019165835,,0.0437788018
Indian Institute of Technology Madras (IITM),43.4,41.4,43.4,41.4,2,0.0460829493,0.0021236382,,0.0460829493
