University,OVERALL SCORE-14,OVERALL SCORE-15,OVERALL SCORE-14,OVERALL SCORE-15,B2-C2,D2/B2,E2^2,,ABS
Ben Gurion University of The Negev,42.1,46.2,,,-4.1,-0.0973871734,0.0094842615,,0.0973871734
University of Porto,42,41.6,,,0.4,0.0095238095,9.07029478458043E-005,,0.0095238095
Tokyo Medical and Dental University (TMDU),41.9,35.7,,,6.2,0.1479713604,0.0218955235,,0.1479713604
Kobe University,41.9,37.5,,,4.4,0.1050119332,0.0110275061,,0.1050119332
Universiti Teknologi Malaysia,41.9,41.9,,,0,0,0,,0
Arizona State University,41.9,47.5,,,-5.6,-0.1336515513,0.0178627372,,0.1336515513
Laval University,41.7,40.1,,,1.6,0.0383693046,0.0014722035,,0.0383693046
Universitat Pompeu Fabra,41.7,42.6,,,-0.9,-0.0215827338,0.0004658144,,0.0215827338
Johannes Gutenberg UniversitÃ¤t Mainz,41.6,36.5,,,5.1,0.1225961538,0.0150298169,,0.1225961538
University at Buffalo SUNY,41.6,39.2,,,2.4,0.0576923077,0.0033284024,,0.0576923077
George Washington University,41.6,40,,,1.6,0.0384615385,0.0014792899,,0.0384615385
Indian Institute of Technology Kanpur (IITK),41.6,45,41.6,45,-3.4,-0.0817307692,0.0066799186,,0.0817307692
RMIT University,41.5,44.9,,,-3.4,-0.0819277108,0.0067121498,,0.0819277108
University of Cologne,41.3,39.7,,,1.6,0.0387409201,0.0015008589,,0.0387409201
Al-Farabi Kazakh National University,41.3,44.8,,,-3.5,-0.0847457627,0.0071818443,,0.0847457627
University of Southern Denmark,41.1,37.5,,,3.6,0.0875912409,0.0076722255,,0.0875912409
Universiti Sains Malaysia (USM),41,43.4,,,-2.4,-0.0585365854,0.0034265318,,0.0585365854
Universitas Indonesia,40.9,37.7,,,3.2,0.0782396088,0.0061214364,,0.0782396088
UniversitÃ¤t Konstanz,40.9,40.4,,,0.5,0.0122249389,0.0001494491,,0.0122249389
Universidade Nova de Lisboa,40.8,38.2,,,2.6,0.0637254902,0.0040609381,,0.0637254902
University of Utah,40.7,36.9,,,3.8,0.0933660934,0.0087172274,,0.0933660934
Hiroshima University,40.5,38.5,,,2,0.049382716,0.0024386526,,0.049382716
University of Surrey,40.5,47.6,,,-7.1,-0.175308642,0.03073312,,0.175308642
Brandeis University,40.4,36.1,,,4.3,0.1064356436,0.0113285462,,0.1064356436
Universidad Nacional de Colombia,40.4,43.1,,,-2.7,-0.0668316832,0.0044664739,,0.0668316832
University of the Witwatersrand,40.3,39.7,,,0.6,0.0148883375,0.0002216626,,0.0148883375
University of JyvÃ¤skylÃ¤,40.3,40.4,,,-0.1,-0.0024813896,6.15729423861996E-006,,0.0024813896
Hong Kong Baptist University,40.3,44.3,,,-4,-0.0992555831,0.0098516708,,0.0992555831
Sun Yat-sen University,40.2,41.7,,,-1.5,-0.0373134328,0.0013922923,,0.0373134328
Bauman Moscow State Technical University,40.1,39.2,,,0.9,0.0224438903,0.0005037282,,0.0224438903
Indian Institute of Technology Madras (IITM),40.1,46.6,40.1,46.6,-6.5,-0.1620947631,0.0262747122,,0.1620947631
L.N. Gumilyov Eurasian National University (ENU),40,36.8,,,3.2,0.08,0.0064,,0.08
Griffith University,40,39.9,,,0.1,0.0025,0.00000625,,0.0025
University of Hawai'i at MaÃ±oa,40,40,,,0,0,0,,0
Indian Institute of Technology Kharagpur (IIT-KGP),40,43.7,40,43.7,-3.7,-0.0925,0.00855625,,0.0925
UniversitÃ¤t Mannheim,39.9,35.5,,,4.4,0.1102756892,0.0121607276,,0.1102756892
Novosibirsk State University,39.9,41,,,-1.1,-0.0275689223,0.0007600455,,0.0275689223
Nankai University,39.9,44.7,,,-4.8,-0.1203007519,0.0144722709,,0.1203007519
Curtin University,39.8,43.8,,,-4,-0.1005025126,0.010100755,,0.1005025126
SOAS University of London,39.8,44.8,,,-5,-0.1256281407,0.0157824297,,0.1256281407
University of South Australia,39.7,43.6,,,-3.9,-0.0982367758,0.0096504641,,0.0982367758
King Abdulaziz University (KAU),39.6,41.9,,,-2.3,-0.0580808081,0.0033733803,,0.0580808081
University of Warsaw,39.5,39,,,0.5,0.0126582278,0.0001602307,,0.0126582278
Wuhan University,39.5,44.9,,,-5.4,-0.1367088608,0.0186893126,,0.1367088608
Universitat PolitÃ¨cnica de Catalunya,39.3,42.5,,,-3.2,-0.0814249364,0.0066300203,,0.0814249364
Ecole Normale SupÃ©rieure de Cachan,39.2,42.8,,,-3.6,-0.0918367347,0.0084339858,,0.0918367347
Aix-Marseille University,39.1,37.5,,,1.6,0.0409207161,0.001674505,,0.0409207161
"City, University of London",39.1,42.4,,,-3.3,-0.084398977,0.0071231873,,0.084398977
Boston College,39.1,44.2,,,-5.1,-0.1304347826,0.0170132325,,0.1304347826
Massey University,38.9,39.4,,,-0.5,-0.0128534704,0.0001652117,,0.0128534704
Iowa State University,38.5,37.9,,,0.6,0.0155844156,0.000242874,,0.0155844156
UniversitÃ¤t Bremen,38.5,38.2,,,0.3,0.0077922078,6.07185022769427E-005,,0.0077922078
James Cook University,38.4,35.9,,,2.5,0.0651041667,0.0042385525,,0.0651041667
University of Coimbra,38.3,37.1,,,1.2,0.0313315927,0.0009816687,,0.0313315927
"Stony Brook University, State University of New York",38.1,36.7,,,1.4,0.0367454068,0.0013502249,,0.0367454068
Heriot-Watt University,38.1,40.5,,,-2.4,-0.062992126,0.0039680079,,0.062992126
Ewha Womans University,38,38,,,0,0,0,,0
Virginia Polytechnic Institute and State University,38,39.2,,,-1.2,-0.0315789474,0.0009972299,,0.0315789474
Brunel University London,38,39.7,,,-1.7,-0.0447368421,0.002001385,,0.0447368421
Universidad Carlos III de Madrid (UC3M),38,41.1,,,-3.1,-0.0815789474,0.0066551247,,0.0815789474
Rensselaer Polytechnic Institute,37.7,38.5,,,-0.8,-0.0212201592,0.0004502952,,0.0212201592
The American University in Cairo,37.5,38.9,,,-1.4,-0.0373333333,0.0013937778,,0.0373333333
Deakin University,37.5,40.1,,,-2.6,-0.0693333333,0.0048071111,,0.0693333333
Tampere University of Technology,37.4,37.8,,,-0.4,-0.0106951872,0.000114387,,0.0106951872
Aalborg University,37.3,37.8,,,-0.5,-0.0134048257,0.0001796894,,0.0134048257
Politecnico di Torino,37.1,41.1,,,-4,-0.1078167116,0.0116244433,,0.1078167116
Dublin City University,37,38.1,,,-1.1,-0.0297297297,0.0008838568,,0.0297297297
UniversitÃ© Paris Dauphine,36.9,36.9,,,0,0,0,,0
Tilburg University,36.9,42.8,,,-5.9,-0.1598915989,0.0255653234,,0.1598915989
University of Essex,36.8,41.9,,,-5.1,-0.1385869565,0.0192063445,,0.1385869565
University of Kansas,36.6,35.6,,,1,0.0273224044,0.0007465138,,0.0273224044
National Taiwan University of Science and Technology (Taiwan Tech),36.6,46.1,,,-9.5,-0.2595628415,0.0673728687,,0.2595628415
Universiti Putra Malaysia (UPM),36.4,39.7,,,-3.3,-0.0906593407,0.008219116,,0.0906593407
University of Tartu,36.1,35,,,1.1,0.0304709141,0.0009284766,,0.0304709141
Washington State University,36.1,37.5,,,-1.4,-0.0387811634,0.0015039786,,0.0387811634
Xiâ€™an Jiaotong University,36.1,39.7,,,-3.6,-0.0997229917,0.0099446751,,0.0997229917
Oxford Brookes University,36.1,40.1,,,-4,-0.1108033241,0.0122773766,,0.1108033241
North Carolina State University,35.8,41.4,,,-5.6,-0.156424581,0.0244686495,,0.156424581
Aston University,35.6,38.8,,,-3.2,-0.0898876404,0.0080797879,,0.0898876404
Tongji University,35.5,38.9,,,-3.4,-0.0957746479,0.0091727832,,0.0957746479
UniversitÃ¤t Jena,34.8,36.1,,,-1.3,-0.0373563218,0.0013954948,,0.0373563218
Moscow State Institute of International Relations (MGIMO University),34.7,35.1,,,-0.4,-0.0115273775,0.0001328804,,0.0115273775
Bilkent University,34.7,35.5,,,-0.8,-0.023054755,0.0005315217,,0.023054755
Northeastern University,34.7,37.4,,,-2.7,-0.0778097983,0.0060543647,,0.0778097983
University of Tasmania,34.6,36.2,,,-1.6,-0.0462427746,0.0021383942,,0.0462427746
University of Waikato,34.5,39.2,,,-4.7,-0.1362318841,0.0185591262,,0.1362318841
National Central University,34.3,35.1,,,-0.8,-0.0233236152,0.000543991,,0.0233236152
University of Connecticut,34.3,35.8,,,-1.5,-0.0437317784,0.0019124684,,0.0437317784
Institut National des Sciences AppliquÃ©es de Lyon (INSA),34.3,35.9,,,-1.6,-0.0466472303,0.0021759641,,0.0466472303
La Trobe University,34,35.5,,,-1.5,-0.0441176471,0.0019463668,,0.0441176471
Pontificia Universidad CatÃ³lica Argentina Santa MarÃ­a de los Buenos Aires (UCA),34,38.4,,,-4.4,-0.1294117647,0.0167474048,,0.1294117647
National Taiwan Normal University,33.4,36.4,,,-3,-0.0898203593,0.0080676969,,0.0898203593
Lincoln University,33.2,36.6,,,-3.4,-0.1024096386,0.0104877341,,0.1024096386
Leibniz UniversitÃ¤t Hannover,33.1,37.2,,,-4.1,-0.1238670695,0.0153430509,,0.1238670695
University of St.Gallen (HSG),32.9,39.9,,,-7,-0.2127659574,0.0452693526,,0.2127659574
National Sun Yat-sen University,32.6,36.2,,,-3.6,-0.1104294479,0.012194663,,0.1104294479
"Birkbeck, University of London",32.4,43.1,,,-10.7,-0.3302469136,0.1090630239,,0.3302469136
American University,32.2,36.6,,,-4.4,-0.1366459627,0.0186721191,,0.1366459627
UniversitÃ© Paul Sabatier Toulouse III,31.9,35.1,,,-3.2,-0.1003134796,0.0100627942,,0.1003134796
National Technical University of Athens,31.7,36.4,,,-4.7,-0.1482649842,0.0219825055,,0.1482649842
University of Kent,31.6,37.6,,,-6,-0.1898734177,0.0360519148,,0.1898734177
Beihang University (former BUAA),31.3,36.1,,,-4.8,-0.1533546326,0.0235176433,,0.1533546326
Indian Institute of Technology Roorkee (IITR),31,35.7,31,35.7,-4.7,-0.1516129032,0.0229864724,,0.1516129032
Swansea University,30.8,35,,,-4.2,-0.1363636364,0.0185950413,,0.1363636364
Harbin Institute of Technology,30,43,,,-13,-0.4333333333,0.1877777778,,0.4333333333
,,,,,,,,,
,,,,,,,,,
,,,,,,SUM,2.3882329295,,22.8959795187
,,,,,,SUM/N,0.0060308912,V (ABS),0.0578181301
,,,,,,V,0.077658813,,
