University,PCP-16,PCP-17,,,,,,,
Charles University in Prague,21.9,19.6,,,2.3,0.1050228311,0.011029795,,0.1050228311
Victoria University of Wellington,20.7,19.6,,,1.1,0.0531400966,0.0028238699,,0.0531400966
Aix Marseille University,30.1,19.5,,,10.6,0.3521594684,0.1240162912,,0.3521594684
RMIT University,18.5,19.5,,,-1,-0.0540540541,0.0029218408,,0.0540540541
National Taiwan University,19.8,19.4,,,0.4,0.0202020202,0.0004081216,,0.0202020202
University of South Florida,19.5,19.4,,,0.1,0.0051282051,2.62984878369501E-005,,0.0051282051
University at Albany (State University of New York),18.8,19.4,,,-0.6,-0.0319148936,0.0010185604,,0.0319148936
University of Bordeaux,17.3,19.4,,,-2.1,-0.1213872832,0.0147348725,,0.1213872832
North Carolina State University - Raleigh,21.2,19.3,,,1.9,0.0896226415,0.0080322179,,0.0896226415
Sun Yat-sen University,19.1,19.3,,,-0.2,-0.0104712042,0.0001096461,,0.0104712042
The Ohio State University - Columbus,18.8,19.3,,,-0.5,-0.0265957447,0.0007073336,,0.0265957447
George Mason University,19.3,19.2,,,0.1,0.0051813472,2.68463582914985E-005,,0.0051813472
Iowa State University,19,19.2,,,-0.2,-0.0105263158,0.0001108033,,0.0105263158
Texas A&M University,18.4,19.2,,,-0.8,-0.0434782609,0.0018903592,,0.0434782609
University of Bologna,18.1,19.2,,,-1.1,-0.0607734807,0.003693416,,0.0607734807
University of Florence,20.3,19.1,,,1.2,0.0591133005,0.0034943823,,0.0591133005
Lanzhou University,19.2,19.1,,,0.1,0.0052083333,2.712673611111E-005,,0.0052083333
Colorado State University,18.4,19.1,,,-0.7,-0.0380434783,0.0014473062,,0.0380434783
South China University of Technology,17.9,19.1,,,-1.2,-0.0670391061,0.0044942418,,0.0670391061
Sapienza University of Rome,20.2,19,,,1.2,0.0594059406,0.0035290658,,0.0594059406
City University of New York City College,18.8,19,,,-0.2,-0.0106382979,0.0001131734,,0.0106382979
University of Virginia,18.5,18.9,,,-0.4,-0.0216216216,0.0004674945,,0.0216216216
Brunel University,18.4,18.9,,,-0.5,-0.027173913,0.0007384216,,0.027173913
Istanbul University,18.4,18.9,,,-0.5,-0.027173913,0.0007384216,,0.027173913
Simon Fraser University,19.1,18.8,,,0.3,0.0157068063,0.0002467038,,0.0157068063
University of Illinois at Chicago,17.8,18.8,,,-1,-0.0561797753,0.0031561672,,0.0561797753
Queen's University Belfast,18.5,18.7,,,-0.2,-0.0108108108,0.0001168736,,0.0108108108
Autonomous University of Madrid,18.4,18.7,,,-0.3,-0.0163043478,0.0002658318,,0.0163043478
University of Chile,17.8,18.7,,,-0.9,-0.0505617978,0.0025564954,,0.0505617978
Federal University of Minas Gerais,19.5,18.6,,,0.9,0.0461538462,0.0021301775,,0.0461538462
Kyushu University,18.2,18.6,,,-0.4,-0.021978022,0.0004830335,,0.021978022
The George Washington University,18.1,18.6,,,-0.5,-0.0276243094,0.0007631025,,0.0276243094
Jagiellonian University,18.1,18.6,,,-0.5,-0.0276243094,0.0007631025,,0.0276243094
Tokyo University of Science,18.1,18.6,,,-0.5,-0.0276243094,0.0007631025,,0.0276243094
University of North Texas,17.9,18.6,,,-0.7,-0.0391061453,0.0015292906,,0.0391061453
"Rutgers, The State University of New Jersey - New Brunswick",17.3,18.6,,,-1.3,-0.0751445087,0.0056466972,,0.0751445087
Dalhousie University,18.5,18.5,,,0,0,0,,0
Huazhong University of Science and Technology,18.4,18.5,,,-0.1,-0.0054347826,2.95368620037816E-005,,0.0054347826
Cairo University,17.7,18.5,,,-0.8,-0.0451977401,0.0020428357,,0.0451977401
Umea University,17.5,18.5,,,-1,-0.0571428571,0.0032653061,,0.0571428571
King Fahd University of Petroleum & Minerals,19,18.4,,,0.6,0.0315789474,0.0009972299,,0.0315789474
The University of Texas Medical Branch at Galveston,18,18.4,,,-0.4,-0.0222222222,0.0004938272,,0.0222222222
Southeast University,17.9,18.4,,,-0.5,-0.0279329609,0.0007802503,,0.0279329609
University of Warsaw,16.7,18.4,,,-1.7,-0.1017964072,0.0103625085,,0.1017964072
"University of Maryland, Baltimore",16.6,18.4,,,-1.8,-0.1084337349,0.0117578749,,0.1084337349
The University of Georgia,18,18.3,,,-0.3,-0.0166666667,0.0002777778,,0.0166666667
King Saud University,17.4,18.3,,,-0.9,-0.0517241379,0.0026753864,,0.0517241379
Central South University,17.4,18.3,,,-0.9,-0.0517241379,0.0026753864,,0.0517241379
Louisiana State University - Baton Rouge,17.4,18.3,,,-0.9,-0.0517241379,0.0026753864,,0.0517241379
East China University of Science and Technology,17,18.2,,,-1.2,-0.0705882353,0.004982699,,0.0705882353
University of Naples Federico II,18,18.1,,,-0.1,-0.0055555556,3.08641975308651E-005,,0.0055555556
Paul Sabatier University (Toulouse 3),14.7,18.1,,,-3.4,-0.231292517,0.0534962284,,0.231292517
King Abdulaziz University,18.1,18,,,0.1,0.0055248619,3.05240987759845E-005,,0.0055248619
University of Montana - Missoula,18,18,,,0,0,0,,0
Beihang University,17.5,18,,,-0.5,-0.0285714286,0.0008163265,,0.0285714286
University of Montpellier,14.8,18,,,-3.2,-0.2162162162,0.0467494522,,0.2162162162
Hannover Medical School,18.1,17.9,,,0.2,0.0110497238,0.0001220964,,0.0110497238
Aalto University,18,17.9,,,0.1,0.0055555556,3.08641975308651E-005,,0.0055555556
Beijing Normal University,17.4,17.9,,,-0.5,-0.0287356322,0.0008257366,,0.0287356322
Tongji University,17.3,17.9,,,-0.6,-0.0346820809,0.0012028467,,0.0346820809
University of Turku,17.2,17.9,,,-0.7,-0.0406976744,0.0016563007,,0.0406976744
University of Electronic Science and Technology of China,15.4,17.9,,,-2.5,-0.1623376623,0.0263535166,,0.1623376623
University of Wyoming,17.8,17.8,,,0,0,0,,0
Hunan University,16.1,17.8,,,-1.7,-0.1055900621,0.0111492612,,0.1055900621
University of Iowa,17.5,17.7,,,-0.2,-0.0114285714,0.0001306122,,0.0114285714
Aristotle University of Thessaloniki,17.4,17.7,,,-0.3,-0.0172413793,0.0002972652,,0.0172413793
Ben-Gurion University of the Negev,17.3,17.7,,,-0.4,-0.0231213873,0.0005345985,,0.0231213873
Harbin Institute of Technology,17,17.7,,,-0.7,-0.0411764706,0.0016955017,,0.0411764706
Peking Union Medical College,16.9,17.7,,,-0.8,-0.0473372781,0.0022408179,,0.0473372781
Stony Brook University,18.1,17.6,,,0.5,0.0276243094,0.0007631025,,0.0276243094
University of Duesseldorf,16.9,17.6,,,-0.7,-0.0414201183,0.0017156262,,0.0414201183
"University at Buffalo, the State University of New York",16.2,17.6,,,-1.4,-0.0864197531,0.0074683737,,0.0864197531
University of Saskatchewan,16.2,17.6,,,-1.4,-0.0864197531,0.0074683737,,0.0864197531
Dalian University of Technology,17.3,17.5,,,-0.2,-0.0115606936,0.0001336496,,0.0115606936
Amirkabir University of Technology,17.1,17.5,,,-0.4,-0.0233918129,0.0005471769,,0.0233918129
University of Central Florida,16.9,17.5,,,-0.6,-0.0355029586,0.0012604601,,0.0355029586
Rush University,17.9,17.4,,,0.5,0.0279329609,0.0007802503,,0.0279329609
University of Coimbra,17.2,17.4,,,-0.2,-0.011627907,0.0001352082,,0.011627907
Chiba University,17,17.4,,,-0.4,-0.0235294118,0.0005536332,,0.0235294118
Washington State University,16.9,17.4,,,-0.5,-0.0295857988,0.0008753195,,0.0295857988
Sichuan University,16.8,17.4,,,-0.6,-0.0357142857,0.0012755102,,0.0357142857
Stellenbosch University,16.4,17.4,,,-1,-0.0609756098,0.003718025,,0.0609756098
Laval University,17.5,17.3,,,0.2,0.0114285714,0.0001306122,,0.0114285714
Shandong University,17.1,17.3,,,-0.2,-0.0116959064,0.0001367942,,0.0116959064
Virginia Polytechnic Institute and State University,17.1,17.3,,,-0.2,-0.0116959064,0.0001367942,,0.0116959064
University of Manitoba,16.1,17.3,,,-1.2,-0.0745341615,0.0055553412,,0.0745341615
University of South Carolina - Columbia,17.2,17.2,,,0,0,0,,0
University of KwaZulu-Natal,16.7,17.2,,,-0.5,-0.0299401198,0.0008964108,,0.0299401198
University of Stuttgart,15.7,17.2,,,-1.5,-0.0955414013,0.0091281594,,0.0955414013
Boston College,17.4,17.1,,,0.3,0.0172413793,0.0002972652,,0.0172413793
Ocean University of China,16.4,17.1,,,-0.7,-0.0426829268,0.0018218322,,0.0426829268
University of Kentucky,17.1,17,,,0.1,0.0058479532,3.41985568209031E-005,,0.0058479532
University of Tartu,14.7,17,,,-2.3,-0.156462585,0.0244805405,,0.156462585
University of Sao Paulo,16.5,16.9,,,-0.4,-0.0242424242,0.0005876951,,0.0242424242
University of Tsukuba,16.5,16.9,,,-0.4,-0.0242424242,0.0005876951,,0.0242424242
"University of Science, Malaysia",15.4,16.9,,,-1.5,-0.0974025974,0.009487266,,0.0974025974
University of Eastern Finland,17.2,16.8,,,0.4,0.023255814,0.0005408329,,0.023255814
China University of Geosciences (Wuhan),16.8,16.8,,,0,0,0,,0
University of Palermo,17.3,16.7,,,0.6,0.0346820809,0.0012028467,,0.0346820809
Technical University of Berlin,17,16.7,,,0.3,0.0176470588,0.0003114187,,0.0176470588
University of Vermont,15.9,16.7,,,-0.8,-0.0503144654,0.0025315454,,0.0503144654
Florida International University,15.9,16.7,,,-0.8,-0.0503144654,0.0025315454,,0.0503144654
Novosibirsk State University,16.3,16.6,,,-0.3,-0.018404908,0.0003387406,,0.018404908
University of Kansas,15.9,16.5,,,-0.6,-0.0377358491,0.0014239943,,0.0377358491
University of Marburg,16.7,16.4,,,0.3,0.0179640719,0.0003227079,,0.0179640719
University of Bremen,16.7,16.4,,,0.3,0.0179640719,0.0003227079,,0.0179640719
The University of New Mexico - Albuquerque,16.1,16.4,,,-0.3,-0.0186335404,0.0003472088,,0.0186335404
University of Granada,16,16.4,,,-0.4,-0.025,0.000625,,0.025
University of Aveiro,15.8,16.3,,,-0.5,-0.0316455696,0.0010014421,,0.0316455696
Xiamen University,16,16.2,,,-0.2,-0.0125,0.00015625,,0.0125
Oklahoma State University,15.8,16.2,,,-0.4,-0.0253164557,0.0006409229,,0.0253164557
University of Missouri - Columbia,16.4,16,,,0.4,0.0243902439,0.000594884,,0.0243902439
"National University of Ireland, Galway",15.6,16,,,-0.4,-0.0256410256,0.0006574622,,0.0256410256
University of Minho,15.5,16,,,-0.5,-0.0322580645,0.0010405827,,0.0322580645
Kyung Hee University,19.5,15.9,,,3.6,0.1846153846,0.0340828402,,0.1846153846
University of Regensburg,15.5,15.9,,,-0.4,-0.0258064516,0.0006659729,,0.0258064516
University of Cincinnati,16.5,15.8,,,0.7,0.0424242424,0.0017998163,,0.0424242424
University of Alabama at Birmingham,16,15.8,,,0.2,0.0125,0.00015625,,0.0125
University of Oulu,15.3,15.8,,,-0.5,-0.0326797386,0.0010679653,,0.0326797386
Nanjing University of Science and Technology,15.1,15.8,,,-0.7,-0.0463576159,0.0021490286,,0.0463576159
University of Valencia,15,15.7,,,-0.7,-0.0466666667,0.0021777778,,0.0466666667
Virginia Commonwealth University,14.8,15.7,,,-0.9,-0.0608108108,0.0036979547,,0.0608108108
Nankai University,15.5,15.6,,,-0.1,-0.0064516129,4.16233090530694E-005,,0.0064516129
University of Potsdam,15.1,15.6,,,-0.5,-0.0331125828,0.0010964431,,0.0331125828
China Agricultural University,17.8,15.5,,,2.3,0.1292134831,0.0166961242,,0.1292134831
Wayne State University,15.1,15.5,,,-0.4,-0.0264900662,0.0007017236,,0.0264900662
University of Santiago Compostela,14.8,15.5,,,-0.7,-0.0472972973,0.0022370343,,0.0472972973
Wuhan University,14.5,15.5,,,-1,-0.0689655172,0.0047562426,,0.0689655172
Ewha Womans University,17.6,15.3,,,2.3,0.1306818182,0.0170777376,,0.1306818182
The University of Texas Health Science Center at Houston,16.8,15.3,,,1.5,0.0892857143,0.0079719388,,0.0892857143
Polytechnic University of Valencia,16.1,15.3,,,0.8,0.049689441,0.0024690405,,0.049689441
Kobe University,15.6,15.3,,,0.3,0.0192307692,0.0003698225,,0.0192307692
University of the Basque Country,14.4,15.3,,,-0.9,-0.0625,0.00390625,,0.0625
Osaka City University,15.6,15.1,,,0.5,0.0320512821,0.0010272847,,0.0320512821
Technical University Darmstadt,15.2,15.1,,,0.1,0.0065789474,4.3282548476454E-005,,0.0065789474
University of Ljubljana,15.3,15,,,0.3,0.0196078431,0.0003844675,,0.0196078431
University of Halle-Wittenberg,14.6,15,,,-0.4,-0.0273972603,0.0007506099,,0.0273972603
University of Nice Sophia Antipolis,13.3,15,,,-1.7,-0.1278195489,0.0163378371,,0.1278195489
Indiana University-Purdue University at Indianapolis,15.6,14.9,,,0.7,0.0448717949,0.002013478,,0.0448717949
Jilin University,14.8,14.9,,,-0.1,-0.0067567568,4.56537618699778E-005,,0.0067567568
University of Konstanz,14.3,14.8,,,-0.5,-0.034965035,0.0012225537,,0.034965035
Keio University,14.4,14.6,,,-0.2,-0.0138888889,0.0001929012,,0.0138888889
University of Hannover,14.9,14.5,,,0.4,0.0268456376,0.0007206883,,0.0268456376
University of Bayreuth,14.1,14.4,,,-0.3,-0.0212765957,0.0004526935,,0.0212765957
University of Rostock,14.1,14.2,,,-0.1,-0.0070921986,5.02992807202853E-005,,0.0070921986
Bielefeld University,14.8,14,,,0.8,0.0540540541,0.0029218408,,0.0540540541
University of Connecticut,13.7,14,,,-0.3,-0.0218978102,0.0004795141,,0.0218978102
Okayama University,13.5,14,,,-0.5,-0.037037037,0.0013717421,,0.037037037
Saint Louis University,12.6,14,,,-1.4,-0.1111111111,0.012345679,,0.1111111111
MINES ParisTech,13.9,13.9,,,0,0,0,,0
Brigham Young University,13.3,13.8,,,-0.5,-0.037593985,0.0014133077,,0.037593985
University of Lorraine,19.4,13.6,,,5.8,0.2989690722,0.0893825061,,0.2989690722
Complutense University of Madrid,13.2,13.5,,,-0.3,-0.0227272727,0.0005165289,,0.0227272727
Temple University,13.2,12.8,,,0.4,0.0303030303,0.0009182736,,0.0303030303
University of Colorado at Denver,11.3,12.1,,,-0.8,-0.0707964602,0.0050121388,,0.0707964602
West Virginia University,12.1,11.9,,,0.2,0.0165289256,0.0002732054,,0.0165289256
Wuhan University of Technology,10.8,11.7,,,-0.9,-0.0833333333,0.0069444444,,0.0833333333
,,,,,,,,,
,,,,,,,2.653980935,,
,,,,,,,0.0057321402,,22.7148119168
,,,,,,,0.0757108991,,0.0490600689
