,Int_Fac,Int_Fac-14
University of Illinois at Urbana-Champaign,62.1,63.9
"University of California, Davis",65.7,63.3
Michigan State University,61.5,63.3
Oxford Brookes University,65.8,63
Bar-Ilan University,44.3,62.6
"University of California, Santa Cruz",75.8,61.9
University of Michigan,65.4,61.9
Bilkent University,59.2,61.4
Universiti Teknologi Malaysia,74,60.6
Qafqaz University,58.3,60
University of Canberra,54.8,59.5
Weizmann Institute of Science,34.5,59.5
University of Helsinki,59.9,59.3
Vienna University of Technology,62.3,59.1
Karl-Franzens-Universitaet Graz,56.8,59.1
Swinburne University of Technology,73.5,58.8
University at Buffalo SUNY,70,58.6
"University of Illinois, Chicago (UIC)",61.3,58.4
"Kingston University, London",61.5,58.2
Universidad de Montevideo (UM),34.1,58.1
Aberystwyth University,64.7,58
Ludwig-Maximilians-Universität München,57.1,57.9
Technische Universität Darmstadt,59.9,57.7
Koc University,39.6,57.7
Kuwait University,51.9,57.4
Universidad de las Américas Puebla (UDLAP),44.3,57.3
Université Charles-de-Gaulle Lille 3,53.9,57.1
Beijing Normal University,58.6,57
Keele University,65.3,56.6
Universität Konstanz,59.2,56.4
International Islamic University Malaysia (IIUM),54.4,56.2
Laval University,67.7,55.8
University of Hertfordshire,56.6,55.8
"University of California, Irvine",52.8,55.5
University of Virginia,53.4,55.4
Ghent University,55.8,55.3
University of Pittsburgh,64.6,55.2
University of Pennsylvania,52.9,54.4
Charles Sturt University,52.7,54.4
University of Oslo,67,54.3
Radboud University,52.2,54.3
Wuhan University,64.6,54.1
"KIT, Karlsruhe Institute of Technology",57.1,53.9
Pohang University of Science And Technology (POSTECH),49.7,53.8
University of Bradford,59,53.7
Freie Universitaet Berlin,60.1,53.3
Utrecht University,59.4,53
Khazar University,58.5,53
University of South Florida,58.2,52.9
University of Calgary,69.1,52.1
Humboldt-Universität zu Berlin,55.4,52.1
ESSEC Business School,87.7,51.9
University of Guelph,50,51.6
Ruprecht-Karls-Universitaet Heidelberg,49.5,51.6
National Chiao Tung University,49,51.6
Oregon State University,58.5,51.5
École Normale Supérieure de Lyon,53.9,51.4
University of Hawai'i at Mañoa,64.6,51
Nanjing University,38.7,51
Technische Universität München,53,50.5
Tsinghua University,47.8,50
University of Wisconsin-Madison,51.6,48.8
Albert-Ludwigs-Universitaet Freiburg,58.3,48.4
Abo Akademi University,45,48.3
Plymouth University,52.8,48
Tufts University,30.1,47.6
Hankuk (Korea) University of Foreign Studies,38.7,47.3
Université Paris Dauphine,43.3,47.2
University of Johannesburg,61.5,46.9
Université Toulouse 1 Capitole,43.6,46.7
National Tsing Hua University,39.1,46.4
University Ulm,48.4,46.2
Vrije Universiteit Amsterdam,44.3,45.1
Seoul National University,30.2,44.9
Wageningen University,42.8,44.7
Georgetown University,44.7,44.6
Dublin Institute of Technology,42.7,44.3
Universität Regensburg,42.6,44.1
The Hebrew University of Jerusalem,52,43.6
Robert Gordon University,46.5,43.5
York University,36.7,43.3
Universität Bayreuth,39.7,43.2
Eberhard Karls Universität Tübingen,47.2,42.9
Shanghai Jiao Tong University,60.8,42.5
Universität des Saarlandes,48.8,42.4
"University of North Carolina, Chapel Hill",38.1,42.2
Sabanci University,52.6,42.1
Universidade Nova de Lisboa,39.5,41
Fudan University,52.2,40.9
Georg-August-University Goettingen,44.5,40.9
Universidad de Palermo (UP),40.1,40.7
Friedrich-Alexander-Universität Erlangen-Nürnberg,30.6,40.6
University of Delaware,39.7,40.5
Ruhr-Universität Bochum,39.6,40.5
Université Stendhal Grenoble 3,45.2,40.2
Coventry University,51.7,40
Université Paris Diderot - Paris 7,38.4,39.8
Ritsumeikan University,31,39.8
Clarkson University,54.6,39.7
University of Eastern Finland,46,39.3
University of Colorado Boulder,40.2,39.3
University of Jyväskylä,40.5,38.9
University of Saskatchewan,42.3,38.8
Johannes Gutenberg Universität Mainz,37.3,38.8
Institut National des Sciences Appliquées de Lyon (INSA),41,38.6
Universität Bremen,42.6,38.3
Université Paris-Sud,37.3,38.3
University of Gothenburg,35.8,38.3
Northumbria University at Newcastle,39.3,38.2
University of Oklahoma,37.2,37.9
Linköping University,37.2,37.6
University of Rochester,35.9,37.6
Université Pierre et Marie Curie (UPMC),36.4,37.5
University of Turku,33.8,37.4
Universität Stuttgart,38.1,37.3
Technische Universität Berlin,39.2,36.7
Nottingham Trent University,37.7,36.6
Universidad de los Andes,34.8,36.2
Peking University,50.5,35.8
Tel Aviv University,34.3,35.6
Manchester Metropolitan University,33.7,35.6
Waseda University,35.6,34.9
Université de Strasbourg,42.3,34.8
Universität Mannheim,32.6,34.7
Julius-Maximilians-Universität Würzburg,35.3,34.5
RWTH Aachen University,31.4,34
Universit Paul-Valery Montpellier 3,32.3,33.5
Carleton University,32.9,32.7
Drexel University,34.2,32.5
Université Paris-Sorbonne (Paris IV),31.2,32.4
Sun Yat-sen University,43,32.2
Bogaziçi Üniversitesi,30.5,31.7
Universiti Putra Malaysia (UPM),44.5,31.3
Politecnico di Milano,38.2,31.1
Université de Cergy-Pontoise,32.9,30.2
"University of Maryland, College Park",31.2,30
University of Trento,45.5,29.5
University of South Carolina,37,29.1
Lebanese American University,69,29
Universidad San Francisco de Quito (USFQ),53.6,28.2
Umea University,35.1,27.5
Universidad de Buenos Aires (UBA),30.4,27.2
Universidad Adolfo Ibàñez,44.3,26.9
"University of California, Los Angeles (UCLA)",57.4,26.7
Stellenbosch University,57,26.7
