University,Teaching-16,Teaching-17,,,B2-C2,D2/B2,,,,ABS()
University of South AustraliaAustralia,26.4,29.9,,,-3.5,-0.1325757576,0.0175763315,,,0.1325757576
University of BergenNorway,32.5,29.8,,,2.7,0.0830769231,0.0069017751,,,0.0830769231
Brandeis UniversityUnited States,28.3,29.8,,,-1.5,-0.0530035336,0.0028093746,,,0.0530035336
University of BordeauxFrance,25.3,29.8,,,-4.5,-0.1778656126,0.0316361762,,,0.1778656126
University of NavarraSpain,31.9,29.7,,,2.2,0.0689655172,0.0047562426,,,0.0689655172
Oregon Health and Science UniversityUnited States,27.8,29.7,,,-1.9,-0.0683453237,0.0046710833,,,0.0683453237
University of LuxembourgLuxembourg,25,29.7,,,-4.7,-0.188,0.035344,,,0.188
Colorado State UniversityUnited States,31.6,29.6,,,2,0.0632911392,0.0040057683,,,0.0632911392
Washington State UniversityUnited States,29,29.6,,,-0.6,-0.0206896552,0.0004280618,,,0.0206896552
SÃ£o Paulo State University (UNESP)Brazil,28,29.5,,,-1.5,-0.0535714286,0.002869898,,,0.0535714286
Taras Shevchenko National University of KyivUkraine,27.9,29.5,,,-1.6,-0.0573476703,0.0032887553,,,0.0573476703
Mahidol UniversityThailand,26.8,29.4,,,-2.6,-0.0970149254,0.0094118957,,,0.0970149254
Oregon State UniversityUnited States,30.6,29.3,,,1.3,0.0424836601,0.0018048614,,,0.0424836601
Kobe UniversityJapan,27.8,29.3,,,-1.5,-0.0539568345,0.00291134,,,0.0539568345
University of NewcastleAustralia,27.4,29.3,,,-1.9,-0.0693430657,0.0048084608,,,0.0693430657
Dalhousie UniversityCanada,30.4,29.1,,,1.3,0.0427631579,0.0018286877,,,0.0427631579
Paris Diderot University â€“ Paris 7France,30.5,28.9,,,1.6,0.0524590164,0.0027519484,,,0.0524590164
University of ManitobaCanada,27.1,28.7,,,-1.6,-0.0590405904,0.0034857913,,,0.0590405904
King Fahd University of Petroleum and MineralsSaudi Arabia,25.4,28.7,,,-3.3,-0.1299212598,0.0168795338,,,0.1299212598
University of PortoPortugal,32,28.6,,,3.4,0.10625,0.0112890625,,,0.10625
Stellenbosch UniversitySouth Africa,28.2,28.6,,,-0.4,-0.0141843972,0.0002011971,,,0.0141843972
American University of BeirutLebanon,27.7,28.5,,,-0.8,-0.0288808664,0.0008341044,,,0.0288808664
Osaka City UniversityJapan,26.3,28.5,,,-2.2,-0.0836501901,0.0069973543,,,0.0836501901
"Kyung Hee UniversityKorea, Republic of",26.1,28.5,,,-2.4,-0.091954023,0.0084555423,,,0.091954023
Graz University of TechnologyAustria,26,28.5,,,-2.5,-0.0961538462,0.0092455621,,,0.0961538462
Queensland University of TechnologyAustralia,28.8,28.4,,,0.4,0.0138888889,0.0001929012,,,0.0138888889
Lappeenranta University of TechnologyFinland,27.1,28.4,,,-1.3,-0.0479704797,0.0023011669,,,0.0479704797
"Ewha Womans UniversityKorea, Republic of",23.9,28.4,,,-4.5,-0.1882845188,0.03545106,,,0.1882845188
University of WollongongAustralia,25.8,28.3,,,-2.5,-0.0968992248,0.0093894598,,,0.0968992248
University of Alaska FairbanksUnited States,25.1,28.3,,,-3.2,-0.1274900398,0.0162537103,,,0.1274900398
Showa UniversityJapan,28.5,28.2,,,0.3,0.0105263158,0.0001108033,,,0.0105263158
National Taiwan Normal UniversityTaiwan,26.2,28.2,,,-2,-0.0763358779,0.0058271662,,,0.0763358779
George Mason UniversityUnited States,29.6,28.1,,,1.5,0.0506756757,0.0025680241,,,0.0506756757
Jilin UniversityChina,28.2,28.1,,,0.1,0.0035460993,1.25748201800709E-005,,,0.0035460993
Georgia State UniversityUnited States,26.3,28.1,,,-1.8,-0.0684410646,0.0046841793,,,0.0684410646
"Pusan National UniversityKorea, Republic of",27.5,27.8,,,-0.3,-0.0109090909,0.0001190083,,,0.0109090909
"University of TehranIran, Islamic Republic of",27.3,27.8,,,-0.5,-0.0183150183,0.0003354399,,,0.0183150183
University of South FloridaUnited States,24.8,27.8,,,-3,-0.1209677419,0.0146331946,,,0.1209677419
University College CorkIreland,28.6,27.7,,,0.9,0.0314685315,0.0009902685,,,0.0314685315
University of JyvÃ¤skylÃ¤Finland,28.2,27.7,,,0.5,0.0177304965,0.0003143705,,,0.0177304965
Texas Tech UniversityUnited States,27.9,27.7,,,0.2,0.0071684588,5.13868013000857E-005,,,0.0071684588
"National University of Ireland, GalwayIreland",27.3,27.7,,,-0.4,-0.0146520147,0.0002146815,,,0.0146520147
University of GenoaItaly,27.2,27.7,,,-0.5,-0.0183823529,0.0003379109,,,0.0183823529
Oxford Brookes UniversityUnited Kingdom,25.7,27.7,,,-2,-0.0778210117,0.0060561099,,,0.0778210117
Chiba UniversityJapan,26.9,27.6,,,-0.7,-0.0260223048,0.0006771603,,,0.0260223048
Pontifical Catholic University of ChileChile,28.2,27.5,,,0.7,0.024822695,0.0006161662,,,0.024822695
Kanazawa UniversityJapan,24.7,27.5,,,-2.8,-0.1133603239,0.012850563,,,0.1133603239
University of IbadanNigeria,22.7,27.5,,,-4.8,-0.2114537445,0.0447126861,,,0.2114537445
"Birkbeck, University of LondonUnited Kingdom",33.5,27.4,,,6.1,0.1820895522,0.033156605,,,0.1820895522
Tokushima UniversityJapan,25.3,27.4,,,-2.1,-0.0830039526,0.0068896561,,,0.0830039526
East China Normal UniversityChina,24.6,27.4,,,-2.8,-0.1138211382,0.0129552515,,,0.1138211382
Middle East Technical UniversityTurkey,29.9,27.3,,,2.6,0.0869565217,0.0075614367,,,0.0869565217
Vrije Universiteit BrusselBelgium,28.7,27.3,,,1.4,0.0487804878,0.002379536,,,0.0487804878
National Institute of Applied Sciences of Lyon (INSA Lyon)France,27,27.3,,,-0.3,-0.0111111111,0.0001234568,,,0.0111111111
Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,24.5,27.3,,,-2.8,-0.1142857143,0.0130612245,,,0.1142857143
University of St GallenSwitzerland,25.8,27.2,,,-1.4,-0.0542635659,0.0029445346,,,0.0542635659
University of StrasbourgFrance,25.5,27.2,,,-1.7,-0.0666666667,0.0044444444,,,0.0666666667
University of LiÃ¨geBelgium,29.1,27.1,,,2,0.0687285223,0.0047236098,,,0.0687285223
University of Technology SydneyAustralia,27.2,27.1,,,0.1,0.0036764706,1.35164359861586E-005,,,0.0036764706
Capital Medical UniversityChina,26.3,27.1,,,-0.8,-0.030418251,0.00092527,,,0.030418251
Polytechnic University of CataloniaSpain,25.2,27.1,,,-1.9,-0.0753968254,0.0056846813,,,0.0753968254
University of TurkuFinland,27.1,27,,,0.1,0.0036900369,1.36163723260853E-005,,,0.0036900369
National and Kapodistrian University of AthensGreece,26.7,27,,,-0.3,-0.0112359551,0.0001262467,,,0.0112359551
Indian Institute of Technology RoorkeeIndia,29.7,26.9,29.7,26.9,2.8,0.0942760943,0.008887982,,,0.0942760943
Universiti Putra MalaysiaMalaysia,25.3,26.9,,,-1.6,-0.0632411067,0.0039994376,,,0.0632411067
University of Texas at DallasUnited States,24.3,26.9,,,-2.6,-0.1069958848,0.0114481194,,,0.1069958848
University of DelawareUnited States,23.7,26.9,,,-3.2,-0.135021097,0.0182306966,,,0.135021097
Universiti Teknologi MalaysiaMalaysia,26.3,26.8,,,-0.5,-0.0190114068,0.0003614336,,,0.0190114068
University of Science and Technology BeijingChina,25.1,26.8,,,-1.7,-0.0677290837,0.0045872288,,,0.0677290837
La Trobe UniversityAustralia,27,26.7,,,0.3,0.0111111111,0.0001234568,,,0.0111111111
Xiamen UniversityChina,26.7,26.7,,,0,0,0,,,0
Dublin City UniversityIreland,26.1,26.7,,,-0.6,-0.0229885057,0.0005284714,,,0.0229885057
University of DundeeUnited Kingdom,25.6,26.7,,,-1.1,-0.04296875,0.0018463135,,,0.04296875
National Central UniversityTaiwan,26.3,26.6,,,-0.3,-0.0114068441,0.0001301161,,,0.0114068441
Indian Institute of Technology GuwahatiIndia,24.3,26.6,24.3,26.6,-2.3,-0.0946502058,0.0089586615,,,0.0946502058
Chulalongkorn UniversityThailand,23.8,26.6,,,-2.8,-0.1176470588,0.0138408304,,,0.1176470588
Tokyo University of Agriculture and TechnologyJapan,34.9,26.4,,,8.5,0.2435530086,0.059318068,,,0.2435530086
Oklahoma State UniversityUnited States,27.5,26.4,,,1.1,0.04,0.0016,,,0.04
University of the WitwatersrandSouth Africa,26.2,26.4,,,-0.2,-0.0076335878,5.82716624905304E-005,,,0.0076335878
Royal Veterinary CollegeUnited Kingdom,26,26.4,,,-0.4,-0.0153846154,0.0002366864,,,0.0153846154
Taipei Medical UniversityTaiwan,25.7,26.4,,,-0.7,-0.0272373541,0.0007418735,,,0.0272373541
King Abdulaziz UniversitySaudi Arabia,23.9,26.4,,,-2.5,-0.1046025105,0.0109416852,,,0.1046025105
UniversitÃ© Libre de BruxellesBelgium,26.1,26.3,,,-0.2,-0.0076628352,0.000058719,,,0.0076628352
University of LisbonPortugal,25.9,26.3,,,-0.4,-0.0154440154,0.0002385176,,,0.0154440154
Northwestern Polytechnical UniversityChina,23.4,26.3,,,-2.9,-0.1239316239,0.0153590474,,,0.1239316239
University of TampereFinland,23.5,26.2,,,-2.7,-0.114893617,0.0132005432,,,0.114893617
University of GuelphCanada,28,26.1,,,1.9,0.0678571429,0.0046045918,,,0.0678571429
University of TriesteItaly,26.5,26.1,,,0.4,0.0150943396,0.0002278391,,,0.0150943396
Sichuan UniversityChina,25,26.1,,,-1.1,-0.044,0.001936,,,0.044
Okayama UniversityJapan,24.3,26.1,,,-1.8,-0.0740740741,0.0054869684,,,0.0740740741
University of InnsbruckAustria,23.6,26.1,,,-2.5,-0.1059322034,0.0112216317,,,0.1059322034
University of Bari Aldo MoroItaly,28.7,26,,,2.7,0.0940766551,0.008850417,,,0.0940766551
Waseda UniversityJapan,23.6,25.9,,,-2.3,-0.0974576271,0.0094979891,,,0.0974576271
Polytechnic University of TurinItaly,23.7,25.8,,,-2.1,-0.0886075949,0.0078513059,,,0.0886075949
Kumamoto UniversityJapan,23.4,25.8,,,-2.4,-0.1025641026,0.0105193951,,,0.1025641026
Aligarh Muslim UniversityIndia,28.3,25.7,,,2.6,0.0918727915,0.0084406098,,,0.0918727915
"National University of Ireland, MaynoothIreland",24.6,25.5,,,-0.9,-0.0365853659,0.001338489,,,0.0365853659
University of Milan-BicoccaItaly,24.3,25.5,,,-1.2,-0.049382716,0.0024386526,,,0.049382716
University of Rome II â€“ Tor VergataItaly,23.5,25.5,,,-2,-0.085106383,0.0072430964,,,0.085106383
Florida Institute of TechnologyUnited States,20.4,25.5,,,-5.1,-0.25,0.0625,,,0.25
University of ChileChile,28.3,25.4,,,2.9,0.1024734982,0.0105008178,,,0.1024734982
Florida International UniversityUnited States,25.7,25.4,,,0.3,0.0116731518,0.0001362625,,,0.0116731518
Federal University of Santa CatarinaBrazil,26,25.3,,,0.7,0.0269230769,0.0007248521,,,0.0269230769
University of PaviaItaly,25,25.3,,,-0.3,-0.012,0.000144,,,0.012
Johannes Kepler University of LinzAustria,19.2,25.3,,,-6.1,-0.3177083333,0.1009385851,,,0.3177083333
BabeÅŸ-Bolyai UniversityRomania,27.9,25.2,,,2.7,0.0967741935,0.0093652445,,,0.0967741935
Bangor UniversityUnited Kingdom,22.6,25.2,,,-2.6,-0.1150442478,0.0132351789,,,0.1150442478
Kazan Federal UniversityRussian Federation,21.9,25.2,,,-3.3,-0.1506849315,0.0227059486,,,0.1506849315
KoÃ§ UniversityTurkey,21.2,25.2,,,-4,-0.1886792453,0.0355998576,,,0.1886792453
"Sharif University of TechnologyIran, Islamic Republic of",26.6,25.1,,,1.5,0.0563909774,0.0031799423,,,0.0563909774
Nagasaki UniversityJapan,22.8,25.1,,,-2.3,-0.100877193,0.0101762081,,,0.100877193
University of SalentoItaly,29.6,25,,,4.6,0.1554054054,0.02415084,,,0.1554054054
University of WarsawPoland,26.1,25,,,1.1,0.0421455939,0.0017762511,,,0.0421455939
University of Eastern FinlandFinland,24.8,25,,,-0.2,-0.0080645161,6.5036420395421E-005,,,0.0080645161
Tottori UniversityJapan,24.3,25,,,-0.7,-0.0288065844,0.0008298193,,,0.0288065844
Monterrey Institute of Technology and Higher EducationMexico,23.9,25,,,-1.1,-0.0460251046,0.0021183103,,,0.0460251046
Kansas State UniversityUnited States,22.9,25,,,-2.1,-0.0917030568,0.0084094506,,,0.0917030568
Ohio UniversityUnited States,25,24.9,,,0.1,0.004,0.000016,,,0.004
Brunel University LondonUnited Kingdom,24.8,24.9,,,-0.1,-0.0040322581,1.62591050988547E-005,,,0.0040322581
University of NeuchÃ¢telSwitzerland,24.2,24.9,,,-0.7,-0.0289256198,0.0008366915,,,0.0289256198
Lehigh UniversityUnited States,23.9,24.9,,,-1,-0.0418410042,0.0017506696,,,0.0418410042
"Sogang UniversityKorea, Republic of",21.5,24.9,,,-3.4,-0.1581395349,0.0250081125,,,0.1581395349
University of OregonUnited States,21.2,24.8,,,-3.6,-0.1698113208,0.0288358847,,,0.1698113208
Carlos III University of MadridSpain,23.2,24.7,,,-1.5,-0.0646551724,0.0041802913,,,0.0646551724
Paris Descartes UniversityFrance,24.6,24.6,,,0,0,0,,,0
University of PaduaItaly,25.7,24.5,,,1.2,0.046692607,0.0021801995,,,0.046692607
University of ArkansasUnited States,25.5,24.4,,,1.1,0.0431372549,0.0018608228,,,0.0431372549
Federal University of ParanÃ¡ (UFPR)Brazil,24.6,24.3,,,0.3,0.012195122,0.000148721,,,0.012195122
China University of Petroleum (Beijing)China,23.6,24.3,,,-0.7,-0.0296610169,0.0008797759,,,0.0296610169
"Binghamton University, State University of New YorkUnited States",22.7,24.3,,,-1.6,-0.0704845815,0.0049680762,,,0.0704845815
SabancÄ± UniversityTurkey,22.3,24.3,,,-2,-0.0896860987,0.0080435963,,,0.0896860987
Ehime UniversityJapan,19.2,24.3,,,-5.1,-0.265625,0.0705566406,,,0.265625
University of StrathclydeUnited Kingdom,25.9,24.2,,,1.7,0.0656370656,0.0043082244,,,0.0656370656
Aalborg UniversityDenmark,25.1,24.2,,,0.9,0.0358565737,0.0012856939,,,0.0358565737
University of CoimbraPortugal,28.3,24.1,,,4.2,0.148409894,0.0220254966,,,0.148409894
"City, University of LondonUnited Kingdom",23.5,24.1,,,-0.6,-0.0255319149,0.0006518787,,,0.0255319149
"University of Chemistry and Technology, PragueCzech Republic",21.6,24.1,,,-2.5,-0.1157407407,0.0133959191,,,0.1157407407
University of LjubljanaSlovenia,24.9,24,,,0.9,0.0361445783,0.0013064305,,,0.0361445783
"China Medical University, TaiwanTaiwan",24,24,,,0,0,0,,,0
King Saud UniversitySaudi Arabia,20,24,,,-4,-0.2,0.04,,,0.2
Semmelweis UniversityHungary,19.6,24,,,-4.4,-0.2244897959,0.0503956685,,,0.2244897959
Istanbul Technical UniversityTurkey,19.2,24,,,-4.8,-0.25,0.0625,,,0.25
United Arab Emirates UniversityUnited Arab Emirates,18.8,24,,,-5.2,-0.2765957447,0.076505206,,,0.2765957447
UniversitÃ© du QuÃ©bec Ã  MontrÃ©alCanada,26.8,23.9,,,2.9,0.1082089552,0.011709178,,,0.1082089552
LinkÃ¶ping UniversitySweden,24.2,23.9,,,0.3,0.0123966942,0.000153678,,,0.0123966942
National Sun Yat-Sen UniversityTaiwan,26.1,23.8,,,2.3,0.0881226054,0.0077655936,,,0.0881226054
Ben-Gurion University of the NegevIsrael,25.8,23.8,,,2,0.0775193798,0.0060092543,,,0.0775193798
Panjab UniversityIndia,24.6,23.8,,,0.8,0.0325203252,0.0010575716,,,0.0325203252
Jagiellonian UniversityPoland,24,23.8,,,0.2,0.0083333333,6.9444444444444E-005,,,0.0083333333
Yokohama City UniversityJapan,24,23.8,,,0.2,0.0083333333,6.9444444444444E-005,,,0.0083333333
University of CanterburyNew Zealand,23.5,23.8,,,-0.3,-0.0127659574,0.0001629697,,,0.0127659574
Simon Fraser UniversityCanada,23.2,23.8,,,-0.6,-0.025862069,0.0006688466,,,0.025862069
"Konkuk UniversityKorea, Republic of",20,23.8,,,-3.8,-0.19,0.0361,,,0.19
Nova University of LisbonPortugal,26.9,23.7,,,3.2,0.1189591078,0.0141512693,,,0.1189591078
Niigata UniversityJapan,21.9,23.7,,,-1.8,-0.0821917808,0.0067554888,,,0.0821917808
University of TrentoItaly,30.8,23.6,,,7.2,0.2337662338,0.054646652,,,0.2337662338
University of TartuEstonia,23.8,23.6,,,0.2,0.0084033613,7.06164818868719E-005,,,0.0084033613
"Chungnam National UniversityKorea, Republic of",23.2,23.6,,,-0.4,-0.0172413793,0.0002972652,,,0.0172413793
State University of New York AlbanyUnited States,25.6,23.5,,,2.1,0.08203125,0.006729126,,,0.08203125
National University of Science and Technology (MISiS)Russian Federation,24.8,23.5,,,1.3,0.0524193548,0.0027477888,,,0.0524193548
Bar-Ilan UniversityIsrael,22.6,23.5,,,-0.9,-0.0398230088,0.001585872,,,0.0398230088
Clemson UniversityUnited States,21.4,23.5,,,-2.1,-0.0981308411,0.009629662,,,0.0981308411
Bilkent UniversityTurkey,23.5,23.4,,,0.1,0.0042553191,1.81077410593034E-005,,,0.0042553191
University of Rome IIIItaly,23.1,23.4,,,-0.3,-0.012987013,0.0001686625,,,0.012987013
University of SalamancaSpain,26.1,23.3,,,2.8,0.1072796935,0.0115089326,,,0.1072796935
Victoria University of WellingtonNew Zealand,26,23.3,,,2.7,0.1038461538,0.0107840237,,,0.1038461538
Hong Kong Baptist UniversityHong Kong,22.6,23.3,,,-0.7,-0.0309734513,0.0009593547,,,0.0309734513
"Iran University of Science and TechnologyIran, Islamic Republic of",25.9,23.2,,,2.7,0.1042471042,0.0108674587,,,0.1042471042
Osaka Prefecture UniversityJapan,21.6,23.2,,,-1.6,-0.0740740741,0.0054869684,,,0.0740740741
Sultan Qaboos UniversityOman,21.3,23.2,,,-1.9,-0.0892018779,0.007956975,,,0.0892018779
University of GrazAustria,24.9,23.1,,,1.8,0.0722891566,0.0052257222,,,0.0722891566
Verona UniversityItaly,23.6,23.1,,,0.5,0.0211864407,0.0004488653,,,0.0211864407
Federal University of SÃ£o CarlosBrazil,29,23,,,6,0.2068965517,0.0428061831,,,0.2068965517
RMIT UniversityAustralia,24.7,23,,,1.7,0.0688259109,0.004737006,,,0.0688259109
Tampere University of TechnologyFinland,23.1,23,,,0.1,0.0043290043,1.87402784805388E-005,,,0.0043290043
Otto von Guericke University of MagdeburgGermany,22.9,23,,,-0.1,-0.0043668122,0.000019069,,,0.0043668122
Deakin UniversityAustralia,22.4,23,,,-0.6,-0.0267857143,0.0007174745,,,0.0267857143
Swinburne University of TechnologyAustralia,21.5,22.9,,,-1.4,-0.0651162791,0.0042401298,,,0.0651162791
University of KentUnited Kingdom,24.6,22.8,,,1.8,0.0731707317,0.005353956,,,0.0731707317
UiT The Arctic University of NorwayNorway,26.5,22.7,,,3.8,0.1433962264,0.0205624778,,,0.1433962264
University of PretoriaSouth Africa,25.6,22.7,,,2.9,0.11328125,0.0128326416,,,0.11328125
"Amirkabir University of TechnologyIran, Islamic Republic of",24.5,22.7,,,1.8,0.0734693878,0.0053977509,,,0.0734693878
University of StirlingUnited Kingdom,22.6,22.6,,,0,0,0,,,0
Griffith UniversityAustralia,22.5,22.6,,,-0.1,-0.0044444444,1.97530864197536E-005,,,0.0044444444
Tokyo Metropolitan UniversityJapan,21.6,22.6,,,-1,-0.0462962963,0.0021433471,,,0.0462962963
UmeÃ¥ UniversitySweden,20.8,22.6,,,-1.8,-0.0865384615,0.0074889053,,,0.0865384615
Istanbul UniversityTurkey,26,22.5,,,3.5,0.1346153846,0.0181213018,,,0.1346153846
East China University of Science and TechnologyChina,24.1,22.5,,,1.6,0.0663900415,0.0044076376,,,0.0663900415
Massey UniversityNew Zealand,23.1,22.5,,,0.6,0.025974026,0.00067465,,,0.025974026
University of BucharestRomania,34.3,22.3,,,12,0.3498542274,0.1223979804,,,0.3498542274
Toyohashi University of TechnologyJapan,22,22.3,,,-0.3,-0.0136363636,0.0001859504,,,0.0136363636
University of TasmaniaAustralia,21.8,22.3,,,-0.5,-0.0229357798,0.00052605,,,0.0229357798
Flinders UniversityAustralia,21.4,22.3,,,-0.9,-0.0420560748,0.0017687134,,,0.0420560748
Shinshu UniversityJapan,20.8,22.3,,,-1.5,-0.0721153846,0.0052006287,,,0.0721153846
Kent State UniversityUnited States,18.4,22.3,,,-3.9,-0.2119565217,0.0449255671,,,0.2119565217
University of Rennes 1France,17.8,22.3,,,-4.5,-0.2528089888,0.0639123848,,,0.2528089888
Tokyo University of Marine Science and TechnologyJapan,27.9,22.2,,,5.7,0.2043010753,0.0417389294,,,0.2043010753
UniversitÃ© de SherbrookeCanada,25.6,22.2,,,3.4,0.1328125,0.0176391602,,,0.1328125
University of HaifaIsrael,25.5,22.2,,,3.3,0.1294117647,0.0167474048,,,0.1294117647
Ural Federal UniversityRussian Federation,24.8,22.2,,,2.6,0.1048387097,0.010991155,,,0.1048387097
University of MinhoPortugal,23.9,22.2,,,1.7,0.0711297071,0.0050594352,,,0.0711297071
Heriot-Watt UniversityUnited Kingdom,23.4,22.2,,,1.2,0.0512820513,0.0026298488,,,0.0512820513
Southern Federal UniversityRussian Federation,21.9,22.1,,,-0.2,-0.0091324201,8.34010967244243E-005,,,0.0091324201
University of VictoriaCanada,20.6,22.1,,,-1.5,-0.072815534,0.005302102,,,0.072815534
Polytechnic University of ValenciaSpain,20.3,22.1,,,-1.8,-0.0886699507,0.0078623602,,,0.0886699507
"University of SeoulKorea, Republic of",22.8,22,,,0.8,0.0350877193,0.001231148,,,0.0350877193
University of GranadaSpain,24.3,21.9,,,2.4,0.0987654321,0.0097546106,,,0.0987654321
Comenius University in BratislavaSlovakia,23,21.9,,,1.1,0.047826087,0.0022873346,,,0.047826087
Technical University of MadridSpain,21.8,21.9,,,-0.1,-0.004587156,0.000021042,,,0.004587156
University of Nice Sophia AntipolisFrance,21.4,21.9,,,-0.5,-0.023364486,0.0005458992,,,0.023364486
Federal University of ViÃ§osaBrazil,39.7,21.8,,,17.9,0.4508816121,0.2032942281,,,0.4508816121
Gifu UniversityJapan,25.4,21.8,,,3.6,0.1417322835,0.0200880402,,,0.1417322835
Dalian University of TechnologyChina,22.6,21.8,,,0.8,0.0353982301,0.0012530347,,,0.0353982301
University of Southern QueenslandAustralia,18.4,21.8,,,-3.4,-0.1847826087,0.0341446125,,,0.1847826087
University of LatviaLatvia,22.6,21.7,,,0.9,0.0398230088,0.001585872,,,0.0398230088
James Cook UniversityAustralia,19,21.7,,,-2.7,-0.1421052632,0.0201939058,,,0.1421052632
University of Naples Federico IIItaly,24.7,21.6,,,3.1,0.1255060729,0.0157517743,,,0.1255060729
University of Rovira i VirgiliSpain,20.8,21.5,,,-0.7,-0.0336538462,0.0011325814,,,0.0336538462
University of KwaZulu-NatalSouth Africa,20.3,21.5,,,-1.2,-0.0591133005,0.0034943823,,,0.0591133005
"Sejong UniversityKorea, Republic of",18.9,21.5,,,-2.6,-0.1375661376,0.0189244422,,,0.1375661376
University of MacauMacao,18.5,21.5,,,-3,-0.1621621622,0.0262965668,,,0.1621621622
University of Southern DenmarkDenmark,19.2,21.4,,,-2.2,-0.1145833333,0.0131293403,,,0.1145833333
"St Georgeâ€™s, University of LondonUnited Kingdom",25.6,21.3,,,4.3,0.16796875,0.028213501,,,0.16796875
"University of Maryland, Baltimore CountyUnited States",21.3,21.3,,,0,0,0,,,0
"Inha UniversityKorea, Republic of",20.7,21.3,,,-0.6,-0.0289855072,0.0008401596,,,0.0289855072
Chang Gung UniversityTaiwan,19.3,21.3,,,-2,-0.103626943,0.0107385433,,,0.103626943
Miami UniversityUnited States,19.2,21.3,,,-2.1,-0.109375,0.0119628906,,,0.109375
New Jersey Institute of TechnologyUnited States,18.9,21.3,,,-2.4,-0.126984127,0.0161249685,,,0.126984127
University of TurinItaly,27.4,21.2,,,6.2,0.2262773723,0.0512014492,,,0.2262773723
V.N. Karazin Kharkiv National UniversityUkraine,21.7,21.2,,,0.5,0.0230414747,0.0005309096,,,0.0230414747
Marche Polytechnic UniversityItaly,15.2,21.2,,,-6,-0.3947368421,0.1558171745,,,0.3947368421
Caâ€™ Foscari University of VeniceItaly,23.9,21.1,,,2.8,0.1171548117,0.0137252499,,,0.1171548117
Tokyo University of ScienceJapan,23,21.1,,,1.9,0.0826086957,0.0068241966,,,0.0826086957
Claude Bernard University Lyon 1France,21.3,21.1,,,0.2,0.0093896714,8.81659282770167E-005,,,0.0093896714
University of Wisconsin-MilwaukeeUnited States,17.3,21.1,,,-3.8,-0.2196531792,0.0482475191,,,0.2196531792
Swansea UniversityUnited Kingdom,22.2,21,,,1.2,0.0540540541,0.0029218408,,,0.0540540541
Curtin UniversityAustralia,20.1,21,,,-0.9,-0.0447761194,0.0020049009,,,0.0447761194
University of ValenciaSpain,22.7,20.9,,,1.8,0.0792951542,0.0062877215,,,0.0792951542
BoÄŸaziÃ§i UniversityTurkey,21.9,20.9,,,1,0.0456621005,0.0020850274,,,0.0456621005
Rio de Janeiro State University (UERJ)Brazil,21.7,20.9,,,0.8,0.0368663594,0.0013591285,,,0.0368663594
San Diego State UniversityUnited States,20.3,20.9,,,-0.6,-0.0295566502,0.0008735956,,,0.0295566502
Yokohama National UniversityJapan,20.1,20.9,,,-0.8,-0.039800995,0.0015841192,,,0.039800995
University of WaikatoNew Zealand,19.3,20.9,,,-1.6,-0.0829015544,0.0068726677,,,0.0829015544
University of the Basque CountrySpain,18.2,20.9,,,-2.7,-0.1483516484,0.0220082116,,,0.1483516484
Masaryk UniversityCzech Republic,21.2,20.8,,,0.4,0.0188679245,0.0003559986,,,0.0188679245
"Ajou UniversityKorea, Republic of",19.5,20.8,,,-1.3,-0.0666666667,0.0044444444,,,0.0666666667
University of SienaItaly,23.7,20.7,,,3,0.1265822785,0.0160230732,,,0.1265822785
EÃ¶tvÃ¶s LorÃ¡nd UniversityHungary,21.3,20.7,,,0.6,0.0281690141,0.0007934934,,,0.0281690141
University of Texas at El PasoUnited States,18.6,20.7,,,-2.1,-0.1129032258,0.0127471384,,,0.1129032258
Suranaree University of TechnologyThailand,21.1,20.6,,,0.5,0.0236966825,0.0005615328,,,0.0236966825
University of SzegedHungary,20,20.6,,,-0.6,-0.03,0.0009,,,0.03
