University,Research-16,Research-17,,,,,,,,
BabeÅŸ-Bolyai UniversityRomania,12.5,11.5,,,1,0.08,0.0064,,,0.08
Shinshu UniversityJapan,8.3,11.4,,,-3.1,-0.3734939759,0.13949775,,,0.3734939759
Manchester Metropolitan UniversityUnited Kingdom,10.6,11.4,,,-0.8,-0.0754716981,0.0056959772,,,0.0754716981
Ocean University of ChinaChina,10.7,11.4,,,-0.7,-0.0654205607,0.0042798498,,,0.0654205607
"Yeungnam UniversityKorea, Republic of",10.9,11.4,,,-0.5,-0.0458715596,0.0021042,,,0.0458715596
King Mongkutâ€™s University of Technology ThonburiThailand,11.4,11.4,,,0,0,0,,,0
University of PatrasGreece,12.1,11.4,,,0.7,0.0578512397,0.0033467659,,,0.0578512397
Savitribai Phule Pune UniversityIndia,12.4,11.4,12.4,11.4,1,0.0806451613,0.006503642,,,0.0806451613
Tallinn University of TechnologyEstonia,15,11.4,,,3.6,0.24,0.0576,,,0.24
Juntendo UniversityJapan,10.5,11.3,,,-0.8,-0.0761904762,0.0058049887,,,0.0761904762
University of IbadanNigeria,11.1,11.3,,,-0.2,-0.018018018,0.000324649,,,0.018018018
Flinders UniversityAustralia,25.7,11.3,,,14.4,0.560311284,0.313948735,,,0.560311284
University of GreenwichUnited Kingdom,9.5,11.2,,,-1.7,-0.1789473684,0.0320221607,,,0.1789473684
Ural Federal UniversityRussian Federation,10.6,11.2,,,-0.6,-0.0566037736,0.0032039872,,,0.0566037736
University of CalcuttaIndia,8.7,11.1,8.7,11.1,-2.4,-0.275862069,0.0760998811,,,0.275862069
University of PalermoItaly,9.1,11.1,,,-2,-0.2197802198,0.048303345,,,0.2197802198
University of Central LancashireUnited Kingdom,9.4,11.1,,,-1.7,-0.1808510638,0.0327071073,,,0.1808510638
University of West BohemiaCzech Republic,9.7,11.1,,,-1.4,-0.1443298969,0.0208311191,,,0.1443298969
AGH University of Science and TechnologyPoland,3.7,11,,,-7.3,-1.972972973,3.8926223521,,,1.972972973
Saitama UniversityJapan,9.6,11,,,-1.4,-0.1458333333,0.0212673611,,,0.1458333333
University of SzegedHungary,10.5,11,,,-0.5,-0.0476190476,0.0022675737,,,0.0476190476
University of A CoruÃ±aSpain,10,10.9,,,-0.9,-0.09,0.0081,,,0.09
Suranaree University of TechnologyThailand,11.6,10.9,,,0.7,0.0603448276,0.0036414982,,,0.0603448276
Rio de Janeiro State University (UERJ)Brazil,9.1,10.8,,,-1.7,-0.1868131868,0.0348991668,,,0.1868131868
Federico Santa MarÃ­a Technical UniversityChile,10.1,10.8,,,-0.7,-0.0693069307,0.0048034506,,,0.0693069307
University of Castilla-La ManchaSpain,10.3,10.8,,,-0.5,-0.0485436893,0.0023564898,,,0.0485436893
Nagasaki UniversityJapan,10.8,10.8,,,0,0,0,,,0
"University of Santiago, Chile (USACH)Chile",11.3,10.8,,,0.5,0.0442477876,0.0019578667,,,0.0442477876
Federal University of Rio Grande do SulBrazil,13.7,10.8,,,2.9,0.2116788321,0.044807928,,,0.2116788321
Pontifical Catholic University of ValparaÃ­soChile,8,10.7,,,-2.7,-0.3375,0.11390625,,,0.3375
Glasgow Caledonian UniversityUnited Kingdom,10.4,10.7,,,-0.3,-0.0288461538,0.0008321006,,,0.0288461538
Taras Shevchenko National University of KyivUkraine,11,10.7,,,0.3,0.0272727273,0.0007438017,,,0.0272727273
Nottingham Trent UniversityUnited Kingdom,8.9,10.6,,,-1.7,-0.191011236,0.0364852923,,,0.191011236
Niigata UniversityJapan,10.1,10.6,,,-0.5,-0.0495049505,0.0024507401,,,0.0495049505
Hacettepe UniversityTurkey,11.8,10.5,,,1.3,0.1101694915,0.0121373169,,,0.1101694915
Kyushu Institute of TechnologyJapan,12.5,10.5,,,2,0.16,0.0256,,,0.16
Dublin Institute of TechnologyIreland,8.8,10.4,,,-1.6,-0.1818181818,0.0330578512,,,0.1818181818
Sophia UniversityJapan,9.4,10.4,,,-1,-0.1063829787,0.0113173382,,,0.1063829787
Adam Mickiewicz UniversityPoland,11,10.4,,,0.6,0.0545454545,0.0029752066,,,0.0545454545
Sheffield Hallam UniversityUnited Kingdom,9.4,10.3,,,-0.9,-0.0957446809,0.0091670439,,,0.0957446809
Shantou UniversityChina,9.1,10.2,,,-1.1,-0.1208791209,0.0146117619,,,0.1208791209
University of Modena and Reggio EmiliaItaly,15.6,10.2,,,5.4,0.3461538462,0.1198224852,,,0.3461538462
Erciyes UniversityTurkey,10.9,10.1,,,0.8,0.0733944954,0.005386752,,,0.0733944954
University of NairobiKenya,9,10,,,-1,-0.1111111111,0.012345679,,,0.1111111111
Warsaw University of TechnologyPoland,8.5,9.9,,,-1.4,-0.1647058824,0.0271280277,,,0.1647058824
Fu Jen Catholic UniversityTaiwan,9.8,9.9,,,-0.1,-0.0102040816,0.0001041233,,,0.0102040816
University of South AfricaSouth Africa,11.3,9.9,,,1.4,0.1238938053,0.015349675,,,0.1238938053
Central Queensland UniversityAustralia,11.4,9.9,,,1.5,0.1315789474,0.0173130194,,,0.1315789474
Austral University of ChileChile,9.7,9.8,,,-0.1,-0.0103092784,0.0001062812,,,0.0103092784
University of IndonesiaIndonesia,8,9.7,,,-1.7,-0.2125,0.04515625,,,0.2125
University of La LagunaSpain,10,9.6,,,0.4,0.04,0.0016,,,0.04
Sultan Qaboos UniversityOman,10.6,9.6,,,1,0.0943396226,0.0088999644,,,0.0943396226
Slovak University of Technology in BratislavaSlovakia,8.6,9.5,,,-0.9,-0.1046511628,0.0109518659,,,0.1046511628
Aligarh Muslim UniversityIndia,10,9.5,10,9.5,0.5,0.05,0.0025,,,0.05
Coventry UniversityUnited Kingdom,7.7,9.2,,,-1.5,-0.1948051948,0.0379490639,,,0.1948051948
Panjab UniversityIndia,8.8,9.2,8.8,9.2,-0.4,-0.0454545455,0.0020661157,,,0.0454545455
GdaÅ„sk University of TechnologyPoland,9.5,9.2,,,0.3,0.0315789474,0.0009972299,,,0.0315789474
"Chungnam National UniversityKorea, Republic of",17.7,9.2,,,8.5,0.4802259887,0.2306170002,,,0.4802259887
University of PÃ©csHungary,9,9.1,,,-0.1,-0.0111111111,0.0001234568,,,0.0111111111
Belarusian State UniversityBelarus,8.7,9,,,-0.3,-0.0344827586,0.0011890606,,,0.0344827586
Anadolu UniversityTurkey,22.6,8.9,,,13.7,0.6061946903,0.3674720025,,,0.6061946903
Federal University of ViÃ§osaBrazil,14.5,8.8,,,5.7,0.3931034483,0.154530321,,,0.3931034483
Alexandria UniversityEgypt,8.2,8.7,,,-0.5,-0.0609756098,0.003718025,,,0.0609756098
"University of SeoulKorea, Republic of",17.5,8.7,,,8.8,0.5028571429,0.2528653061,,,0.5028571429
Tokai UniversityJapan,7.6,8.6,,,-1,-0.1315789474,0.0173130194,,,0.1315789474
Universiti Teknologi MARAMalaysia,7.7,8.6,,,-0.9,-0.1168831169,0.013661663,,,0.1168831169
Khon Kaen UniversityThailand,7.4,8.5,,,-1.1,-0.1486486486,0.0220964207,,,0.1486486486
University of Southern MississippiUnited States,11.8,8.5,,,3.3,0.2796610169,0.0782102844,,,0.2796610169
Tottori UniversityJapan,10.1,8.4,,,1.7,0.1683168317,0.0283305558,,,0.1683168317
Kindai UniversityJapan,7.9,8.3,,,-0.4,-0.0506329114,0.0025636917,,,0.0506329114
Showa UniversityJapan,7.9,8.3,,,-0.4,-0.0506329114,0.0025636917,,,0.0506329114
V.N. Karazin Kharkiv National UniversityUkraine,8.9,8.3,,,0.6,0.0674157303,0.0045448807,,,0.0674157303
Andhra UniversityIndia,6.9,8.1,6.9,8.1,-1.2,-0.1739130435,0.0302457467,,,0.1739130435
National University of Sciences and TechnologyPakistan,7,8.1,,,-1.1,-0.1571428571,0.0246938776,,,0.1571428571
YÄ±ldÄ±z Technical UniversityTurkey,7.6,8.1,,,-0.5,-0.0657894737,0.0043282548,,,0.0657894737
Pontifical Catholic University of ParanÃ¡Brazil,6.5,8,,,-1.5,-0.2307692308,0.0532544379,,,0.2307692308
Southern Federal UniversityRussian Federation,8.2,8,,,0.2,0.0243902439,0.000594884,,,0.0243902439
University of Nice Sophia AntipolisFrance,16.1,8,,,8.1,0.5031055901,0.2531152348,,,0.5031055901
West University of TimiÅŸoaraRomania,3.9,7.9,,,-4,-1.0256410256,1.0519395135,,,1.0256410256
University of Urbino Carlo BoItaly,8.7,7.9,,,0.8,0.091954023,0.0084555423,,,0.091954023
University of Silesia in KatowicePoland,8,7.7,,,0.3,0.0375,0.00140625,,,0.0375
Jordan University of Science and TechnologyJordan,6.2,7.6,,,-1.4,-0.2258064516,0.0509885536,,,0.2258064516
Prince of Songkla UniversityThailand,7,7.6,,,-0.6,-0.0857142857,0.0073469388,,,0.0857142857
Catholic University of the Sacred HeartItaly,11.3,7.6,,,3.7,0.3274336283,0.107212781,,,0.3274336283
University of Cergy-PontoiseFrance,6.3,7.5,,,-1.2,-0.1904761905,0.0362811791,,,0.1904761905
"Birla Institute of Technology and Science, PilaniIndia",8.3,7.5,8.3,7.5,0.8,0.0963855422,0.0092901727,,,0.0963855422
University of BucharestRomania,11.5,7.4,,,4.1,0.3565217391,0.1271077505,,,0.3565217391
Marche Polytechnic UniversityItaly,11,7.2,,,3.8,0.3454545455,0.119338843,,,0.3454545455
"University of Chemistry and Technology, PragueCzech Republic",12,7.2,,,4.8,0.4,0.16,,,0.4
University of Marrakech Cadi AyyadMorocco,6.3,6.8,,,-0.5,-0.0793650794,0.0062988158,,,0.0793650794
Federal University of SÃ£o CarlosBrazil,10.8,6.8,,,4,0.3703703704,0.1371742112,,,0.3703703704
University of Electronic Science and Technology of ChinaChina,12.9,6.6,,,6.3,0.488372093,0.2385073012,,,0.488372093
Yokohama City UniversityJapan,10.2,6.4,,,3.8,0.3725490196,0.138792772,,,0.3725490196
Amrita UniversityIndia,5.8,6,5.8,6,-0.2,-0.0344827586,0.0011890606,,,0.0344827586
University of JordanJordan,7.7,6,,,1.7,0.2207792208,0.0487434643,,,0.2207792208
Ã–rebro UniversitySweden,10.4,5.9,,,4.5,0.4326923077,0.1872226331,,,0.4326923077
Federal University of BahiaBrazil,8.1,5.2,,,2.9,0.3580246914,0.1281816796,,,0.3580246914
University of DebrecenHungary,11.4,4.3,,,7.1,0.6228070175,0.3878885811,,,0.6228070175
,,,,,,,,,,
,,,,,,,47.8109477992,,,110.2482087527
,,,,,,,0.0618511614,,,0.1426238147
,,,,,,,0.2486989374,,,
