University,Citations-16,Citations-17,,,,,,,,
"Yeungnam UniversityKorea, Republic of",26.5,35,,,-8.5,-0.320754717,0.1028835885,,,0.320754717
Vilnius UniversityLithuania,26.1,35,,,-8.9,-0.3409961686,0.116278387,,,0.3409961686
EÃ¶tvÃ¶s LorÃ¡nd UniversityHungary,30.6,34.8,,,-4.2,-0.137254902,0.0188389081,,,0.137254902
Hunan UniversityChina,21.2,34.8,,,-13.6,-0.641509434,0.4115343539,,,0.641509434
Masaryk UniversityCzech Republic,27.8,34.3,,,-6.5,-0.2338129496,0.0546684954,,,0.2338129496
Missouri University of Science and TechnologyUnited States,28.7,34,,,-5.3,-0.1846689895,0.0341026357,,,0.1846689895
Saint Petersburg State UniversityRussian Federation,14.5,34,,,-19.5,-1.3448275862,1.8085612366,,,1.3448275862
Carleton UniversityCanada,32,33.9,,,-1.9,-0.059375,0.0035253906,,,0.059375
Osaka City UniversityJapan,34.4,33.6,,,0.8,0.023255814,0.0005408329,,,0.023255814
University of ToledoUnited States,29.9,33.6,,,-3.7,-0.1237458194,0.0153130278,,,0.1237458194
Novosibirsk State UniversityRussian Federation,26.2,33.6,,,-7.4,-0.2824427481,0.0797739059,,,0.2824427481
Shantou UniversityChina,28.3,33.3,,,-5,-0.1766784452,0.031215273,,,0.1766784452
University of VigoSpain,31.8,33.2,,,-1.4,-0.0440251572,0.0019382145,,,0.0440251572
University of SevilleSpain,32.6,33.1,,,-0.5,-0.0153374233,0.0002352366,,,0.0153374233
University of PÃ©csHungary,23.4,33.1,,,-9.7,-0.4145299145,0.17183505,,,0.4145299145
Kindai UniversityJapan,30,33,,,-3,-0.1,0.01,,,0.1
University of Central LancashireUnited Kingdom,28.2,33,,,-4.8,-0.170212766,0.0289723857,,,0.170212766
Clemson UniversityUnited States,27,33,,,-6,-0.2222222222,0.049382716,,,0.2222222222
Xiâ€™an Jiaotong UniversityChina,25.5,32.9,,,-7.4,-0.2901960784,0.0842137639,,,0.2901960784
Manchester Metropolitan UniversityUnited Kingdom,30.8,32.8,,,-2,-0.0649350649,0.0042165627,,,0.0649350649
Chiba UniversityJapan,24.8,32.7,,,-7.9,-0.3185483871,0.1014730749,,,0.3185483871
"Sogang UniversityKorea, Republic of",20.5,32.7,,,-12.2,-0.5951219512,0.3541701368,,,0.5951219512
Bournemouth UniversityUnited Kingdom,35.2,32.4,,,2.8,0.0795454545,0.0063274793,,,0.0795454545
Istanbul Technical UniversityTurkey,26.5,32.4,,,-5.9,-0.2226415094,0.0495692417,,,0.2226415094
Nottingham Trent UniversityUnited Kingdom,27.3,32.2,,,-4.9,-0.1794871795,0.0322156476,,,0.1794871795
University of SalamancaSpain,25.9,32.2,,,-6.3,-0.2432432432,0.0591672754,,,0.2432432432
Budapest University of Technology and EconomicsHungary,21.6,32.2,,,-10.6,-0.4907407407,0.2408264746,,,0.4907407407
University of AlcalÃ¡Spain,28.3,31.8,,,-3.5,-0.1236749117,0.0152954838,,,0.1236749117
Middle East Technical UniversityTurkey,28.8,31.4,,,-2.6,-0.0902777778,0.0081500772,,,0.0902777778
Kumamoto UniversityJapan,28.1,31.3,,,-3.2,-0.1138790036,0.0129684275,,,0.1138790036
"Chonnam National UniversityKorea, Republic of",29.1,31.1,,,-2,-0.0687285223,0.0047236098,,,0.0687285223
University of MurciaSpain,28,31,,,-3,-0.1071428571,0.0114795918,,,0.1071428571
Hokkaido UniversityJapan,29.3,30.9,,,-1.6,-0.0546075085,0.00298198,,,0.0546075085
Rochester Institute of TechnologyUnited States,25.1,30.9,,,-5.8,-0.2310756972,0.0533959778,,,0.2310756972
Technical University of MadridSpain,24.5,30.8,,,-6.3,-0.2571428571,0.066122449,,,0.2571428571
Keio UniversityJapan,28.5,30.5,,,-2,-0.0701754386,0.0049245922,,,0.0701754386
Aligarh Muslim UniversityIndia,20.9,30.5,20.9,30.5,-9.6,-0.4593301435,0.2109841808,,,0.4593301435
Chang Gung UniversityTaiwan,27.6,30.3,,,-2.7,-0.097826087,0.0095699433,,,0.097826087
Brno University of TechnologyCzech Republic,55.8,30.1,,,25.7,0.4605734767,0.2121279274,,,0.4605734767
Waseda UniversityJapan,29.4,30.1,,,-0.7,-0.0238095238,0.0005668934,,,0.0238095238
University of SzegedHungary,20.5,30,,,-9.5,-0.4634146341,0.2147531231,,,0.4634146341
BabeÅŸ-Bolyai UniversityRomania,32.1,29.9,,,2.2,0.0685358255,0.0046971594,,,0.0685358255
Chiang Mai UniversityThailand,30,29.7,,,0.3,0.01,0.0001,,,0.01
Carlos III University of MadridSpain,24.8,29.6,,,-4.8,-0.1935483871,0.0374609781,,,0.1935483871
China Agricultural UniversityChina,22.6,29.4,,,-6.8,-0.3008849558,0.0905317566,,,0.3008849558
Dalian University of TechnologyChina,23.5,29.3,,,-5.8,-0.2468085106,0.0609144409,,,0.2468085106
National Cheng Kung University (NCKU)Taiwan,27.2,29.2,,,-2,-0.0735294118,0.0054065744,,,0.0735294118
West University of TimiÅŸoaraRomania,22.4,29.2,,,-6.8,-0.3035714286,0.0921556122,,,0.3035714286
Wuhan UniversityChina,18,29.2,,,-11.2,-0.6222222222,0.3871604938,,,0.6222222222
National Sun Yat-Sen UniversityTaiwan,25.8,28.9,,,-3.1,-0.1201550388,0.0144372333,,,0.1201550388
Florida Institute of TechnologyUnited States,24.6,28.8,,,-4.2,-0.1707317073,0.0291493159,,,0.1707317073
Pontifical Catholic University of Rio Grande do Sul (PUCRS)Brazil,27.6,28.7,,,-1.1,-0.0398550725,0.0015884268,,,0.0398550725
King Saud UniversitySaudi Arabia,22.3,28.7,,,-6.4,-0.2869955157,0.082366426,,,0.2869955157
Lappeenranta University of TechnologyFinland,20.8,28.7,,,-7.9,-0.3798076923,0.1442538831,,,0.3798076923
Ohio UniversityUnited States,24.6,28.5,,,-3.9,-0.1585365854,0.0251338489,,,0.1585365854
GdaÅ„sk University of TechnologyPoland,15.2,28.3,,,-13.1,-0.8618421053,0.7427718144,,,0.8618421053
"Ajou UniversityKorea, Republic of",23.9,28.1,,,-4.2,-0.1757322176,0.0308818123,,,0.1757322176
State University of CampinasBrazil,22.6,28,,,-5.4,-0.2389380531,0.0570913932,,,0.2389380531
"K.N. Toosi University of TechnologyIran, Islamic Republic of",22.5,28,,,-5.5,-0.2444444444,0.0597530864,,,0.2444444444
Paris-Sorbonne University â€“ Paris 4France,7.1,27.9,,,-20.8,-2.9295774648,8.5824241222,,,2.9295774648
University of HaifaIsrael,26.2,27.7,,,-1.5,-0.0572519084,0.003277781,,,0.0572519084
Dublin Institute of TechnologyIreland,20.7,27.7,,,-7,-0.3381642512,0.1143550608,,,0.3381642512
Coventry UniversityUnited Kingdom,18.4,27.7,,,-9.3,-0.5054347826,0.2554643195,,,0.5054347826
Kingston UniversityUnited Kingdom,26.7,27.5,,,-0.8,-0.0299625468,0.0008977542,,,0.0299625468
University of LjubljanaSlovenia,24,27.3,,,-3.3,-0.1375,0.01890625,,,0.1375
Taipei Medical UniversityTaiwan,19,27.3,,,-8.3,-0.4368421053,0.1908310249,,,0.4368421053
Universiti Teknologi MalaysiaMalaysia,44.7,27.1,,,17.6,0.3937360179,0.1550280518,,,0.3937360179
Erciyes UniversityTurkey,18,26.6,,,-8.6,-0.4777777778,0.2282716049,,,0.4777777778
Okayama UniversityJapan,25.3,26.4,,,-1.1,-0.0434782609,0.0018903592,,,0.0434782609
Shinshu UniversityJapan,22,26.2,,,-4.2,-0.1909090909,0.036446281,,,0.1909090909
University of BradfordUnited Kingdom,22.7,25.9,,,-3.2,-0.140969163,0.0198723049,,,0.140969163
Prince of Songkla UniversityThailand,22.2,25.7,,,-3.5,-0.1576576577,0.024855937,,,0.1576576577
University of SÃ£o PauloBrazil,20.4,25.7,,,-5.3,-0.2598039216,0.0674980777,,,0.2598039216
"Chonbuk National UniversityKorea, Republic of",24.5,25.6,,,-1.1,-0.0448979592,0.0020158267,,,0.0448979592
"Pusan National UniversityKorea, Republic of",20.4,25.6,,,-5.2,-0.2549019608,0.0649750096,,,0.2549019608
University of PretoriaSouth Africa,17.5,25.6,,,-8.1,-0.4628571429,0.2142367347,,,0.4628571429
National Chung Hsing UniversityTaiwan,24.5,25.5,,,-1,-0.0408163265,0.0016659725,,,0.0408163265
Federal University of Minas GeraisBrazil,23.1,25.5,,,-2.4,-0.1038961039,0.0107944004,,,0.1038961039
Texas Tech UniversityUnited States,22,25.4,,,-3.4,-0.1545454545,0.0238842975,,,0.1545454545
Kaohsiung Medical UniversityTaiwan,20.5,25.4,,,-4.9,-0.2390243902,0.0571326591,,,0.2390243902
Yuan Ze UniversityTaiwan,28.6,25.3,,,3.3,0.1153846154,0.0133136095,,,0.1153846154
Kobe UniversityJapan,24.3,25.3,,,-1,-0.0411522634,0.0016935088,,,0.0411522634
Pontifical Catholic University of ParanÃ¡Brazil,32.2,24.6,,,7.6,0.2360248447,0.0557077273,,,0.2360248447
Oakland UniversityUnited States,21.9,24.5,,,-2.6,-0.1187214612,0.0140947853,,,0.1187214612
University of HuddersfieldUnited Kingdom,16.5,24.5,,,-8,-0.4848484848,0.2350780533,,,0.4848484848
Harbin Institute of TechnologyChina,15.7,24.4,,,-8.7,-0.5541401274,0.3070712808,,,0.5541401274
Auburn UniversityUnited States,21,24.2,,,-3.2,-0.1523809524,0.0232199546,,,0.1523809524
"Asia University, TaiwanTaiwan",30.5,24.1,,,6.4,0.2098360656,0.0440311744,,,0.2098360656
Comenius University in BratislavaSlovakia,19.6,24,,,-4.4,-0.2244897959,0.0503956685,,,0.2244897959
Federal University of Rio Grande do SulBrazil,16.8,23.9,,,-7.1,-0.4226190476,0.1786068594,,,0.4226190476
University of SalfordUnited Kingdom,21.2,23.7,,,-2.5,-0.1179245283,0.0139061944,,,0.1179245283
University of A CoruÃ±aSpain,16.6,23.7,,,-7.1,-0.4277108434,0.1829365655,,,0.4277108434
Juntendo UniversityJapan,24,23.5,,,0.5,0.0208333333,0.0004340278,,,0.0208333333
University of DebrecenHungary,20.9,23.4,,,-2.5,-0.1196172249,0.0143082805,,,0.1196172249
"University of Chemistry and Technology, PragueCzech Republic",17.4,23.4,,,-6,-0.3448275862,0.1189060642,,,0.3448275862
University of Marrakech Cadi AyyadMorocco,12.1,23.4,,,-11.3,-0.9338842975,0.8721398812,,,0.9338842975
"Inha UniversityKorea, Republic of",22.5,23.3,,,-0.8,-0.0355555556,0.0012641975,,,0.0355555556
"Chung-Ang UniversityKorea, Republic of",17.4,23.3,,,-5.9,-0.3390804598,0.1149755582,,,0.3390804598
University of Southern MississippiUnited States,20.1,23,,,-2.9,-0.144278607,0.0208163164,,,0.144278607
National Taiwan Ocean UniversityTaiwan,18.2,23,,,-4.8,-0.2637362637,0.0695568168,,,0.2637362637
Saitama UniversityJapan,23.4,22.8,,,0.6,0.0256410256,0.0006574622,,,0.0256410256
University of Silesia in KatowicePoland,20.4,22.7,,,-2.3,-0.112745098,0.0127114571,,,0.112745098
University of LincolnUnited Kingdom,26.4,22.6,,,3.8,0.1439393939,0.0207185491,,,0.1439393939
Tokyo University of ScienceJapan,21.4,22.5,,,-1.1,-0.0514018692,0.0026421522,,,0.0514018692
YÄ±ldÄ±z Technical UniversityTurkey,19.3,22.5,,,-3.2,-0.1658031088,0.0274906709,,,0.1658031088
Suranaree University of TechnologyThailand,18.4,22.4,,,-4,-0.2173913043,0.0472589792,,,0.2173913043
Tongji UniversityChina,13.1,22.3,,,-9.2,-0.7022900763,0.4932113513,,,0.7022900763
University of WestminsterUnited Kingdom,21.1,22.2,,,-1.1,-0.0521327014,0.0027178186,,,0.0521327014
"University of TehranIran, Islamic Republic of",15.8,22.1,,,-6.3,-0.3987341772,0.1589889441,,,0.3987341772
University of DelhiIndia,19.1,21.9,19.1,21.9,-2.8,-0.1465968586,0.021490639,,,0.1465968586
Tianjin UniversityChina,12.2,21.9,,,-9.7,-0.7950819672,0.6321553346,,,0.7950819672
"Kyungpook National UniversityKorea, Republic of",18.1,21.4,,,-3.3,-0.182320442,0.0332407436,,,0.182320442
Khon Kaen UniversityThailand,19.9,21.3,,,-1.4,-0.0703517588,0.00494937,,,0.0703517588
National Central UniversityTaiwan,17.5,21.3,,,-3.8,-0.2171428571,0.0471510204,,,0.2171428571
Ocean University of ChinaChina,12.9,21,,,-8.1,-0.6279069767,0.3942671714,,,0.6279069767
University of Texas at El PasoUnited States,18.4,20.9,,,-2.5,-0.1358695652,0.0184605388,,,0.1358695652
VÅ B - Technical University of OstravaCzech Republic,85.5,20.8,,,64.7,0.7567251462,0.5726329469,,,0.7567251462
Tokyo University of Agriculture and TechnologyJapan,16.9,20.8,,,-3.9,-0.2307692308,0.0532544379,,,0.2307692308
Tokai UniversityJapan,15.3,20.7,,,-5.4,-0.3529411765,0.124567474,,,0.3529411765
University of Southern QueenslandAustralia,14.4,20.7,,,-6.3,-0.4375,0.19140625,,,0.4375
University of BelgradeSerbia,14,20.7,,,-6.7,-0.4785714286,0.2290306122,,,0.4785714286
Pontifical Catholic University of Rio de Janeiro (PUC-Rio)Brazil,23.1,20.6,,,2.5,0.1082251082,0.0117126741,,,0.1082251082
Alexandria UniversityEgypt,14.1,20.6,,,-6.5,-0.4609929078,0.212514461,,,0.4609929078
Jilin UniversityChina,14.6,20.5,,,-5.9,-0.404109589,0.16330456,,,0.404109589
Adam Mickiewicz UniversityPoland,15.3,20.4,,,-5.1,-0.3333333333,0.1111111111,,,0.3333333333
University of NairobiKenya,19.5,20.2,,,-0.7,-0.0358974359,0.0012886259,,,0.0358974359
"Konkuk UniversityKorea, Republic of",17,20.2,,,-3.2,-0.1882352941,0.035432526,,,0.1882352941
"University of SeoulKorea, Republic of",21.4,20.1,,,1.3,0.0607476636,0.0036902786,,,0.0607476636
Federal University of Rio de JaneiroBrazil,18.3,20.1,,,-1.8,-0.0983606557,0.0096748186,,,0.0983606557
Sichuan UniversityChina,16.1,20.1,,,-4,-0.248447205,0.0617260137,,,0.248447205
Federal University of Santa CatarinaBrazil,14.2,20.1,,,-5.9,-0.4154929577,0.1726343979,,,0.4154929577
Austral University of ChileChile,14.2,20,,,-5.8,-0.4084507042,0.1668319778,,,0.4084507042
University of West BohemiaCzech Republic,29.8,19.8,,,10,0.3355704698,0.1126075402,,,0.3355704698
Shanghai UniversityChina,14.8,19.8,,,-5,-0.3378378378,0.1141344047,,,0.3378378378
Sheffield Hallam UniversityUnited Kingdom,20.1,19.7,,,0.4,0.0199004975,0.0003960298,,,0.0199004975
University of GhanaGhana,19.5,19.5,,,0,0,0,,,0
Fu Jen Catholic UniversityTaiwan,18.2,19.3,,,-1.1,-0.0604395604,0.0036529405,,,0.0604395604
Niigata UniversityJapan,17.5,19.1,,,-1.6,-0.0914285714,0.0083591837,,,0.0914285714
Chulalongkorn UniversityThailand,16.7,19,,,-2.3,-0.1377245509,0.0189680519,,,0.1377245509
Suez Canal UniversityEgypt,16,18.7,,,-2.7,-0.16875,0.0284765625,,,0.16875
Ehime UniversityJapan,17.5,18.2,,,-0.7,-0.04,0.0016,,,0.04
National Taipei University of TechnologyTaiwan,16.4,17.9,,,-1.5,-0.0914634146,0.0083655562,,,0.0914634146
Nagasaki UniversityJapan,14.3,17.9,,,-3.6,-0.2517482517,0.0633771823,,,0.2517482517
National Autonomous University of MexicoMexico,14.8,17.8,,,-3,-0.2027027027,0.0410883857,,,0.2027027027
Rio de Janeiro State University (UERJ)Brazil,12.3,17.8,,,-5.5,-0.4471544715,0.1999471214,,,0.4471544715
Chung Yuan Christian UniversityTaiwan,17.4,17.7,,,-0.3,-0.0172413793,0.0002972652,,,0.0172413793
National Taiwan Normal UniversityTaiwan,16.2,17.6,,,-1.4,-0.0864197531,0.0074683737,,,0.0864197531
National Chung Cheng UniversityTaiwan,15.7,17.5,,,-1.8,-0.1146496815,0.0131445495,,,0.1146496815
Peter the Great St Petersburg Polytechnic UniversityRussian Federation,97.4,17.1,,,80.3,0.8244353183,0.679693594,,,0.8244353183
Capital Medical UniversityChina,16.3,17.1,,,-0.8,-0.0490797546,0.0024088223,,,0.0490797546
Sultan Qaboos UniversityOman,16,17,,,-1,-0.0625,0.00390625,,,0.0625
Osaka Prefecture UniversityJapan,17.5,16.9,,,0.6,0.0342857143,0.0011755102,,,0.0342857143
Toyohashi University of TechnologyJapan,15.8,16.8,,,-1,-0.0632911392,0.0040057683,,,0.0632911392
University of Cergy-PontoiseFrance,13.2,16.8,,,-3.6,-0.2727272727,0.0743801653,,,0.2727272727
University of CalcuttaIndia,19.8,16.6,19.8,16.6,3.2,0.1616161616,0.0261197837,,,0.1616161616
University of PardubiceCzech Republic,11.1,16.5,,,-5.4,-0.4864864865,0.2366691015,,,0.4864864865
Gifu UniversityJapan,14.7,16.2,,,-1.5,-0.1020408163,0.0104123282,,,0.1020408163
Cairo UniversityEgypt,11.9,15.8,,,-3.9,-0.3277310924,0.1074076689,,,0.3277310924
I-Shou UniversityTaiwan,13.3,15.7,,,-2.4,-0.1804511278,0.0325626095,,,0.1804511278
Tomsk State UniversityRussian Federation,7.6,15.4,,,-7.8,-1.0263157895,1.0533240997,,,1.0263157895
Anadolu UniversityTurkey,10.9,15.3,,,-4.4,-0.4036697248,0.1629492467,,,0.4036697248
University of Electronic Science and Technology of ChinaChina,8.8,15,,,-6.2,-0.7045454545,0.4963842975,,,0.7045454545
University of LatviaLatvia,20.9,14.9,,,6,0.2870813397,0.0824156956,,,0.2870813397
Savitribai Phule Pune UniversityIndia,11.4,14.8,11.4,14.8,-3.4,-0.298245614,0.0889504463,,,0.298245614
"Shahid Beheshti UniversityIran, Islamic Republic of",11.4,14.8,,,-3.4,-0.298245614,0.0889504463,,,0.298245614
Federal University of BahiaBrazil,14.3,14.4,,,-0.1,-0.006993007,4.89021468042444E-005,,,0.006993007
Universiti Putra MalaysiaMalaysia,10.2,14.4,,,-4.2,-0.4117647059,0.169550173,,,0.4117647059
Chongqing UniversityChina,8.7,14.4,,,-5.7,-0.6551724138,0.4292508918,,,0.6551724138
Kyushu Institute of TechnologyJapan,14.2,14.3,,,-0.1,-0.0070422535,4.95933346558237E-005,,,0.0070422535
Tokushima UniversityJapan,12.8,14.2,,,-1.4,-0.109375,0.0119628906,,,0.109375
"Tehran University of Medical SciencesIran, Islamic Republic of",9.3,14.1,,,-4.8,-0.5161290323,0.2663891779,,,0.5161290323
University of AntioquiaColombia,14.8,13.9,,,0.9,0.0608108108,0.0036979547,,,0.0608108108
Slovak University of Technology in BratislavaSlovakia,24.9,13.8,,,11.1,0.4457831325,0.1987226012,,,0.4457831325
American University of SharjahUnited Arab Emirates,13.3,13.6,,,-0.3,-0.022556391,0.0005087908,,,0.022556391
Pontifical Catholic University of ValparaÃ­soChile,10.4,13.5,,,-3.1,-0.2980769231,0.0888498521,,,0.2980769231
Universiti Sains MalaysiaMalaysia,12.4,13.1,,,-0.7,-0.0564516129,0.0031867846,,,0.0564516129
"Chungnam National UniversityKorea, Republic of",13.2,13,,,0.2,0.0151515152,0.0002295684,,,0.0151515152
Beijing Institute of TechnologyChina,9.1,13,,,-3.9,-0.4285714286,0.1836734694,,,0.4285714286
Federal University of SÃ£o CarlosBrazil,11.5,12.9,,,-1.4,-0.1217391304,0.0148204159,,,0.1217391304
University of IndonesiaIndonesia,13.9,12.6,,,1.3,0.0935251799,0.0087469593,,,0.0935251799
University of South AfricaSouth Africa,9.4,12.6,,,-3.2,-0.3404255319,0.1158895428,,,0.3404255319
Lomonosov Moscow State UniversityRussian Federation,8.6,12.5,,,-3.9,-0.4534883721,0.2056517036,,,0.4534883721
Xidian UniversityChina,8.9,12.4,,,-3.5,-0.393258427,0.1546521904,,,0.393258427
Yokohama National UniversityJapan,13.5,11.9,,,1.6,0.1185185185,0.0140466392,,,0.1185185185
Istanbul UniversityTurkey,10,11.8,,,-1.8,-0.18,0.0324,,,0.18
Universiti Teknologi MARAMalaysia,18.2,11.5,,,6.7,0.3681318681,0.1355210723,,,0.3681318681
Tottori UniversityJapan,9.6,11.4,,,-1.8,-0.1875,0.03515625,,,0.1875
Alexandru Ioan Cuza UniversityRomania,7,11.2,,,-4.2,-0.6,0.36,,,0.6
Universiti Kebangsaan MalaysiaMalaysia,10.9,11.1,,,-0.2,-0.0183486239,0.000336672,,,0.0183486239
Tokyo University of Marine Science and TechnologyJapan,7.7,11,,,-3.3,-0.4285714286,0.1836734694,,,0.4285714286
Belarusian State UniversityBelarus,6,11,,,-5,-0.8333333333,0.6944444444,,,0.8333333333
National Chengchi UniversityTaiwan,14,10.9,,,3.1,0.2214285714,0.0490306122,,,0.2214285714
Amrita UniversityIndia,20.7,10.8,20.7,10.8,9.9,0.4782608696,0.2287334594,,,0.4782608696
University of Science and Technology BeijingChina,6.9,10.8,,,-3.9,-0.5652173913,0.3194706994,,,0.5652173913
Southern Federal UniversityRussian Federation,9.2,10.7,,,-1.5,-0.1630434783,0.0265831758,,,0.1630434783
Showa UniversityJapan,7,10.5,,,-3.5,-0.5,0.25,,,0.5
"University of Santiago, Chile (USACH)Chile",10.2,9.6,,,0.6,0.0588235294,0.0034602076,,,0.0588235294
University of JordanJordan,7.8,9.6,,,-1.8,-0.2307692308,0.0532544379,,,0.2307692308
University of BucharestRomania,9.9,9.4,,,0.5,0.0505050505,0.0025507601,,,0.0505050505
SÃ£o Paulo State University (UNESP)Brazil,6.7,9.2,,,-2.5,-0.3731343284,0.139229227,,,0.3731343284
China University of Petroleum (Beijing)China,4,8.8,,,-4.8,-1.2,1.44,,,1.2
National University of Science and Technology (MISiS)Russian Federation,10.8,8.7,,,2.1,0.1944444444,0.037808642,,,0.1944444444
Ural Federal UniversityRussian Federation,16.8,8.6,,,8.2,0.4880952381,0.2382369615,,,0.4880952381
Northwestern Polytechnical UniversityChina,3.5,8.4,,,-4.9,-1.4,1.96,,,1.4
Federal University of ParanÃ¡ (UFPR)Brazil,7,8,,,-1,-0.1428571429,0.0204081633,,,0.1428571429
Sophia UniversityJapan,5.3,7.7,,,-2.4,-0.4528301887,0.2050551798,,,0.4528301887
PanthÃ©on-Sorbonne University â€“ Paris 1France,6.8,7.3,,,-0.5,-0.0735294118,0.0054065744,,,0.0735294118
Federal University of ViÃ§osaBrazil,3.9,6.4,,,-2.5,-0.641025641,0.4109138725,,,0.641025641
University of IbadanNigeria,4.6,5.7,,,-1.1,-0.2391304348,0.0571833648,,,0.2391304348
Taras Shevchenko National University of KyivUkraine,4.2,5.7,,,-1.5,-0.3571428571,0.1275510204,,,0.3571428571
Federal University of LavrasBrazil,3,5.1,,,-2.1,-0.7,0.49,,,0.7
Bauman Moscow State Technical UniversityRussian Federation,3.1,3.1,,,0,0,0,,,0
V.N. Karazin Kharkiv National UniversityUkraine,1.7,2.4,,,-0.7,-0.4117647059,0.169550173,,,0.4117647059
Andhra UniversityIndia,1.2,1.6,1.2,1.6,-0.4,-0.3333333333,0.1111111111,,,0.3333333333
,,,,,,,,,,
,,,,,,,65.5273430651,,,129.2835576819
,,,,,,,0.08466065,,,0.1670330203
,,,,,,,0.2909650322,,,
