University,Alumini-14,Alumini
Vanderbilt University,15.8,15.4
University of Bonn,15.8,15.4
University of Turin,15.8,15.4
Beijing Normal University,15.8,15.4
Flinders University,15.8,15.4
University of Warsaw,15.8,15.4
"The Imperial College of Science, Technology and Medicine",14.9,14.5
"University of California, Santa Barbara",14.9,14.5
Brown University,14.9,14.5
University of Arizona,14.9,14.5
Tohoku University,14.9,14.5
University of Sydney,14.9,14.5
The University of Adelaide,14.9,14.5
University of Buenos Aires,14.9,14.5
Kobe University,14.9,14.5
Technical University Darmstadt,14.9,14.5
Purdue University - West Lafayette,13.9,13.6
The Australian National University,13.9,13.6
The University of Western Australia,13.9,13.6
Aix Marseille University,13.9,13.6
University of Massachusetts Amherst,13.9,13.6
University of East Anglia,13.9,13.6
University of Pisa,13.9,13.6
University of Vienna,13.9,13.6
Norwegian University of Science and Technology - NTNU,13.9,13.6
The University of Auckland,13.9,13.6
Eotvos Lorand University,13.9,13.6
University of Vermont,13.9,13.6
Istanbul University,13.9,13.6
MINES ParisTech,13.9,13.6
Utah State University,13.9,13.6
University of Colorado at Boulder,12.9,12.6
The Ohio State University - Columbus,12.9,12.6
University of Helsinki,12.9,12.6
The University of Queensland,12.9,12.6
McMaster University,12.9,12.6
Georgia Institute of Technology,12.9,12.6
"University of California, Riverside",12.9,12.6
Tokyo Institute of Technology,12.9,12.6
University of Bern,12.9,12.6
National Autonomous University of Mexico,12.9,12.6
National Tsing Hua University,12.9,12.6
Rensselaer Polytechnic Institute,12.9,12.6
University of Notre Dame,12.9,12.6
University of Tehran,12.9,12.6
Technical University of Braunschweig,12.9,12.6
Boston University,11.8,11.5
Aarhus University,11.8,11.5
Hokkaido University,11.8,11.5
National Taiwan University,11.8,11.5
University of Alberta,11.8,11.5
University of Montreal,11.8,11.5
University of Nottingham,11.8,11.5
University Paris Diderot - Paris 7,11.8,11.5
University of Hamburg,11.8,11.5
University of Paris Descartes (Paris 5),11.8,11.5
Delft University of Technology,11.8,11.5
The George Washington University,11.8,11.5
University of Kansas,11.8,11.5
University of Leipzig,11.8,11.5
University of Lorraine,11.8,11.5
Virginia Polytechnic Institute and State University,11.8,11.5
University of Connecticut,11.8,11.5
University of Duesseldorf,11.8,11.5
University of Oulu,11.8,11.5
"Rutgers, The State University of New Jersey - New Brunswick",10.5,10.3
Pennsylvania State University - University Park,10.5,10.3
Catholic University of Louvain,10.5,10.3
Indiana University Bloomington,10.5,10.3
Tsinghua University,10.5,10.3
Oregon State University,10.5,10.3
Trinity College Dublin,10.5,10.3
University of Delaware,10.5,10.3
University of Kiel,10.5,10.3
Virginia Commonwealth University,10.5,10.3
Claude Bernard University Lyon 1,10.5,10.3
University of Kentucky,10.5,10.3
University of Marburg,10.5,10.3
University of St Andrews,10.5,10.3
University of Tennessee - Knoxville,10.5,10.3
Jagiellonian University,10.5,10.3
University of North Carolina at Chapel Hill,9.1,8.9
Osaka University,9.1,8.9
Michigan State University,9.1,8.9
Charles University in Prague,9.1,8.9
Medical University of Vienna,9.1,8.9
University of Missouri - Columbia,9.1,8.9
University of Oregon,9.1,8.9
Brigham Young University,9.1,8.9
University of Saskatchewan,9.1,8.9
University of Bristol,7.4,7.3
The University of Glasgow,7.4,7.3
Polytechnic Institute of Milan,7.4,7.3
University of Liege,7.4,7.3
ESPCI ParisTech,7.4,7.3
London School of Hygiene & Tropical Medicine,7.4,7.3
University of Chile,7.4,7.3
University of Graz,7.4,7.3
University of Zurich,5.3,5.1
Ghent University,5.3,5.1
Technical University of Denmark,5.3,5.1
University of Amsterdam,5.3,5.1
