University,HiCi-14,HiCi
University of Groningen,23,23
Oregon State University,23,23
McGill University,22.8,22.8
University of Cincinnati,22.6,22.6
Lund University,22.5,22.5
Technical University Munich,22.3,22.3
Arizona State University,22.2,22.2
The University of Queensland,22,22
Erasmus University,22,22
University of Miami,22,22
University of Geneva,18.9,21.4
Technical University of Denmark,21.1,21.1
King Fahd University of Petroleum & Minerals,17.9,21.1
University of Illinois at Chicago,18.9,21
University of Amsterdam,20.8,20.8
University of Birmingham,20.8,20.8
Oregon Health and Science University,20.8,20.8
Tel Aviv University,20.7,20.7
Dartmouth College,20.7,20.7
The University of Georgia,20.6,20.6
University of Munich,20.3,20.3
University of Iowa,20.3,20.3
Colorado State University,20.3,20.3
King Abdullah University of Science and Technology,16.8,20.3
The University of New South Wales,20.2,20.2
Tufts University,20.1,20.1
University of Delaware,20.1,20.1
University of Hawaii at Manoa,20.1,20.1
The University of Texas Health Science Center at San Antonio,20.1,20.1
Iowa State University,18.5,20.1
The Hebrew University of Jerusalem,19.6,19.6
University of Frankfurt,19.6,19.6
Durham University,19.6,19.6
National University of Singapore,18.3,19.3
University of East Anglia,19.2,19.2
"University of Maryland, Baltimore",19.1,19.1
University of Nottingham,17,19.1
University of Wuerzburg,18.9,18.9
Indiana University Bloomington,18.5,18.5
Uppsala University,18.4,18.4
Monash University,18.4,18.4
The University of Sheffield,18.4,18.4
University of Leeds,18.4,18.4
Stockholm University,18.1,18.1
City University of Hong Kong,18.1,18.1
Macquarie University,18.1,18.1
University of Tennessee - Knoxville,15.9,17.9
University of Exeter,17.8,17.8
The University of Hong Kong,17.5,17.5
University of Guelph,17.5,17.5
University of Notre Dame,17.5,17.5
University of Basel,17.4,17.4
University of Bonn,17.4,17.4
The Hong Kong University of Science and Technology,17.4,17.4
"University of Maryland, Baltimore County",17.4,17.4
University of Wollongong,12.2,17.4
University of Houston,17.3,17.3
Washington State University,17.3,17.3
University of Victoria,17.2,17.2
University of Montreal,15.9,17.2
Weizmann Institute of Science,17,17
University of Paris Sud (Paris 11),16.8,16.8
Nagoya University,16.8,16.8
The University of Dundee,16.8,16.8
University of Nebraska - Lincoln,16.8,16.8
University of South Carolina - Columbia,16.8,16.8
Joseph Fourier University (Grenoble 1),17.4,16.3
University of Bern,16.3,16.3
University of South Florida,16.3,16.3
The University of Adelaide,15.1,16.3
RWTH Aachen University,15.1,16.3
University of Turin,16.2,16.2
Case Western Reserve University,17.9,15.9
University of Vienna,17.2,15.9
University of Oslo,15.9,15.9
Catholic University of Louvain,15.9,15.9
Tokyo Institute of Technology,15.9,15.9
University of Science and Technology of China,15.9,15.9
Virginia Commonwealth University,15.9,15.9
Northeastern University,15.9,15.9
University of Erlangen-Nuremberg,15.9,15.9
University of Colorado at Denver,15.9,15.9
University of Massachusetts Medical School - Worcester,14.3,15.9
University of Bordeaux,14.3,15.9
University of Strasbourg,13.9,15.9
Aix Marseille University,16.8,15.2
University of Florence,16.8,15.2
Technion-Israel Institute of Technology,15.2,15.2
London School of Economics and Political Science,15.2,15.2
University of Sussex,15.2,15.2
University of Rhode Island,15.2,15.2
The Chinese University of Hong Kong,15.1,15.1
University of Barcelona,15.1,15.1
Laval University,15,15
University of Liverpool,16.3,14.9
University Paris Diderot - Paris 7,14.9,14.9
University of Lausanne,14.9,14.9
The University of New Mexico - Albuquerque,14.9,14.9
Wake Forest University,14.9,14.9
Stony Brook University,14.8,14.8
University of Innsbruck,14.8,14.8
University of Muenster,13.2,14.8
Florida State University,14.6,14.6
University of Leicester,14.6,14.6
University of Waterloo,14.6,14.6
University of Marburg,14.3,14.3
San Diego State University,14.3,14.3
The University of Reading,14.3,14.3
"University of Technology, Sydney",14.3,14.3
University of New Hampshire - Durham,14.3,14.3
University of Milan,14.2,14.2
National Taiwan University,13.9,13.9
University of Hamburg,13.9,13.9
Rensselaer Polytechnic Institute,13.9,13.9
The University of Texas Health Science Center at Houston,13.9,13.9
University of York,13.9,13.9
Lancaster University,13.9,13.9
The University of Texas Medical Branch at Galveston,13.9,13.9
The University of Calgary,13.8,13.8
University of Bologna,13.8,13.8
University of Kiel,12.2,13.8
Cardiff University,13.6,13.6
Louisiana State University - Baton Rouge,13.6,13.6
University of Central Florida,13.6,13.6
University of Parma,13.6,13.6
Swedish University of Agricultural Sciences,13.3,13.3
University of Bochum,13.3,13.3
Temple University,13.3,13.3
University of Goettingen,13.1,13.1
Kyushu University,13.1,13.1
Queen's University,13.1,13.1
University College Cork,13.1,13.1
University of Freiburg,13,13
Shanghai Jiao Tong University,12.6,12.6
Aarhus University,12.3,12.3
Radboud University Nijmegen,12.3,12.3
Seoul National University,12.3,12.3
University of Gothenburg,12.3,12.3
Paul Sabatier University (Toulouse 3),12.3,12.3
Drexel University,12.3,12.3
Eindhoven University of Technology,12.3,12.3
University of Giessen,12.3,12.3
University of Ulm,12.3,12.3
National Sun Yat-Sen University,12.3,12.3
Trinity College Dublin,10.7,12.3
University of Sao Paulo,12.2,12.2
Fudan University,12.2,12.2
University of Paris Descartes (Paris 5),12.2,12.2
University of Tuebingen,12.2,12.2
Dalhousie University,12.2,12.2
Newcastle University,12.2,12.2
Simon Fraser University,12.2,12.2
Umea University,12.2,12.2
University of Aberdeen,12.2,12.2
University of Cape Town,12.2,12.2
University of Otago,12.2,12.2
Brigham Young University,12.2,12.2
Tulane University,12.2,12.2
University of Vermont,12.2,12.2
Brunel University,12.2,12.2
Carleton University,12.2,12.2
University of Alaska - Fairbanks,12.2,12.2
University of Arkansas at Fayetteville,12.2,12.2
University of Konstanz,12.1,12.1
Karlsruhe Institute of Technology (KIT),12,12
Bielefeld University,11.8,11.8
Virginia Polytechnic Institute and State University,11.4,11.4
University of Padua,11.3,11.3
Autonomous University of Madrid,11.3,11.3
University of Kansas,11.3,11.3
Swinburne University of Technology,11.3,11.3
The Hong Kong Polytechnic University,11.3,11.3
Aalborg University,12.2,11.2
Peking University,11.2,11.2
Nanyang Technological University,11.2,11.2
Georgetown University,11.1,11.1
University of Eastern Finland,12.3,10.7
Maastricht University,10.7,10.7
TU Dresden,10.7,10.7
University College Dublin,10.7,10.7
University of Bergen,10.7,10.7
Linkoping University,10.7,10.7
Rush University,10.7,10.7
University of Arkansas at Little Rock,10.7,10.7
National and Kapodistrian University of Athens,10.6,10.6
Polytechnic University of Valencia,10.4,10.4
National Cheng Kung University,10.1,10.1
Norwegian University of Science and Technology - NTNU,10.1,10.1
The University of Auckland,10.1,10.1
University of Liege,10.1,10.1
University of Oregon,10.1,10.1
University of Stuttgart,10.1,10.1
Eotvos Lorand University,10.1,10.1
James Cook University,10.1,10.1
The University of Texas at Dallas,10.1,10.1
University of Tasmania,10.1,10.1
University of Ferrara,10.1,10.1
Keio University,5.1,10.1
Tsinghua University,10,10
University of Tehran,10,10
Chiba University,8.7,10
University of Sydney,9.6,9.6
University of Mainz,8.9,8.9
Chalmers University of Technology,8.9,8.9
Thomas Jefferson University,8.9,8.9
Harbin Institute of Technology,10,8.7
Korea University,8.7,8.7
Sun Yat-sen University,8.7,8.7
Xian Jiao Tong University,8.7,8.7
Hannover Medical School,8.7,8.7
Southeast University,8.7,8.7
Curtin University,7.1,8.7
University of Koeln,8.6,8.6
Delft University of Technology,8.6,8.6
Medical University of Vienna,8.6,8.6
University of Ottawa,8.6,8.6
University of Valencia,8.6,8.6
Yonsei University,8.6,8.6
Beihang University,8.6,8.6
National Chiao Tung University,8.6,8.6
University of Duisburg-Essen,8.6,8.6
University of Oulu,8.6,8.6
Auburn University,8.6,8.6
Boston College,8.6,8.6
Oklahoma State University,8.6,8.6
University of Bayreuth,8.6,8.6
University of Essex,8.6,8.6
University of Hannover,8.6,8.6
University of Rostock,8.6,8.6
University of Surrey,8.6,8.6
Brandeis University,3.6,8.6
University of Wyoming,3.6,8.6
Korea Advanced Institute of Science and Technology,8.3,8.3
University of Manitoba,8.1,8.1
Syracuse University,8.1,8.1
University of Connecticut,8,8
University of Saskatchewan,7.9,7.9
Technical University of Berlin,7.8,7.8
University of Zaragoza,7.6,7.6
Hokkaido University,7.2,7.2
University of Pisa,7.2,7.2
Indian Institute of Science,7.2,7.2
Scuola Normale Superiore - Pisa,7.2,7.2
University of Southern Denmark,7.2,7.2
Bar-Ilan University,7.2,7.2
Medical University of South Carolina,7.2,7.2
Zhejiang University,7.1,7.1
University of the Witwatersrand,7.1,7.1
Central South University,7.1,7.1
Indiana University-Purdue University at Indianapolis,7.1,7.1
Lanzhou University,7.1,7.1
London School of Hygiene & Tropical Medicine,7.1,7.1
Pohang University of Science and Technology,7.1,7.1
South China University of Technology,7.1,7.1
University of Granada,7.1,7.1
Kansas State University,7.1,7.1
University of Auvergne,7.1,7.1
University of Santiago Compostela,7.1,7.1
"University of Science, Malaysia",5,7.1
The George Washington University,6.3,6.3
Yeshiva University,6.3,6.3
University of Turku,6.3,6.3
Clemson University,6.3,6.3
University of Palermo,6.3,6.3
Ecole Normale Superieure - Paris,11.2,6.2
University of Duesseldorf,6.1,6.1
University of Tsukuba,5.8,5.8
Xiamen University,5.5,5.5
George Mason University,5.1,5.1
Kobe University,5.1,5.1
National Tsing Hua University,5.1,5.1
City University of New York City College,5.1,5.1
Ecole Polytechnique,5.1,5.1
Flinders University,5.1,5.1
University of Antwerp,5.1,5.1
University of Twente,5.1,5.1
Kanazawa University,5.1,5.1
Saint Louis University,5.1,5.1
State University of New York Health Science Center at Brooklyn,5.1,5.1
University of Bath,5.1,5.1
University of Oklahoma - Norman,5.1,5.1
Autonomous University of Barcelona,5,5
Beijing Normal University,5,5
Polytechnic Institute of Milan,5,5
University of Lisbon,5,5
Dalian University of Technology,5,5
Kyung Hee University,5,5
Nankai University,5,5
University of Malaya,5,5
University of Milan - Bicocca,5,5
East China University of Science and Technology,5,5
Ewha Womans University,5,5
Polytechnic University of Catalonia,5,5
Stellenbosch University,5,5
University of Pavia,5,5
University of Trieste,5,5
Aristotle University of Thessaloniki,4.9,4.9
Hiroshima University,4.8,4.8
University of St Andrews,3.8,3.8
Tokyo Medical and Dental University,8.6,3.6
University of Naples Federico II,8.6,3.6
Ecole Normale Superieure - Lyon,3.6,3.6
University of Kentucky,3.6,3.6
University of Missouri - Columbia,3.6,3.6
Federal University of Minas Gerais,3.6,3.6
Griffith University,3.6,3.6
Jagiellonian University,3.6,3.6
University of Campinas,3.6,3.6
University of Halle-Wittenberg,3.6,3.6
Wayne State University,3.6,3.6
Ben-Gurion University of the Negev,3.6,3.6
Catholic University of Chile,3.6,3.6
Catholic University of the Sacred Heart,3.6,3.6
Chang Gung University,3.6,3.6
Medical University of Graz,3.6,3.6
Okayama University,3.6,3.6
Technical University Darmstadt,3.6,3.6
Technical University of Braunschweig,3.6,3.6
University of KwaZulu-Natal,3.6,3.6
University of Nice Sophia Antipolis,3.6,3.6
University of Perugia,3.6,3.6
University of Regensburg,3.6,3.6
University of Rennes 1,3.6,3.6
University of Szeged,3.6,3.6
University of the Basque Country,3.6,3.6
Utah State University,3.6,3.6
National Autonomous University of Mexico,3.3,3.3
Nanjing University,0.7,0.7
University of Leipzig,5,0
Moscow State University,0,0
University of Buenos Aires,0,0
Charles University in Prague,0,0
Claude Bernard University Lyon 1,0,0
Huazhong University of Science and Technology,0,0
Sungkyunkwan University,0,0
University of Lorraine,0,0
China Agricultural University,0,0
Complutense University of Madrid,0,0
ESPCI ParisTech,0,0
Federal University of Rio de Janeiro,0,0
Hanyang University,0,0
Jilin University,0,0
Queen's University Belfast,0,0
Saint Petersburg State University,0,0
Shandong University,0,0
Sichuan University,0,0
Tongji University,0,0
UNESP,0,0
University of Belgrade,0,0
University of Porto,0,0
University of Roma - Tor Vergata,0,0
University of Warsaw,0,0
Aalto University,0,0
Cairo University,0,0
Catholic University of Korea,0,0
Deakin University,0,0
Federal University of Rio Grande do Sul,0,0
Istanbul University,0,0
MINES ParisTech,0,0
Nanjing Medical University,0,0
Peking Union Medical College,0,0
Soochow University,0,0
Stockholm School of Economics,0,0
Tianjin University,0,0
University of Bremen,0,0
University of Chile,0,0
University of Coimbra,0,0
University of Graz,0,0
University of Jena,0,0
University of Ljubljana,0,0
University of Quebec,0,0
Vienna University of Technology,0,0
Wuhan University,0,0
