University,PCP-14,PCP,,,,,,,
Jagiellonian University,16.6,17.1,,,-0.5,-0.0301204819,0.0009072434,,0.0301204819
University of Turku,16.3,17.1,,,-0.8,-0.0490797546,0.0024088223,,0.0490797546
King Fahd University of Petroleum & Minerals,16.3,17.1,,,-0.8,-0.0490797546,0.0024088223,,0.0490797546
Peking Union Medical College,16.2,17.1,,,-0.9,-0.0555555556,0.0030864198,,0.0555555556
University of Jena,16.2,17.1,,,-0.9,-0.0555555556,0.0030864198,,0.0555555556
University of Chile,15.4,17.1,,,-1.7,-0.1103896104,0.0121858661,,0.1103896104
University of Duesseldorf,16.3,17,,,-0.7,-0.0429447853,0.0018442546,,0.0429447853
University of Giessen,16.3,17,,,-0.7,-0.0429447853,0.0018442546,,0.0429447853
University of Graz,16.3,17,,,-0.7,-0.0429447853,0.0018442546,,0.0429447853
Aalto University,15.5,17,,,-1.5,-0.0967741935,0.0093652445,,0.0967741935
Dalian University of Technology,16.7,16.9,,,-0.2,-0.0119760479,0.0001434257,,0.0119760479
University of Wyoming,16.5,16.9,,,-0.4,-0.0242424242,0.0005876951,,0.0242424242
Umea University,16.7,16.8,,,-0.1,-0.005988024,3.58564308508741E-005,,0.005988024
University of Quebec,16.7,16.8,,,-0.1,-0.005988024,3.58564308508741E-005,,0.005988024
The University of Texas Health Science Center at Houston,16.5,16.8,,,-0.3,-0.0181818182,0.0003305785,,0.0181818182
Hannover Medical School,16.1,16.8,,,-0.7,-0.0434782609,0.0018903592,,0.0434782609
Aristotle University of Thessaloniki,16,16.8,,,-0.8,-0.05,0.0025,,0.05
Huazhong University of Science and Technology,15.7,16.8,,,-1.1,-0.0700636943,0.0049089213,,0.0700636943
Aalborg University,15.2,16.8,,,-1.6,-0.1052631579,0.0110803324,,0.1052631579
Stony Brook University,16.8,16.7,,,0.1,0.005952381,3.54308390022686E-005,,0.005952381
University of Nebraska - Lincoln,16.8,16.7,,,0.1,0.005952381,3.54308390022686E-005,,0.005952381
University of Naples Federico II,16.8,16.6,,,0.2,0.0119047619,0.0001417234,,0.0119047619
University of Central Florida,16.6,16.6,,,0,0,0,,0
Rush University,16.3,16.6,,,-0.3,-0.018404908,0.0003387406,,0.018404908
Washington State University,16.1,16.6,,,-0.5,-0.0310559006,0.000964469,,0.0310559006
University of KwaZulu-Natal,15.2,16.6,,,-1.4,-0.0921052632,0.0084833795,,0.0921052632
"University of Maryland, Baltimore",16.8,16.5,,,0.3,0.0178571429,0.0003188776,,0.0178571429
Technical University of Berlin,15.9,16.5,,,-0.6,-0.0377358491,0.0014239943,,0.0377358491
Cairo University,15.3,16.5,,,-1.2,-0.0784313725,0.0061514802,,0.0784313725
Beihang University,15,16.5,,,-1.5,-0.1,0.01,,0.1
Ben-Gurion University of the Negev,16.2,16.4,,,-0.2,-0.012345679,0.0001524158,,0.012345679
Chiba University,15.7,16.4,,,-0.7,-0.0445859873,0.0019879103,,0.0445859873
Central South University,15.3,16.4,,,-1.1,-0.0718954248,0.0051689521,,0.0718954248
University of Coimbra,16.2,16.3,,,-0.1,-0.0061728395,3.81039475689692E-005,,0.0061728395
University of Stuttgart,15.7,16.3,,,-0.6,-0.0382165605,0.0014605055,,0.0382165605
San Diego State University,16.6,16.2,,,0.4,0.0240963855,0.0005806358,,0.0240963855
Southeast University,14.9,16.2,,,-1.3,-0.0872483221,0.0076122697,,0.0872483221
University of Auvergne,16.2,16.1,,,0.1,0.0061728395,3.81039475689665E-005,,0.0061728395
Laval University,16,16.1,,,-0.1,-0.00625,3.90625000000011E-005,,0.00625
University of South Carolina - Columbia,15.5,16.1,,,-0.6,-0.0387096774,0.0014984391,,0.0387096774
University of Duisburg-Essen,15.5,16.1,,,-0.6,-0.0387096774,0.0014984391,,0.0387096774
Beijing Normal University,15.4,16.1,,,-0.7,-0.0454545455,0.0020661157,,0.0454545455
The University of New Mexico - Albuquerque,15.3,16.1,,,-0.8,-0.0522875817,0.0027339912,,0.0522875817
University of Rhode Island,16.4,16,,,0.4,0.0243902439,0.000594884,,0.0243902439
University of Warsaw,15.6,16,,,-0.4,-0.0256410256,0.0006574622,,0.0256410256
University of Bordeaux,15.4,16,,,-0.6,-0.038961039,0.0015179626,,0.038961039
Carleton University,15.4,16,,,-0.6,-0.038961039,0.0015179626,,0.038961039
Ewha Womans University,15.8,15.9,,,-0.1,-0.0063291139,4.00576830636113E-005,,0.0063291139
East China University of Science and Technology,15.1,15.8,,,-0.7,-0.0463576159,0.0021490286,,0.0463576159
University of New Hampshire - Durham,15.1,15.8,,,-0.7,-0.0463576159,0.0021490286,,0.0463576159
University of Paris Descartes (Paris 5),16.3,15.7,,,0.6,0.036809816,0.0013549626,,0.036809816
University of Alaska - Fairbanks,16.2,15.7,,,0.5,0.0308641975,0.0009525987,,0.0308641975
University of Manitoba,15.9,15.7,,,0.2,0.0125786164,0.0001582216,,0.0125786164
"University of Science, Malaysia",15.1,15.7,,,-0.6,-0.0397350993,0.0015788781,,0.0397350993
University of Bremen,15,15.7,,,-0.7,-0.0466666667,0.0021777778,,0.0466666667
Stellenbosch University,14.6,15.7,,,-1.1,-0.0753424658,0.0056764871,,0.0753424658
Tongji University,14.4,15.7,,,-1.3,-0.0902777778,0.0081500772,,0.0902777778
University of Tsukuba,15.6,15.6,,,0,0,0,,0
University of Saskatchewan,15.5,15.6,,,-0.1,-0.0064516129,4.16233090530694E-005,,0.0064516129
Catholic University of Chile,14.7,15.6,,,-0.9,-0.0612244898,0.0037484382,,0.0612244898
Brunel University,16.1,15.5,,,0.6,0.0372670807,0.0013888353,,0.0372670807
University of Sao Paulo,15.4,15.5,,,-0.1,-0.0064935065,4.21656265812107E-005,,0.0064935065
Utah State University,14.7,15.5,,,-0.8,-0.0544217687,0.0029617289,,0.0544217687
South China University of Technology,14.2,15.5,,,-1.3,-0.0915492958,0.0083812736,,0.0915492958
King Abdullah University of Science and Technology,12.9,15.5,,,-2.6,-0.2015503876,0.0406225587,,0.2015503876
The University of Texas Health Science Center at San Antonio,15.6,15.4,,,0.2,0.0128205128,0.0001643655,,0.0128205128
University of Oulu,15,15.4,,,-0.4,-0.0266666667,0.0007111111,,0.0266666667
University of Eastern Finland,14.6,15.3,,,-0.7,-0.0479452055,0.0022987427,,0.0479452055
Soochow University,14.4,15.3,,,-0.9,-0.0625,0.00390625,,0.0625
Shandong University,14.3,15.3,,,-1,-0.0699300699,0.0048902147,,0.0699300699
University of Regensburg,15,15.2,,,-0.2,-0.0133333333,0.0001777778,,0.0133333333
Harbin Institute of Technology,14.7,15.2,,,-0.5,-0.0340136054,0.0011569254,,0.0340136054
Sichuan University,14.1,15.2,,,-1.1,-0.0780141844,0.006086213,,0.0780141844
Kobe University,15.4,15.1,,,0.3,0.0194805195,0.0003794906,,0.0194805195
University of Tennessee - Knoxville,14.6,15.1,,,-0.5,-0.0342465753,0.0011728279,,0.0342465753
University of Cincinnati,15.3,15,,,0.3,0.0196078431,0.0003844675,,0.0196078431
Tulane University,14.9,15,,,-0.1,-0.0067114094,0.000045043,,0.0067114094
Boston College,14.6,15,,,-0.4,-0.0273972603,0.0007506099,,0.0273972603
Technical University Darmstadt,14.3,15,,,-0.7,-0.048951049,0.0023962052,,0.048951049
University of Miami,15.3,14.8,,,0.5,0.0326797386,0.0010679653,,0.0326797386
University of Palermo,14.7,14.8,,,-0.1,-0.0068027211,0.000046277,,0.0068027211
Claude Bernard University Lyon 1,14.5,14.8,,,-0.3,-0.0206896552,0.0004280618,,0.0206896552
University of Vermont,14.2,14.8,,,-0.6,-0.0422535211,0.00178536,,0.0422535211
Polytechnic University of Valencia,15.2,14.7,,,0.5,0.0328947368,0.0010820637,,0.0328947368
University of Kansas,14.5,14.7,,,-0.2,-0.0137931034,0.0001902497,,0.0137931034
Bar-Ilan University,14.3,14.7,,,-0.4,-0.027972028,0.0007824343,,0.027972028
Xiamen University,13.8,14.7,,,-0.9,-0.0652173913,0.0042533081,,0.0652173913
Virginia Commonwealth University,14.6,14.6,,,0,0,0,,0
Louisiana State University - Baton Rouge,14.3,14.6,,,-0.3,-0.020979021,0.0004401193,,0.020979021
Indiana University-Purdue University at Indianapolis,13.6,14.5,,,-0.9,-0.0661764706,0.0043793253,,0.0661764706
Clemson University,14.5,14.4,,,0.1,0.0068965517,4.75624256837095E-005,,0.0068965517
University College Cork,14.1,14.4,,,-0.3,-0.0212765957,0.0004526935,,0.0212765957
University of Valencia,14.4,14.3,,,0.1,0.0069444444,4.8225308641975E-005,,0.0069444444
Kanazawa University,14.4,14.2,,,0.2,0.0138888889,0.0001929012,,0.0138888889
University of Ljubljana,14.2,14.2,,,0,0,0,,0
Nankai University,13.9,14.2,,,-0.3,-0.0215827338,0.0004658144,,0.0215827338
Wayne State University,13.9,14.2,,,-0.3,-0.0215827338,0.0004658144,,0.0215827338
University of Arkansas at Fayetteville,13.9,14.1,,,-0.2,-0.0143884892,0.0002070286,,0.0143884892
King Saud University,13.8,14.1,,,-0.3,-0.0217391304,0.0004725898,,0.0217391304
Hiroshima University,14.9,14,,,0.9,0.0604026846,0.0036484843,,0.0604026846
University of Oklahoma - Norman,14.2,14,,,0.2,0.014084507,0.0001983733,,0.014084507
Polytechnic University of Catalonia,14,14,,,0,0,0,,0
University of Halle-Wittenberg,13.6,14,,,-0.4,-0.0294117647,0.0008650519,,0.0294117647
Bielefeld University,13,14,,,-1,-0.0769230769,0.0059171598,,0.0769230769
Kansas State University,13.8,13.9,,,-0.1,-0.0072463768,0.00005251,,0.0072463768
Paul Sabatier University (Toulouse 3),14.3,13.8,,,0.5,0.034965035,0.0012225537,,0.034965035
The University of Texas Medical Branch at Galveston,14.2,13.8,,,0.4,0.0281690141,0.0007934934,,0.0281690141
University of Hannover,13,13.8,,,-0.8,-0.0615384615,0.0037869822,,0.0615384615
University of Missouri - Columbia,13.5,13.7,,,-0.2,-0.0148148148,0.0002194787,,0.0148148148
Eotvos Lorand University,13.4,13.7,,,-0.3,-0.0223880597,0.0005012252,,0.0223880597
Oklahoma State University,13.7,13.6,,,0.1,0.0072992701,5.32793435984865E-005,,0.0072992701
University of Kentucky,13.5,13.6,,,-0.1,-0.0074074074,5.48696844993137E-005,,0.0074074074
MINES ParisTech,13.1,13.6,,,-0.5,-0.0381679389,0.0014567916,,0.0381679389
University of Rostock,13.4,13.5,,,-0.1,-0.0074626866,5.56916907997323E-005,,0.0074626866
University of Konstanz,13.3,13.5,,,-0.2,-0.015037594,0.0002261292,,0.015037594
University of the Basque Country,12.9,13.5,,,-0.6,-0.0465116279,0.0021633315,,0.0465116279
Jilin University,12.8,13.5,,,-0.7,-0.0546875,0.0029907227,,0.0546875
Keio University,13.5,13.4,,,0.1,0.0074074074,5.48696844993137E-005,,0.0074074074
Syracuse University,13.1,13.4,,,-0.3,-0.0229007634,0.000524445,,0.0229007634
University of Connecticut,13,13.4,,,-0.4,-0.0307692308,0.0009467456,,0.0307692308
King Abdulaziz University,12.2,13.4,,,-1.2,-0.0983606557,0.0096748186,,0.0983606557
University of Granada,13.3,13.3,,,0,0,0,,0
Auburn University,13.1,13.3,,,-0.2,-0.0152671756,0.0002330866,,0.0152671756
University of Santiago Compostela,13.2,13.2,,,0,0,0,,0
University of Zaragoza,13,13.1,,,-0.1,-0.0076923077,5.91715976331357E-005,,0.0076923077
University of Bayreuth,13.2,13,,,0.2,0.0151515152,0.0002295684,,0.0151515152
Wuhan University,12,13,,,-1,-0.0833333333,0.0069444444,,0.0833333333
Brigham Young University,12.5,12.9,,,-0.4,-0.032,0.001024,,0.032
University of Szeged,12.3,12.8,,,-0.5,-0.0406504065,0.0016524555,,0.0406504065
University of Nice Sophia Antipolis,12.1,12.7,,,-0.6,-0.0495867769,0.0024588484,,0.0495867769
Temple University,12.2,12.6,,,-0.4,-0.0327868852,0.0010749798,,0.0327868852
Technical University of Braunschweig,11.8,12.6,,,-0.8,-0.0677966102,0.0045963804,,0.0677966102
Complutense University of Madrid,12.1,12.4,,,-0.3,-0.0247933884,0.0006147121,,0.0247933884
University of Colorado at Denver,12.1,12.3,,,-0.2,-0.0165289256,0.0002732054,,0.0165289256
Wake Forest University,12,11.9,,,0.1,0.0083333333,6.9444444444444E-005,,0.0083333333
Saint Louis University,11.5,11.8,,,-0.3,-0.0260869565,0.0006805293,,0.0260869565
Okayama University,12.2,11.7,,,0.5,0.0409836066,0.001679656,,0.0409836066
University of Rennes 1,11.1,11.2,,,-0.1,-0.009009009,8.11622433244049E-005,,0.009009009
,,,,,,,,,
,,,,,,,0.7380579544,,13.2392145776
,,,,,,,0.0015636821,,0.0280491834
,,,,,,,0.0395434205,,
